"herocard.passive_skill.description.addmana.all.allies","Semua sekutu mendapat sedikit mana."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Setiap kali Gargoyle ini merapal Keahlian Khusus, Kulit Lembutnya aktif. {MAXACTIVATIONS} kali berikutnya mereka mengalami kerusakan, akan berkurang {DAMAGEREDUCTION}%. Mereka juga kebal terhadap semua status pelemahan, pengurangan mana, dan Kegilaan. Efek ini tidak bisa dienyahkan."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Setiap kali Gargoyle ini merapal Keahlian Khusus, Kulit Batunya mengeras. Kerusakan {MAXHITS} berikutnya yang dia terima turun menjadi 1. Efek ini tidak bisa dienyahkan."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Saat karakter ini menggunakan Keahlian Khususnya, mereka mendapat {ATTACK}% serangan selama {TURNS} giliran. Efek ini bisa aktif selain efek lain yang mengubah serangan."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Sekali per pertempuran, elemen Pahlawan ini dapat diubah menjadi Elemen yang dipilih untuk {TURNS} giliran. Elemen dapat diubah dengan mengetuk Pahlawan ini ketika mananya tidak penuh."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Memanggil Iblis Benih setiap giliran ke musuh acak.
Iblis Benih berubah menjadi Iblis Tunas setelah {EVOLVINGFAMILIAR1EVOLVETURNS} giliran.
Iblis Tunas berubah menjadi Iblis Mega Mekar setelah {EVOLVINGFAMILIAR2EVOLVETURNS} giliran.

Iblis Benih: 
serangan {EVOLVINGFAMILIAR1ATTACK}%, kesehatan {EVOLVINGFAMILIAR1HEALTH}%.

Iblis Tunas: 
serangan {EVOLVINGFAMILIAR2ATTACK}%, kesehatan {EVOLVINGFAMILIAR2HEALTH}%.

Iblis Mega Mekar: 
serangan {EVOLVINGFAMILIAR3ATTACK}%, kesehatan {EVOLVINGFAMILIAR3HEALTH}%."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Memanggil Iblis Benih setiap giliran ke musuh acak. Keterampilan Pasif ini hanya aktif satu kali per giliran untuk tiap tim.
Iblis Benih berubah menjadi Iblis Tunas setelah {EVOLVINGFAMILIAR1EVOLVETURNS} giliran.
Iblis Tunas berubah menjadi Iblis Mega Mekar setelah {EVOLVINGFAMILIAR2EVOLVETURNS} giliran.

Iblis Benih: 
serangan {EVOLVINGFAMILIAR1ATTACK}%, kesehatan {EVOLVINGFAMILIAR1HEALTH}%.

Iblis Tunas: 
serangan {EVOLVINGFAMILIAR2ATTACK}%, kesehatan {EVOLVINGFAMILIAR2HEALTH}%.

Iblis Mega Mekar: 
serangan {EVOLVINGFAMILIAR3ATTACK}%, kesehatan {EVOLVINGFAMILIAR3HEALTH}%."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Saat karakter ini kalah, dia memanggil Antek Mega Lendir ke sekutu terdekat dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan yang diwarisi dari karakter ini."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Saat karakter ini kalah, dia memanggil Antek Mega Lendir ke sekutu terdekat dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan yang diwarisi dari karakter ini."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Saat karakter ini kalah, dia memanggil Antek Mega Lendir ke sekutu terdekat dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan yang diwarisi dari karakter ini."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Saat karakter ini kalah, dia memanggil Antek Mega Lendir ke sekutu terdekat dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan yang diwarisi dari karakter ini."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Saat karakter ini kalah, dia memanggil Antek Mega Lendir ke sekutu terdekat dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan yang diwarisi dari karakter ini."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Jika karakter ini kalah lebih dari {DAMAGETHRESHOLD}% dari kesehatan maks sekaligus, dia memanggil Antek Mega Lendir untuk diri sendiri dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Jika karakter ini kalah lebih dari {DAMAGETHRESHOLD}% dari kesehatan maks sekaligus, dia memanggil Antek Mega Lendir untuk diri sendiri dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Jika karakter ini kalah lebih dari {DAMAGETHRESHOLD}% dari kesehatan maks sekaligus, dia memanggil Antek Mega Lendir untuk diri sendiri dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Jika karakter ini kalah lebih dari {DAMAGETHRESHOLD}% dari kesehatan maks sekaligus, dia memanggil Antek Mega Lendir untuk diri sendiri dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Jika karakter ini kalah lebih dari {DAMAGETHRESHOLD}% dari kesehatan maks sekaligus, dia memanggil Antek Mega Lendir untuk diri sendiri dengan {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Setiap kali karakter ini terkena status pelemahan Pembakaran, mereka memanggil seekor Antek Penjaga Hutan untuk mereka. Antek Penjaga Hutan mewarisi {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan dari karakter ini."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Setiap kali karakter menerima status pelemahan Kerusakan seiring Waktu, dia memanggil Antek Tentara Kartu untuk diri sendiri. Antek Tentara Kartu mewarisi {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan dari karakter ini."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Setiap kali karakter ini terkena status pelemahan yang memengaruhi pertahanan, mereka memanggil seekor Antek Banteng untuk mereka. Antek Banteng mewarisi {FAMILIARHEALTHPERCENT}% HP dan {FAMILIARATTACK}% serangan dari karakter ini."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Memanggil Antek Pipit untuk diri sendiri saat musuh memanggil Antek apa pun dengan Keahlian Khusus."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Ketika musuh memanggil Antek apa pun dengan Keahlian Khusus, karakter ini memanggil Iblis Anak Pohon Terkutuk ke musuh itu."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Ketika musuh memanggil Antek apa pun dengan Keahlian Khusus, karakter ini memanggil Iblis Bibit ke musuh itu."
"herocard.passive_skill.description.taunt","Keahlian Khusus karakter ini tidak terpengaruh oleh Ejekan."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Setiap kali karakter ini merapal Keahlian Khususnya, semua genjotan yang memengaruhi serangan, pertahanan, dan generasi mana pada semua musuh diubah menjadi status pelemahan yang cocok dan tidak bisa dibersihkan."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Setiap kali karakter ini merapal Keahlian Khususnya, semua genjotan yang memengaruhi serangan, pertahanan, dan generasi mana pada semua musuh diubah menjadi status pelemahan yang cocok dan tidak bisa dienyahkan."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Setiap kali karakter ini merapal Keahlian Khususnya, semua status pelemahan yang memengaruhi serangan, pertahanan, dan generasi mana pada semua sekutu diubah menjadi genjotan yang cocok dan tidak bisa dienyahkan."
"herocard.passive_skill.description.wither.all.enemies","Serangan dasar dan pertahanan dasar semua musuh berkurang {STATINCREASE} setiap giliran selama {MAXACTIVATIONCOUNT} giliran."
"herocard.passive_skill.inactive","TIDAK AKTIF: Capai level maks. dan naik sepenuhnya untuk mengaktifkan."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Keahlian Pasif sebagai karakter penyerang:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Keahlian Pasif sebagai karakter bertahan:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Efek Status saat Genjotan Serangan Musuh"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Efek Status saat Genjotan Pertahanan Musuh"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Efek Status saat Pengurangan Mana"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana saat Berdarah"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Menyembuhkan saat Berdarah"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana saat Pembakaran"
"herocard.passive_skill.title.bypassfamiliars.minion","Melewati Antek"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Melewati Antek secara Superior"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Durasi Efek Status Bertambah"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Momentum Penerbangan"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana saat Layu"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Bangkit Seiring Waktu"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Kekuatan Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Cantik di Dalam"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Cantik di Dalam"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Inti Cair"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Inti Cair"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Inti Korosif"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Inti Arktik"
"herocard.passive_skill.title.criticalmodifier","Pengubah Kritis"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Pengubah Kritis"
"herocard.passive_skill.title.critmodifier","Pengubah Peluang Kritis"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Dicap oleh Yang Lama"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Tanda Optimis"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Penguasaan Pasukan"
"herocard.passive_skill.title.debuffdamagereduction","Pengurangan Kerusakan Status Pelemahan"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Pengurangan Kerusakan Status Pelemahan"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Inti Destruktif"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Membersihkan saat Kematian Antek"
"herocard.passive_skill.title.dodgespecialdamage","Berkelit dari Kerusakan Khusus"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Tumpukan Khusus"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Menghancurkan Iblis saat Khusus"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Makan Antek dan Mendapat Mana Seiring Waktu"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana saat Kerusakan Khusus"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana saat Kerusakand"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Kerusakan pada Keahlian Khusus dan Kerusakan Lindungan"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Menumpuk Serangan saat Menderita Kerusakan"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Menumpuk Serangan saat Menderita Kerusakan"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Peningkatan Kesehatan pada Upaya Pembersihan Sekutu"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Kerusakan pada Upaya Pembersihan Musuh"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana saat Pengenyahan"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana saat Pengenyahan Genjotan"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Sembuh saat Penyakit Status Kedaluwarsa atau Dihapus"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Peningkatan Kesehatan saat Pengenyahan Genjotan"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Beku saat Antek Memukul"
"herocard.passive_skill.title.effectonheal.addmana","Mana saat Pemulihan Kesehatan"
"herocard.passive_skill.title.effectonheal.heal","Kesehatan Ekstra saat Pemulihan Kesehatan"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","PENYEMBUHAN Ekstra"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Efek Status Saat Pengurangan Mana"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Efek Status Saat Pengurangan Mana"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Peningkatan Kesehatan dan Mana Saat Menampik"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana Saat Keahlian Khusus Meningkatkan Kesehatan"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Meningkatkan Kesehatan Saat Kesehatan Musuh Meningkat"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Efek Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.safe.only_criticals.once","Membersihkan Saat Serangan Khusus Kritis"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Membersihkan Saat Serangan Khusus Kritis"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Peningkatan Kesehatan Saat Serangan Khusus Kritis"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals.once","Peningkatan Kesehatan Saat Serangan Khusus Kritis"
"herocard.passive_skill.title.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","Pemberontakan yang Benar"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Peningkatan Kesehatan Saat Serangan Khusus Kritis"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Kesehatan Naik Saat Keahlian Spesial Musuh"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Pengenyahan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Pembersihan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Kerusakan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Pemulihan Kesehatan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Peningkatan Kesehatan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Efek Status Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Berdarah Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Kutukan Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Kerusakan Seiring Waktu Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Peningkatan Kerusakan terhadap Peningkatan Kesehatan"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Kerusakan Seiring Waktu Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Efek Status Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Racun Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Serangan Awur Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Kerusakan Seiring Waktu Saat Keahlian Khusus"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Kerusakan Saat Keahlian Khusus Musuh"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana saat Ejek"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana saat Genjotan Pertahanan Musuh"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Efek Status saat Genjotan Pertahanan Musuh"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Efek Status saat Genjotan Serangan Musuh"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana Saat Menerima Genjotan"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana Saat Menerima Status Pelemahan"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Pemulihan Kesehatan Saat Menerima Genjotan"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Pemulihan Kesehatan Saat Menerima Status Pelemahan"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Genjotan Mana Saat Menerima Status Pelemahan"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana Saat Menerima Genjotan"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Pemulihan Kesehatan Saat Menerima Genjotan"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Peningkatan Kesehatan Saat Menghapus Efek Status"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Kerusakan Saat Menghapus Efek Status"
"herocard.passive_skill.title.effectovertime.revival","Bangkit Seiring Waktu"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per Genjotan Musuh"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Peningkatan Kesehatan Saat Terkena Racun"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana Saat Memanggil Antek"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Teman dari Familier"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana Saat Memanggil Iblis"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Amarah Piaraan"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Meningkatkan Kesehatan Saat Memanggil Iblis"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Antek Buta"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Inti Antek"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Antek Mega Lebih Lemah"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Antek Lebih Lemah"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Hentikan Antek Mega"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Hentikan Antek"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana Saat Beku"
"herocard.passive_skill.title.glass_reflect_debuffs","Kaca"
"herocard.passive_skill.title.growth","Bertumbuh"
"herocard.passive_skill.title.guaranteedeffectonspecial","Jaminan Efek Saat Keahlian Khusus"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Penyembuhan berkurang"
"herocard.passive_skill.title.healonheal.heal","PENYEMBUHAN Ekstra"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Kesehatan dari Antek Mati"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Peningkatan Kesehatan dari Antek Mati"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Peningkatan Serangan per Musuh yang Bukan Alam"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Peningkatan Serangan per Musuh yang Bukan Api"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Kerusakan Ekstra terhadap Antek & Antek Mega"
"herocard.passive_skill.title.increaseddamageagainstminions","Kerusakan terhadap Antek Bertambah"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Kerusakan terhadap Ejek Bertambah"
"herocard.passive_skill.title.increasespecialdamage","Kerusakan Keahlian Khusus Bertambah"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Kerusakan Keahlian Khusus Bertambah"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Kerusakan Keahlian Khusus Bertambah"
"herocard.passive_skill.title.insanitydamagereduction","Ditandai oleh Yang Lama"
"herocard.passive_skill.title.iterateeffectonspecial","Peluang Ekstra untuk Efek Saat Keahlian Khusus"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Kerugian Liga"
"herocard.passive_skill.title.league_featured_family_resist","Kerugian Liga"
"herocard.passive_skill.title.league_heal_modifier_against_family","Kerugian Liga"
"herocard.passive_skill.title.league_heal_modifier_for_family","Kerugian Liga"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Kerugian Liga"
"herocard.passive_skill.title.manadebuffprotection","Perlindungan Pelemahan Generasi Mana"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Mengurangi perolehan Mana dari Keahlian Khusus"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana saat Antek Tewas"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana dari Pelemahan"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Hafal Antek dan Iblis Musuh"
"herocard.passive_skill.title.memorizestatuseffects","Hafal Status Pelemahan"
"herocard.passive_skill.title.mimic_dread_damage_minions","Rasa Takut"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Jarahan Mimik"
"herocard.passive_skill.title.nevermissspecial","Akurasi Sempurna"
"herocard.passive_skill.title.ransack","Kesempatan Pencuri"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Curi Genjotan"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Naluri Pemburu"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Penguasaan Pasukan"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Kenaikan Kerusakan Bola Api Kuat"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Menipu Kematian"
"herocard.passive_skill.title.remove_growth_from_enemies","Reli Penjaga"
"herocard.passive_skill.title.remove_wither_from_allies","Reli Penjaga"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Inti Reparasi"
"herocard.passive_skill.title.repeat_special_once","Hoki"
"herocard.passive_skill.title.resist.accuracymodifiers","Tampik Kebutaan"
"herocard.passive_skill.title.resist.alldebuffs","Tampik Status Pelemahan"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Tampik Semua Pelemahan"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Penampikan Puncak"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Tampik Pelemahan Pertahanan"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Tampik Pengurangan Pertahanan"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Tampik Pelemahan Mana"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Tampik Kerusakan dari Efek Status"
"herocard.passive_skill.title.resist.attackdelay","Tampik Penundaan Serangan"
"herocard.passive_skill.title.resist.attackmodifiers","Tampik Pelemahan Serangan"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Tampik Efek Status Serangan"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Tampik Pengurangan Serangan"
"herocard.passive_skill.title.resist.bleed","Tampik Berdarah"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Tampik Berdarah yang Diberdayakan"
"herocard.passive_skill.title.resist.buffdispels","Tampik Pengenyahan"
"herocard.passive_skill.title.resist.buffimmunity","Tampik Pemblokiran Genjotan"
"herocard.passive_skill.title.resist.burn","Tampik Pembakaran"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Tampik Pembakaran yang Diberdayakan"
"herocard.passive_skill.title.resist.criticalhits.none","Tampik Pukulan Kritis"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Tampik Pelemahan Pertahanan"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Antek Tak Terhentikan"
"herocard.passive_skill.title.resist.frost","Tampik Pembekuan"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Tampik Pembekuan yang Diberdayakan"
"herocard.passive_skill.title.resist.healeffects","Tampik Pelemahan Penyembuhan"
"herocard.passive_skill.title.resist.healthsteal","Tampik Pelemahan Curi Kesehatan"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Tampik Kegilaan"
"herocard.passive_skill.title.resist.manadebuffs","Tampik Pelemahan Mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Tampik Pelemahan Mana dan Pemblokiran Keahlian Khusus"
