"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.halting_counter_strike","هجمة الإيقاف المضادة"
"specials.name.hammer_thump","ضربة المطرقة"
"specials.name.harmonic_bash","سحقة متناسقة"
"specials.name.harmonic_slam","ضربة متناسقة"
"specials.name.harpoon_sentry","حارس الرماح"
"specials.name.harpy_claw","مخلب هاربي"
"specials.name.harrow_the_heart","جرافة القلب"
"specials.name.hasty_gift_wrapper","مُغلف الهدايا السريع"
"specials.name.hasty_trigger_finger","أصبع الزناد المتسرع"
"specials.name.have_curiosity","اكتساب الأمل"
"specials.name.have_faith","تحلَّ بالإيمان"
"specials.name.haze_of_the_deceased","ضباب الساقطين"
"specials.name.head_hurl","قذف الرؤوس"
"specials.name.healing_chant","ترنيمة شافية"
"specials.name.healing_fire_spirits","روح النار المعالجة"
"specials.name.healing_gift","شفاء بلا وعي"
"specials.name.healing_gift_anteros","شفاء بلا وعي"
"specials.name.healing_gift_kabeiroi","شفاء بلا وعي"
"specials.name.healing_mirror","المرآة الشافية"
"specials.name.healthiest_catch","قبضة الأقوى"
"specials.name.hearty_stew","الحساء المشبع"
"specials.name.heatstinger","لاسع الحرارة"
"specials.name.heavy_fragrance","الرائحة القوية"
"specials.name.heedless_hammer_flurry","ضربات المطرقة منزوعة الرأس"
"specials.name.heirloom_dagger","خنجر الإرث"
"specials.name.helping_hands","أيدي المساعدة"
"specials.name.hemlock_tea","شاي الشوكران"
"specials.name.herbal_remedies","العلاج بالأعشاب"
"specials.name.herculean_throw","رمية هرقل"
"specials.name.herd_stampede","تدافع القطيع"
"specials.name.here_catch","إليك! أمسك!"
"specials.name.heretic_slayer","القاتل المارق"
"specials.name.heroic_noble","رمية الرمح متعدد الرؤوس"
"specials.name.heroic_noble_deadly","رمية الرمح متعدد الرؤوس"
"specials.name.herring_blaster","ناسف السمك"
"specials.name.herring_surprise","مفاجأة السمك"
"specials.name.hide_in_shadows","اختبئ في الظلال"
"specials.name.high_altitude_ambush","الكمين ذو الارتفاع العالي"
"specials.name.high_energy_field","مجال الطاقة العالية"
"specials.name.high_noon_sun","شمس قيظ الظهيرة"
"specials.name.holding_down_the_fort","التمسك بالحصن"
"specials.name.hollow_boast","تفاخر فارغ"
"specials.name.holy_aura","هالة مقدسة"
"specials.name.holy_guard","الحارس المقدس"
"specials.name.holy_hibiscus_ale","مشروب الكركديه المقدس"
"specials.name.holy_mark","العلامة المقدسة"
"specials.name.holy_splash","الدفقة المقدسة"
"specials.name.home_run","نجاح ساحق"
"specials.name.horn_attack","هجوم القرون"
"specials.name.horrifying_wail","العويل المرعب"
"specials.name.horses_curse","نسيم الرمال"
"specials.name.hoverboard_crash","تحطم اللوح الطائر"
"specials.name.hoverboard_slam","ضربة اللوح الطائر"
"specials.name.howling_sword","سيف العواء"
"specials.name.hues_of_love","ألوان الحب"
"specials.name.hungering_grave","قبر المجاعة"
"specials.name.hunt_for_prey","صيد الفرائس"
"specials.name.hunters_instinct","حدس الصياد"
"specials.name.hunters_mark","علامة الصياد"
"specials.name.hunters_true_shot","رمية الصياد الصائبة"
"specials.name.hunting_ballad","أغنية الصيد"
"specials.name.hunting_charge","هجوم الصيد"
"specials.name.hydra_bite","عضة هيدرا"
"specials.name.hymn_of_enrichment","أنشودة الإثراء"
"specials.name.hyper_porridge","حساء الشعير الفائق"
"specials.name.hyperborean_hook","خطاف هيبربوريا"
"specials.name.hypersonic_tackle","هجوم فائق الصوت"
"specials.name.hypnosis_dragon_pve","تنويم مغناطيسي"
"specials.name.iaijutsu_slashes","آياجوتسو"
"specials.name.ice_and_slice","الجليد والقطع"
"specials.name.ice_boom","انفجار الثلج"
"specials.name.ice_cold_order","الأمر المثلج"
"specials.name.ice_cream_smash","سحق المثلجات"
"specials.name.ice_treatment","علاج الثلج"
"specials.name.iceberg_aura","هالة جليدية"
"specials.name.iceberg_crush","الارتطام الجليدي"
"specials.name.iceberg_havoc","الخراب الجليدي"
"specials.name.icebound_howl","العواء الجليدي"
"specials.name.icebound_ritual","طقوس الجليد"
"specials.name.icecold_finisher","المنهي المثلج"
"specials.name.icehammer_smash","تحطيم بمطرقة الثلج"
"specials.name.iceshatter","تحطم الجليد"
"specials.name.icy_axes","الفؤوس الثلجية"
"specials.name.icy_mandibles","الفك الثلجي"
"specials.name.icy_resilience","الصمود الثلجي"
"specials.name.ill_bring_you_back","سأعيدك"
"specials.name.ill_fated_experiment","التجربة المشؤومة"
"specials.name.ill_fated_recovery","التعافي المنحوس"
"specials.name.imaginary_increments","علاوات خيالية"
"specials.name.immortal_annihilator","المدمّر الخالد"
"specials.name.immortal_annihilator_deadly","المدمّر الخالد"
"specials.name.immortal_punisher","المعاقب الخالد"
"specials.name.impairing_strike","ضربة الإضعاف"
"specials.name.impale_and_devour","الطعن والافتراس"
"specials.name.impeccable_charge","الاندفاع المتقن"
"specials.name.impeding_bolts","صواعق إعاقة"
"specials.name.impervious_formation","التشكيل المنيع"
"specials.name.impossible_groove","أخدود مستحيل"
"specials.name.impossible_riddle","الأحجية المستحيلة"
"specials.name.incite_ki","كي المحرض"
"specials.name.incite_ki2","كي المحرض"
"specials.name.indestructible_claw","المخلب المتين"
"specials.name.indifferent_blade","نصل حيادي"
"specials.name.inevitable_demise","هلاك حتمي"
"specials.name.infernal_chops","قَطعات جهنمية"
"specials.name.infernal_drumstorm","عاصفة الطبول المشتعلة"
"specials.name.infernal_flames","لهب جهنمي"
"specials.name.infernal_jaws","الفكوك الجهنمية"
"specials.name.ingenious_gadgets","أدوات بارعة"
"specials.name.ink_bomb","قنبلة الحبر"
"specials.name.innovative_lunge","الاندفاع المبتكر"
"specials.name.insidious_goo","الغراء الماكر"
"specials.name.inspiring_fencing","مبارزة مثيرة"
"specials.name.insurmountable_flux","فيضان لا يقهر"
"specials.name.intimidating_stance","الوضعية المرعبة"
"specials.name.invigorating_pollen","حبوب لقاح مقوية"
"specials.name.invigorating_soup","الحساء المنشط"
"specials.name.invisible_strike","الضربة الخفية"
"specials.name.iron_discipline_cut","نصل الانضباط الحديدي"
"specials.name.iron_rocket_fist","قبضة الصاروخ الحديدي"
"specials.name.ironbound_fury","غضب شديد"
"specials.name.jab_and_hook","لكمة مضاعفة"
"specials.name.jack_of_owl_trades","خبير في البوم"
"specials.name.jackal_strike","ضربة الثعلب"
"specials.name.jade_blades","شفرات اليشم"
"specials.name.jaw_clamp","الفخاخ المنتشرة"
"specials.name.jaws_of_the_river","فك النهر"
"specials.name.jewel_of_the_deep","جوهرة الأعماق"
"specials.name.join_in_joyful_song","الانضمام إلى الأغنية المرحة"
"specials.name.joyful_noise","ضوضاء مرحة"
"specials.name.joyful_palette","الألوان المرحة"
"specials.name.judgement_of_goo","حكم اللزوجة"
"specials.name.judgment_and_penance","الحُكم والتوبة"
"specials.name.judgment_of_sun","حُكم الشمس"
"specials.name.juggling_trials","اختبارات التوازن"
"specials.name.jungle_fury","غضب الأدغال"
"specials.name.jungle_riposte","رد الغابة"
"specials.name.jungle_slash","شطب المستنقع"
"specials.name.just_a_flesh_wound","مجرد جرح طفيف"
"specials.name.karnov","هزيمة ساحقة"
"specials.name.katana_rain","أمطار كاتانا"
"specials.name.katana_rain_pve","أمطار كاتانا"
"specials.name.keep_the_peace","حفظ السلام"
"specials.name.keyknife_typhoon","إعصار سكين المفتاح"
"specials.name.khans_order","نظام خان"
"specials.name.kindled_carpet","السجادة المشتعلة"
"specials.name.kings_blood_poisoning","ليلة الأسى"
"specials.name.kings_curse","عاصفة رملية"
"specials.name.kings_curse_pve","عاصفة رملية"
"specials.name.kings_feast","وليمة الملك"
"specials.name.kite_of_endurance","طائرة التحمل"
"specials.name.kitten_stampede","تدافع الهررة"
"specials.name.knights_armor","درع الفارس"
"specials.name.knights_fury","غضب الفارس"
"specials.name.knights_parry","مراوغة الفارس"
"specials.name.kong_smash","تحطيم كونج"
"specials.name.kunai_assault","اعتداء الكوناي"
"specials.name.lacerating_leap","القفزة الجارحة"
"specials.name.lacerating_letters","الرسائل الجارحة"
"specials.name.lacerating_whip","السوط الجارح"
"specials.name.ladys_charm","سحر السيدة"
"specials.name.ladys_flowers","زهور السيدة"
"specials.name.lament_of_the_hunt","مرثاة الصيد"
"specials.name.lance_of_avarice","حربة الجشع"
"specials.name.lance_of_torment","حربة العذاب"
"specials.name.lance_thrust","طعنة الرمح"
"specials.name.landslide","انهيار الأرض"
"specials.name.lantern_of_insanity","مصباح الجنون"
"specials.name.larva_prescription","وصفة اليرقة"
"specials.name.lash_of_the_whip","جلدة السوط"
"specials.name.lasso_of_love","حبل الحب"
"specials.name.last_words","الكلمات الأخيرة"
"specials.name.laundry_day","يوم الغسيل"
"specials.name.lava_blast","انفجار الحمم البركانية"
"specials.name.lava_spit","بصاق الحمم البركانية"
"specials.name.lava_splash_dragon_pve","رشاش نار الروح"
"specials.name.lavablow","اعتداء اللهب"
"specials.name.lavablow_pve","اعتداء اللهب"
"specials.name.lavaslash","قطع الحمم البركانية"
"specials.name.leaf_blast","انفجار الأوراق"
"specials.name.leafglow_bloom","ازدهار توهج الورق"
"specials.name.leaping_attack","قفزة الهجوم"
"specials.name.leeching_saw","منشار طفيلي"
"specials.name.leeching_stars","نجوم طفيلية"
"specials.name.leeching_worms","ديدان مستنزفة"
"specials.name.legacy_of_darkness","إرث الظلام"
"specials.name.legerdemain","شعوذة"
"specials.name.legerdemain_heart","صليب"
"specials.name.legerdemain_joker","نجوم"
"specials.name.legerdemain_skull","جمجمة"
"specials.name.legions_of_darkness","جيوش الظلام"
"specials.name.legions_of_tyrant","جيوش الطاغية"
"specials.name.lesson_in_clear_focus_pve","الدرس الواضح"
"specials.name.lesson_in_expecting_the_unexpected_pve","قلل من توقعاتك"
"specials.name.lesson_in_fire_safety_pve","الدرس في السلامة من النار"
"specials.name.lesson_in_remaining_hydrated_pve","الدرس في البقاء رطبًا"
"specials.name.lesson_in_staying_cool_pve","الدرس في الحفاظ على الهدوء"
"specials.name.lethal_needles","الإبر المميتة"
"specials.name.lethal_needles2","الإبر المميتة"
"specials.name.lethal_strikes","الضربات المميتة"
"specials.name.levitating_lunchbox_deluxe","رفع لانش بوكس ديلوكس"
"specials.name.lifeforce_leech","علقة الحياة"
"specials.name.light_barrier_dragon_pve","حاجز الضوء"
"specials.name.light_grenades","قنابل يدوية خفيفة"
"specials.name.light_grenades2","قنابل يدوية خفيفة"
"specials.name.light_my_fire","اشعل نيراني"
"specials.name.lightning_charge","هجوم البرق"
"specials.name.lightning_stream","البرق المندفع"
"specials.name.lightning_stream2","البرق المندفع"
"specials.name.lightning_ultimatum","الإنذار البرقي"
"specials.name.lightning_ultimatum_pve","الإنذار البرقي"
"specials.name.litter_of_kittens","فضلات القطط"
"specials.name.liturgy_of_the_fallen","شعائر الساقطين"
"specials.name.looking_for_love","البحث عن الحب"
"specials.name.lookouts_refreshment","انتعاش المراقب"
"specials.name.loom_of_destruction","دمار يلوح في الأفق"
"specials.name.lord_of_the_jungle","سيّد الأدغال"
"specials.name.lords_blood_poisoning","فجر الأسى"
"specials.name.love_at_first_sight","الحب من النظرة الأولى"
"specials.name.love_conquers_all","الحب يقهر جميع المصاعب"
"specials.name.love_conquers_all_pve","الحب يقهر جميع المصاعب"
"specials.name.loving_queen","الملكة المحبة"
"specials.name.lucky_coin","العملة المحظوظة"
"specials.name.lucky_fu_jow_pai","فو جو باي المحظوظ"
"specials.name.lucky_nine","لعبة التسعة المحظوظة"
"specials.name.luminescent_electrocution","الصعق الكهربائي المضيء"
"specials.name.luminous_lance","الحربة المضيئة"
"specials.name.lunar_blessing","المباركة القمرية"
"specials.name.lunar_blessing_moon_beam","شعاع القمر"
"specials.name.lunar_bloom","ازدهار قمري"
"specials.name.lunar_locket","القلادة القمرية"
"specials.name.lunar_shield","الدرع القمري"
"specials.name.lunar_spear","الرمح القمري"
"specials.name.luring_song","أغنية الإغواء"
"specials.name.machinists_cutlass","سيف الميكانيكي المقوس"
"specials.name.mad_as_a_hatter","أحمق"
"specials.name.mad_rat_mania","هوس الجرذ المجنون"
"specials.name.mad_tea_party","حفلة الشاي الجنونية"
"specials.name.madrigal_of_mayhem","قصيدة الفوضى"
"specials.name.mageball_blast","انفجار كرة الساحر"
"specials.name.mageball_blast_pve","انفجار كرة الساحر"
"specials.name.magic_mirror_of_power","مرآة القوة السحرية"
"specials.name.magical_balan","بالان السحري"
"specials.name.magical_sword","السيف السحري"
"specials.name.magma_boulders","صخور بركانية"
"specials.name.magma_smash","تحطم الحمم البركانية"
"specials.name.magmatic_burns","حروق بركانية"
"specials.name.magmatic_tempest","العاصفة البركانية"
"specials.name.magnificent_meal","وجبة هائلة"
"specials.name.maidens_command","قيادة السيدة"
"specials.name.maidens_orders","أوامر الفتاة"
"specials.name.make_them_harmless","إخفاء الضرر"
"specials.name.malevolent_toys","الألعاب الحاقدة"
"specials.name.malison_of_the_wildlands","ماليسون البراري"
"specials.name.mallet_swing_of_the_beast","ضربة مطرقة الوحش"
"specials.name.mana_immolation","قربان القوة"
"specials.name.mana_immolation_soul_seeker","التضحية الروحية"
"specials.name.mana_manipulation","تلاعب القوة"
"specials.name.mana_scavange","تنقية القوة"
"specials.name.mana_stealer","عين النبيّ"
"specials.name.mantis_strike","ضربة السرعوف"
"specials.name.marble_frenzy","جنون الكرات"
"specials.name.marc","الاندفاع الجنوني"
"specials.name.mark_of_anubis","علامة أنوبيس"
"specials.name.mark_of_fire","علامة النار"
"specials.name.mark_of_ivy","أثر اللبلاب"
"specials.name.mark_of_nature","علامة الطبيعة"
"specials.name.mark_of_the_jackal","علامة الثعلب"
"specials.name.mark_the_prey","تحديد الفريسة"
"specials.name.marked_aim","الهدف المحدد"
"specials.name.martial_dance","براعة كين"
"specials.name.martial_masterstroke","الأداء العسكري البارع"
"specials.name.martial_prowess","براعة عسكرية"
"specials.name.masons_rage","غضب البنَّاء"
"specials.name.massive_bite","العضة الهائلة"
"specials.name.massive_chop","قطعة ساحقة"
"specials.name.massive_cleave","الشقّ الضخم"
"specials.name.massive_swing","ضربة هائلة"
"specials.name.master_of_ailments","سيد الأمراض"
"specials.name.master_plan","الخطة الرئيسية"
"specials.name.masterful_balance","التوازن الاحترافي"
"specials.name.masterful_manipulation","التلاعب الاحترافي"
"specials.name.mauling_tusk","الناب المحطم"
"specials.name.mean_jab_dragon_pve","اللكمة الخبيثة"
"specials.name.mechanical_augmentations","التعزيزات الميكانيكية"
"specials.name.medicinal_drool","اللعاب الطبي"
"specials.name.medicinal_fumes","الأبخرة الطبية"
"specials.name.melody_harvest","حصاد الأنغام"
"specials.name.melody_of_mana_control","لحن التحكم بالقوة"
"specials.name.melody_of_misery","لحن التعاسة"
"specials.name.memory_manipulation","التلاعب بالذاكرة"
"specials.name.memory_of_the_queen","ذكرى الإمبراطورة"
"specials.name.mending_bronze_axe","إصلاح الفأس البرونزي"
"specials.name.mending_mantra","التعويذة المصلحة"
"specials.name.mending_stitches","الغرز المصلَّحة"
"specials.name.merciless_bite","عضة لا ترحم"
"specials.name.merciless_execution","إعدام وحشي"
"specials.name.merciless_pulverizer","الساحق الشرس"
"specials.name.merriest_misery","أسعد شقاء"
"specials.name.mesmerizing_mirror","مرآة مذهلة"
"specials.name.miasma_mace","الرذاذ الفاسد"
"specials.name.midnight_magic","سحر منتصف الليل"
"specials.name.midnight_moon","قمر نصف الليل"
"specials.name.midnight_smite","ضربة منتصف الليل"
"specials.name.midnight_strike","ضربة منتصف الليل"
"specials.name.midsummers_dream","حلم منتصف الصيف"
"specials.name.midsummers_reverie","حلم منتصف الصيف"
"specials.name.might_of_ares","قوة آريس"
"specials.name.might_of_excalibroom","قوة إكسكاليبروم"
"specials.name.might_of_the_ice_giants","قوة عمالقة الثلج"
"specials.name.might_of_the_ice_giants_final","قوة عمالقة الثلج"
"specials.name.mimic_bite","عضة محاكٍ"
"specials.name.mimic_bite_burn","العضة القارضة"
"specials.name.mimic_bite2","عضة محاكٍ مفترس"
"specials.name.mimic_bite3","جشع المحاكاة"
"specials.name.mimic_bite4","تحريض المحاكاة"
"specials.name.mimic_special","الوحش الماكر"
"specials.name.mimic_special2","الوحش الماكر"
"specials.name.mimic_training_hero_blue_bite","الالتهام الجشع"
"specials.name.mimic_training_hero_green_bite","الالتهام الجشع"
"specials.name.mimic_training_hero_purple_bite","الالتهام الجشع"
"specials.name.mimic_training_hero_red_bite","الالتهام الجشع"
"specials.name.mimic_training_hero_yellow_bite","الالتهام الجشع"
"specials.name.mind_blast","انفجار العقل"
"specials.name.mindless_attack","هجوم بلا وعي"
"specials.name.minion_scrutiny","تحقيق التابع"
"specials.name.mischievous_flourish","ازدهار مزعج"
"specials.name.mischievous_flourish_pve_advanced","ازدهار مزعج"
"specials.name.mischievous_flourish_pve_normal","ازدهار مزعج"
"specials.name.mischievous_tiein","علاقة خبيثة"
"specials.name.missile_mania","هوس الصواريخ"
"specials.name.mist_of_the_fallen","غشاوة الساقطين"
"specials.name.mistletoe_medley","مزيج الهدال"
"specials.name.misty_punches","اللكمات الضبابية"
"specials.name.mixed_green_herbs","أعشاب خضراء متنوعة"
"specials.name.moldavite_wings","أجنحة مولدافيت"
"specials.name.molten_wax","شمع منصهر"
"specials.name.monastic_restraint","ضبط النفس الشديد"
"specials.name.monstrous_bite","العضة الوحشية"
"specials.name.moody_jab_dragon_pve","اللكمة المزاجية"
"specials.name.mooing_for_a_fight","الصارخ من أجل قتال"
"specials.name.moon_boomerang","بُمِرَنج القمر"
"specials.name.moon_crush_beam","شعاع سحق القمر"
"specials.name.moonlight_crescendo","تجاهر ضوء القمر"
"specials.name.moonlight_serenade","لحن ضوء القمر"
"specials.name.moonlight_sonata","سوناتا ضوء القمر"
"specials.name.moonstone_glare_dragon_pve","وهج حجر القمر"
"specials.name.moreau_phase1_special","حقد العمى"
"specials.name.moreau_phase2_special1","حقد العمى"
"specials.name.moreau_phase2_special2","حقد العمى"
"specials.name.morning_catch","صيد الصباح"
"specials.name.mother_dragons_love","حب أم التنين"
"specials.name.motherly_care","رعاية أمومية"
"specials.name.motherly_care_pve","رعاية أمومية"
"specials.name.motherly_love","حنان الأم"
"specials.name.muffin_poisoning","تسمم الكعك"
"specials.name.multi_elemental_mark","علامة متعددة العناصر"
"specials.name.multi_throw","القذف المتعدد"
"specials.name.mummy_slash","شق المومياء"
"specials.name.mummy_strike","ضربة المومياء"
"specials.name.musketeers_deal","صفقة الفارس"
"specials.name.musketeers_mead","شراب الفارس"
"specials.name.mutated_specimen","عينة متحولة"
"specials.name.mutating_mixture","الخليط المتحور"
"specials.name.mystery_potions","الجرعات الغامضة"
"specials.name.mystic_chop","قطعة غامضة"
"specials.name.mystical_concerto","كونشيرتو غامضة"
"specials.name.mystics_virtue","فضيلة المتصوّف"
"specials.name.mythic_lightning","البرق الأسطوري"
"specials.name.nasty_hammer","المطرقة البغيضة"
"specials.name.natures_blessing","الغضب الهائج"
"specials.name.natures_connection","التواصل مع الطبيعة"
"specials.name.natures_fury","غضب الطبيعة"
"specials.name.natures_payback","انتقام الطبيعة"
"specials.name.nebula_orb","مدار السديم"
"specials.name.nebula_orb_ultimate_boss","مدار السديم"
"specials.name.necronomicon_page_13","كتاب العزيف صفحة 13"
"specials.name.nephrite_blade","نصل النيفريت"
"specials.name.nethershield","نيذيرشيلد"
"specials.name.never_ending_winter","شتاء أبدي"
"specials.name.night_falls","حلول الليل"
"specials.name.night_of_crimes","ليلة الجرائم"
"specials.name.nightbloom_dust","غبار نايتبلوم"
"specials.name.nightglade_pollen","غبار لقاح فسحة الغابة"
"specials.name.nights_calibration","المعايرة الليلية"
"specials.name.nights_whisper","همسة الليل"
"specials.name.nimble_bite","عضة خفيفة"
"specials.name.nine_dragon_strike","ضربات التنين التسعة"
"specials.name.nobles_empathy","التعاطف النبيل"
"specials.name.nobles_empathy_costume_artisan","تعاطف الخطاط"
"specials.name.nomadic_hymn","ترنيمة الرحالة"
"specials.name.northern_wanderer","الدعم المبهج"
"specials.name.noxious_blossom","الزهرة المضرة بالصحة"
"specials.name.noxious_chord","الوتر الضار"
"specials.name.noxious_cleave","الشق الهدام"
"specials.name.noxious_cleave_pve","الشق الهدام"
"specials.name.nuts_of_yggdrasil","بندق إغدراسيل"
"specials.name.oath_of_templar","عهد الفارس"
"specials.name.obliterating_surge","الاندفاع المبيد"
"specials.name.ocarina_windsong","صفير الأوكارينا"
"specials.name.occult_redemption","الخلاص الخفي"
"specials.name.ocean_vortex","دوامة المحيط"
"specials.name.oceanic_offensive","الهجوم المحيطي"
"specials.name.oceanic_slayer","قاتل المد والجزر"
"specials.name.oceanic_suffering","معاناة المحيط"
"specials.name.oceanic_torrent","السيل المحيطي"
"specials.name.oceans_decay","تآكل المحيط"
"specials.name.oceans_embrace","جوف المحيط"
"specials.name.oceans_ruin","أطلال المحيط"
"specials.name.odd_drum_roll","قرع الطبل الغريب"
"specials.name.oji_waza","أوجي-وازا"
"specials.name.old_curse","لعنة قديمة"
"specials.name.omega_flame","ضربة أوميجا"
"specials.name.omega_strike_dark","ضربة أوميجا"
"specials.name.omega_strike_fire","ضربة أوميجا"
"specials.name.omega_strike_holy","ضربة أوميجا"
"specials.name.omega_strike_ice","ضربة أوميجا"
"specials.name.omega_strike_nature","ضربة أوميجا"
"specials.name.omen_of_retribution","نذير العقاب"
"specials.name.omnicure","العلاج الدائم"
"specials.name.omniheal","شفاء كلّي"
"specials.name.omnimend","أومنيمند"
"specials.name.one_hit_wonder","روعة الضربة الواحدة"
"specials.name.one_jump_ahead","تقدم بخطوة"
"specials.name.one_spell_ahead","تقدم بتعويذة"
"specials.name.opposing_raid","مداهمة منافسة"
"specials.name.orchestra_of_candles","أوركسترا الشموع"
"specials.name.orchids_and_roses","البساتين والزهور"
"specials.name.order_ambush","كمين النظام"
"specials.name.order_ambush_pve","كمين النظام"
"specials.name.order_from_the_depths","أمر من الأعماق"
"specials.name.order_to_overwhelm","الأمر بالانتصار"
"specials.name.orsoldoon","أورسولدون"
"specials.name.overpowering_grip_dragon_pve","القبضة المهيمنة"
"specials.name.overvlowing_whirlwind","الرياح العاصفة المتدفقة"
"specials.name.overwhelming_raid","المداهمة العنيفة"
"specials.name.owls_blessing","مباركة البومة"
"specials.name.pacifying_presence_dragon_pve","قوة مهدئة"
"specials.name.pain_harvest","حصاد الألم"
"specials.name.paragon_of_constellations","نموذج مجموعة النجوم"
"specials.name.paralyzing_spore","البوغ الشالّ"
"specials.name.parcel_of_the_dragon_familiar","طرد معهود التنين"
"specials.name.passion_conquers_all","العاطفة تغلب كل شيء"
"specials.name.pathfinders_compass","بوصلة المستكشف"
"specials.name.paw_in_every_pie","كف في كل شطيرة"
"specials.name.pawns_of_divinity","بيادق الأسياد"
"specials.name.paws_or_claws","كفوف أم مخالب"
"specials.name.peach_of_immortality","خوخ الخلود"
"specials.name.pearls_of_rejuvenation","لآلئ التجديد"
"specials.name.perfect_riposte","الرد المثالي"
"specials.name.perfect_shot","الطلقة المثالية"
"specials.name.perfect_teamwork","العمل الجماعي المثالي"
"specials.name.perfume_cloud","سحابة العطور"
"specials.name.perilous_gift","هدية خطرة"
"specials.name.perilous_present_pve","هدية خطرة"
"specials.name.perilous_waters","مياه محفوفة بالمخاطر"
"specials.name.perplexing_riddle","اللغز المربك"
"specials.name.pest_control","مكافحة الحشرات"
"specials.name.pet_larva","يرقة أليفة"
"specials.name.petals_of_nourishment","بتلات التغذية"
"specials.name.petrifying_knuckles","المفاصل المرعبة"
"specials.name.petrifying_performance","أداء مرعب"
"specials.name.picnic_in_the_sky","نزهة في السماء"
"specials.name.pie_of_protection","غنيمة الحماية"
"specials.name.piercing_falcon","الصقر الثاقب"
"specials.name.piercing_hit","إصابة ثاقبة"
"specials.name.piercing_practice_slash","الضربة التدريبية الثاقبة"
"specials.name.piercing_sabre","السيف الخارق"
"specials.name.piercing_scream_dragon_pve","صرخة ثاقبة"
"specials.name.piercing_shot","الطلقة الخارقة"
"specials.name.piercing_strike","ضربة ثاقبة"
"specials.name.piercing_tusk","ناب ثاقب"
"specials.name.pincer_claw","المخلب القابض"
"specials.name.pincer_claw_deadly","المخلب القابض"
"specials.name.pineapple_alchemist","خيميائي الأناناس"
"specials.name.pineapple_barbeque","شواء الأناناس"
"specials.name.pirate_shot","طلقة القرصان"
"specials.name.pirates_vengeance","انتقام القرصان"
"specials.name.pixie_dust","غبار بيكسي"
"specials.name.plague_bite","قضمة الوباء"
"specials.name.plague_blade","نصل الوباء"
"specials.name.planar_time_widget","عنصر الوقت المسطح"
"specials.name.planetary_charge","الشحنة الكوكبية"
"specials.name.plantipede_sting","عضة نباتات الزينة"
"specials.name.plentiful_harvest","الحصاد الوفير"
"specials.name.plentiful_minerals","المعادن الوفيرة"
"specials.name.plume_flash","وميض ريشة"
"specials.name.poem_of_the_centaurs","قصيدة القنطورات"
"specials.name.poem_of_the_morass","قصيدة موراس"
"specials.name.poetic_justice","العدالة الشعرية"
"specials.name.poets_protection","حماية الشاعر"
"specials.name.pointy_darts","السهام الحادة"
"specials.name.poison_bite","عضة سامة"
"specials.name.poison_bite_dragon_pve","عضة سامة"
"specials.name.poison_bolt_zidane","صعقة سامّة"
"specials.name.poison_claw","مخلب سام"
"specials.name.poison_jolt","صعقة سامّة"
"specials.name.poison_strike","ضربة السمّ"
"specials.name.poison_tipped_arrow","سم - السهم المدبب"
"specials.name.poison_web","شبكة السمّ"
"specials.name.poisoned_blade","نصل سام"
"specials.name.poisoning_blade","النصل السام"
"specials.name.poisonous_mist","ضباب سام"
"specials.name.poisonous_saliva","اللعاب السام"
"specials.name.polar_bash","الضربة القطبية"
"specials.name.polar_night_blizzard","العاصفة الثلجية لليلة القطبية"
"specials.name.poleaxe_of_the_law","فأس القانون"
"specials.name.polestar_expedition","رحلة بولستار"
"specials.name.pompous_flex","فليكس المغرور"
"specials.name.portents_of_future","نذير المستقبل"
"specials.name.possessed_strike","ضربة الممسوس"
"specials.name.possessor_of_penance","صاحب الكفارة"
"specials.name.postal_pulverizer","الساحق البريدي"
"specials.name.potion_cocktail","مزيج الجرعة"
"specials.name.potions_of_covetous_desire","جرعات من الرغبة المعدية"
"specials.name.potions_of_covetous_desire_pve","جرعات من الرغبة المعدية"
"specials.name.potions_of_havoc_and_healing","جرعات من الخراب والشفاء"
"specials.name.pounce_of_the_lioness","انقضاض الأسد"
"specials.name.pounding_attack","الهجوم الساحق"
"specials.name.power_of_ajna","قوة أجنا"
"specials.name.power_of_flora","قوة النباتات"
"specials.name.power_of_mjolnir","قوة مجولنير"
"specials.name.power_of_the_forest","قوة الغابة"
"specials.name.power_of_the_void","قوة العدم"
"specials.name.power_punch","لكمة ساحقة"
"specials.name.power_slam","باور سلام"
"specials.name.power_wave","موجة القوة"
"specials.name.prayer_of_the_desert","دعوة الصحراء"
"specials.name.precious_pets","حيوانات أليفة مهمة"
"specials.name.precious_pets_pve_advanced","حيوانات أليفة مهمة"
"specials.name.precious_pets_pve_normal","حيوانات أليفة مهمة"
"specials.name.precise_chop","ضربة خاطفة دقيقة"
"specials.name.precise_riposte","الرد الدقيق"
"specials.name.preserve_and_freeze","الإصرار والتجمد"
"specials.name.prestidigitation","الشعوذة"
"specials.name.prestidigitation_cross","صليب"
"specials.name.prestidigitation_skull","جمجمة"
"specials.name.prestidigitation_stars","نجوم"
"specials.name.primeval_glaive","السيف البدائي"
"specials.name.princess_unleashed","تحرير الأميرة"
"specials.name.prosperity_for_domain","ازدهار القطاع"
"specials.name.protective_aura","الهالة الواقية"
"specials.name.protective_stance","موقف وقائي"
"specials.name.protector_of_the_blue_river","حامية النهر الأزرق"
"specials.name.protein_corruption","فساد البروتين"
"specials.name.protein_eater","آكل البروتين"
"specials.name.prudent_stab","طعنة حذرة"
