"herocard.passive_skill.description.addmana.all.allies","Все союзники получают небольшое количество маны."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Если герой теряет больше, чем {DAMAGETHRESHOLD} % макс. здоровья разом: призывает склизкого мегаприслужника для себя с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Если герой теряет больше, чем {DAMAGETHRESHOLD} % макс. здоровья разом: призывает склизкого мегаприслужника для себя с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Если герой теряет больше, чем {DAMAGETHRESHOLD} % макс. здоровья разом: призывает склизкого мегаприслужника для себя с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Если герой теряет больше, чем {DAMAGETHRESHOLD} % макс. здоровья разом: призывает склизкого мегаприслужника для себя с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Если герой теряет больше, чем {DAMAGETHRESHOLD} % макс. здоровья разом: призывает склизкого мегаприслужника для себя с {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Каждый раз, когда персонаж получает ожог, он призывает для себя прислужника — лесного стража. Лесной страж получает {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки персонажа."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Каждый раз, когда персонаж получает постепенный урон, он призывает для себя прислужника — карточного солдата. Карточный солдат получает {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки персонажа."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Каждый раз, когда персонаж получает ослабление, влияющее на защиту, он призывает для себя прислужника — быка. Бык получает {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки персонажа."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Призывает прислужника воробья, когда враг своим особым навыком призывает любого прислужника."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Если враг призывает прислужника, используя особый навык, персонаж насылает на врага паразита — проклятую лозу."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Когда враг призывает любого прислужника с помощью особого навыка, этот персонаж призывает прислужника-росток для этого врага."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Если какие-либо союзники танцуют во время использования этим героем своего особого навыка, здоровье всех союзников повышается на {HEALTHBOOST}. Увеличенное здоровье может превысить макс. кол-во очков здоровья."
"herocard.passive_skill.description.taunt","На особый навык героя не влияют насмешки."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Когда этот персонаж использует свой особый навык, щиты льда на доске ослабляются с {MODIFIER} % меткостью."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Когда этот персонаж использует свой особый навык, щиты природы на доске ослабляются с {MODIFIER} % меткостью."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Когда этот персонаж использует свой особый навык, щиты тьмы на доске ослабляются с {MODIFIER} % меткостью."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Когда этот персонаж использует свой особый навык, щиты огня на доске ослабляются с {MODIFIER} % меткостью."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Когда этот персонаж использует свой особый навык, щиты святыни на доске ослабляются с {MODIFIER} % меткостью."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Когда этот персонаж использует свой особый навык, щиты льда на доске усиливаются с {MODIFIER} % вероятностью критического удара."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Когда этот персонаж использует свой особый навык, щиты природы на доске усиливаются с {MODIFIER} % вероятностью критического удара."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Когда этот персонаж использует свой особый навык, щиты тьмы на доске усиливаются с {MODIFIER} % вероятностью критического удара."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Когда этот персонаж использует свой особый навык, щиты огня на доске усиливаются с {MODIFIER} % вероятностью критического удара."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Когда этот персонаж использует свой особый навык, щиты святыни на доске усиливаются с {MODIFIER} % вероятностью критического удара."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Каждый раз, когда герой использует особый навык, все снимаемые усиления врагов, влияющие на атаку, защиту и генерацию маны, превращаются в соответствующие недуги, которые нельзя снять."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Каждый раз, когда герой использует особый навык, все снимаемые недуги союзников, влияющие на атаку, защиту и генерацию маны, превращаются в соответствующие усиления, которые нельзя снять."
"herocard.passive_skill.description.wither.all.enemies","Базовая атака и защита всех врагов снижаются на {STATINCREASE} каждый ход в течение {MAXACTIVATIONCOUNT} ходов."
"herocard.passive_skill.inactive","НЕАКТИВНО: достигните максимального уровня и полного перерождения, чтобы активировать."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Недуги, влияющие на атаку, заменяются усилениями атаки ({ATTACK} %) на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Недуги, влияющие на восприимчивость к усилениям, заменяются на невосприимчивость к недугам на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.damageovertime.to.minorbuff.fixedhealthrecovery","Длительный урон от недугов сменяется восстановлением {TOTAL} ОЗ в течение {TURNS} х."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Недуги, влияющие на защиту, заменяются усилениями защиты ({DEFENSE} %) на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Уменьшенное лечение заменяется на {HEALING} % увеличенного лечения на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Недуги, влияющие на ману, заменяются на генерацию маны ({MANAREGEN} %) на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Недуги, увеличивающие входящий урон, заменяются на {DAMAGEREDUCTION} % уменьшения урона на {TURNS} х."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Недуги, отражающие усиления, заменяются на невосприимчивость к этим недугам на {TURNS} х."
"herocard.passive_skill.replace_direct_effect.attackwither","Увядание атаки заменяется на рост атаки: {FIXEDPOWER} атаки."
"herocard.passive_skill.replace_direct_effect.defensewither","Увядание защиты заменяется на рост защиты: {FIXEDPOWER} защиты."
"herocard.passive_skill.replace_direct_effect.dispel","Снятие усилений заменяется на очищение недугов."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Паразиты заменяются на стильных прислужников ({FAMILIARHEALTHPERCENT} % здоровья, {FAMILIARATTACK} % атаки)."
"herocard.passive_skill.replace_direct_effect.manareduction","Уменьшения маны заменяются на увеличение маны ({POWER} %)."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Пассивный навык атакующего героя:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Пассивный навык защищающегося героя:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Эффект статуса при увеличении атаки врага"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Эффект статуса при увеличении защиты врага"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Эффект статуса при уменьшении маны"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Мана при кровотечении"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Исцеление при кровотечении"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Мана при ожоге"
"herocard.passive_skill.title.bypassfamiliars.minion","Обход прислужников"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Улучшенный обход прислужников"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Увеличение длительности эффектов статуса"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Динамика полета"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Мана при увядании"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Оживление со временем"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Сила сису"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Внутренняя красота"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Внутренняя красота"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Расплавленное ядро"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Расплавленное ядро"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Разъедающее ядро"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Арктическое ядро"
"herocard.passive_skill.title.criticalmodifier","Критический модификатор"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Критический модификатор"
"herocard.passive_skill.title.critmodifier","Модификатор критического удара"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Клеймо Древних"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Кровавая метка"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Яростный танцор"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Мастерство: отряды"
"herocard.passive_skill.title.debuffdamagereduction","Уменьшение урона от недуга"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Уменьшение урона от недуга"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Деструктивное ядро"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Очищение после смерти прислужника"
"herocard.passive_skill.title.dodgespecialdamage","Уклонение от особых навыков урона"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Складываемые эффекты при особом навыке"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Уничтожение паразитов при использовании особого навыка"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Пожирание прислужников и получение маны со временем"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Очищение при критическом ударе особым навыком"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Увеличение здоровья от критического особого навыка"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Праведный мятеж"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Мана при особом уроне"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Мана при получении урона"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Урон при особом навыке и урон прикрытия"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Складываемое усиление атаки при получении урона"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Складываемое усиление атаки при получении урона"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Усиление здоровья при попытке снятия недуга союзником"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Урон при попытке снятия недуга врагом"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Мана при снятии"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Мана при снятии усиления"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Исцеление при избавлении от недуга"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Увеличение здоровья при снятии усиления"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Обморожение при попадании удара прислужника"
"herocard.passive_skill.title.effectonheal.addmana","Мана при восстановлении здоровья"
"herocard.passive_skill.title.effectonheal.heal","Дополнительное здоровье при восстановлении здоровья"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Дополнительное ИСЦЕЛЕНИЕ"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Эффект статуса при уменьшении маны"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Эффект статуса при уменьшении маны"
"herocard.passive_skill.title.effectonownerdeath.damage.statuseffects.bleeding","Позорное поражение"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Увеличение здоровья и получение маны при сопротивлении"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Мана от использования особого навыка здоровья"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Увеличение здоровья при увеличении здоровья врага"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Эффекты особого навыка"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Очищение при критическом ударе особым навыком"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Увеличение здоровья от критического особого навыка"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Увеличение здоровья от критического особого навыка"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.directeffect1_statuseffects.defensemodifier","Покусывание"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Увеличение здоровья от особой атаки врага"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Мана при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Снятие усиления при использовании особого навыка"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Снятие недуга при использовании особого навыка"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Урон при использовании особого навыка"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Восстановление здоровья при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Увеличение здоровья при использовании особого навыка"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Эффект статуса при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Кровотечение при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Проклятие при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Постепенный урон при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Увеличенный урон против увеличенного здоровья"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Постепенный урон при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Эффект статуса при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Отравление при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Безумная атака при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackingdefensemodifier","Складываемые эффекты при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackinghealthgeneration","Складываемые эффекты при особом навыке"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Постепенный урон при особом навыке"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Урон за особый навык врага"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Мана за насмешку"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Мана при увеличении защиты врага"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Эффект статуса при увеличении защиты врага"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Эффект статуса при увеличении атаки врага"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Мана при получении усиления"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Мана при получении недуга"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Восстановление здоровья при получении усиления"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Восстановление здоровья за полученный недуг"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Усиление маны за полученный недуг"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Мана при получении усиления"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Восстановление здоровья при получении усиления"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Усиление здоровья при снятии недуга"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Урон при снятии недуга"
"herocard.passive_skill.title.effectovertime.revival","Оживление со временем"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Мана за усиление врага"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Увеличение здоровья от яда"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Мана при призыве прислужника"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Друг прислужников"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Мана при призыве паразита"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Гнев питомцев"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Увеличение здоровья при призыве паразита"
"herocard.passive_skill.title.empowered_toon_resist_manareduction_dispels","Усиленная мультяшка"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Слепота прислужника"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Ядро прислужников"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Слабые мегаприслужники"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Слабые прислужники"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Остановите мегаприслужников"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Остановите прислужников"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Мана за мороз"
"herocard.passive_skill.title.glass_reflect_debuffs","Отражение"
"herocard.passive_skill.title.growth","Рост"
"herocard.passive_skill.title.guaranteedeffectonspecial","Гарантированный эффект при особом навыке"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Снижение исцеления"
"herocard.passive_skill.title.healonheal.heal","Дополнительное ИСЦЕЛЕНИЕ"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Здоровье от погибшего прислужника"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Увеличенное здоровье от погибшего прислужника"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Увеличенная атака за врага, не относящегося к природе"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Увеличенная атака за каждого врага, не относящегося к огню"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Дополнительный урон прислужникам и мегаприслужникам"
"herocard.passive_skill.title.increaseddamageagainstminions","Увеличенный урон против прислужников"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Увеличение урона против спровоцированных насмешкой"
"herocard.passive_skill.title.increasespecialdamage","Увеличение урона от особого навыка"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Увеличение урона от особого навыка"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Увеличение урона от особого навыка"
"herocard.passive_skill.title.insanitydamagereduction","Метка старейших"
"herocard.passive_skill.title.iterateeffectonspecial","Дополнительный шанс на эффекты при особом навыке"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Ограничение лиги"
"herocard.passive_skill.title.league_featured_family_resist","Преимущество лиги"
"herocard.passive_skill.title.league_heal_modifier_against_family","Ограничение лиги"
"herocard.passive_skill.title.league_heal_modifier_for_family","Преимущество лиги"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Преимущество лиги"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Ограничение маны"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Мана за смерть прислужника"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Мана от недугов"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Запоминание прислужников и паразитов врага"
"herocard.passive_skill.title.memorizestatuseffects","Запоминание недугов"
"herocard.passive_skill.title.mimic_dread_damage_minions","Ужас"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Добыча имитатора"
"herocard.passive_skill.title.minioncorruption.all.enemies","Осквернение прислужников"
"herocard.passive_skill.title.nevermissspecial","Идеальная меткость"
"herocard.passive_skill.title.preventboostedhealth.all.enemies","Предотвращение усиленного исцеления"
"herocard.passive_skill.title.ransack","Шанс вора"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Кража усиления"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Охотничье чутье"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Снижение урона отрядов"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Мастерство: отряды"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Сильное увеличение урона от огненных шаров"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Обман смерти"
"herocard.passive_skill.title.remove_growth_from_enemies","Приведение в порядок стражем"
"herocard.passive_skill.title.remove_wither_from_allies","Приведение в порядок стражем"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Восстановительное ядро"
"herocard.passive_skill.title.repeat_special_once","Удача"
"herocard.passive_skill.title.resist.accuracymodifiers","Сопротивление слепоте"
"herocard.passive_skill.title.resist.alldebuffs","Сопротивление недугам"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Сопротивление всем недугам"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Вершина сопротивления"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Сопротивление недугам защиты"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Сопротивление уменьшению защиты"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Сопротивление влиянию на ману"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Сопротивление отрицательным эффектам маны"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Сопротивление урону от недугов"
"herocard.passive_skill.title.resist.attackdelay","Сопротивление замедлению атаки"
"herocard.passive_skill.title.resist.attackmodifiers","Сопротивление недугам атаки"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Сопротивление эффектам статуса к атаке"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Сопротивление снижению атаки"
"herocard.passive_skill.title.resist.bleed","Сопротивление кровотечению"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Усиленное сопротивление кровотечению"
"herocard.passive_skill.title.resist.buffdispels","Сопротивление снятию усилений"
"herocard.passive_skill.title.resist.buffimmunity","Сопротивление блокировке усилений"
"herocard.passive_skill.title.resist.burn","Сопротивление ожогам"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Усиленное сопротивление ожогам"
"herocard.passive_skill.title.resist.criticalhits.none","Сопротивление критическим ударам"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Сопротивление недугам защиты"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Неостановимые прислужники"
"herocard.passive_skill.title.resist.frost","Сопротивление морозу"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Усиленное сопротивление морозу"
"herocard.passive_skill.title.resist.healeffects","Сопротивление недугам исцеления"
"herocard.passive_skill.title.resist.healthsteal","Сопротивление снижающим здоровье недугам"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Сопротивление безумию"
"herocard.passive_skill.title.resist.manadebuffs","Сопротивление влиянию на ману"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Сопротивление недугам маны и блоку особых навыков"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Сопротивление недугам генерации маны"
"herocard.passive_skill.title.resist.manareduction","Сопротивление прямому уменьшению маны"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Усиленное сопротивление прямому уменьшению маны"
"herocard.passive_skill.title.resist.maxhealthreduction","Сопротивление прямому уменьшению макс. здоровья"
"herocard.passive_skill.title.resist.poison","Сопротивление яду"
"herocard.passive_skill.title.resist.poison.burn.bleed","Сопротивление яду, ожогам и кровотечению"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Сопротивление одержимости"
"herocard.passive_skill.title.resist.sand","Сопротивление песку"
"herocard.passive_skill.title.resist.specialblocking","Сопротивление блокировке особых навыков"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Усиленное сопротивление блокировке особых навыков"
"herocard.passive_skill.title.resist.stopmanageneration","Сопротивление остановке генерации маны"
"herocard.passive_skill.title.resist.water","Сопротивление воде"
"herocard.passive_skill.title.resist_all_attack_effects","Черта:
крохотная фигура"
"herocard.passive_skill.title.resist_all_defense_effects","Черта: 
изящная фигура"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Сопротивление недугам от прислужников"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Сопротивление устранению прислужников"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Сопротивление негативным эффектам прислужников"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Улучшенное сопротивление негативным эффектам прислужников"
