"herocard.passive_skill.description.addmana.all.allies","Alle allierede får en lille smule mana."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Når denne figur er besejret, hidkalder de slim-kæmpehåndlangere til allierede i nærheden med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet af denne figur."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Når denne figur er besejret, hidkalder de slim-kæmpehåndlangere til allierede i nærheden med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet af denne figur."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Når denne figur er besejret, hidkalder de slim-kæmpehåndlangere til allierede i nærheden med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet af denne figur."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Når denne figur er besejret, hidkalder de slim-kæmpehåndlangere til allierede i nærheden med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet af denne figur."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Når denne figur er besejret, hidkalder de slim-kæmpehåndlangere til allierede i nærheden med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb arvet af denne figur."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Hvis denne figur mister mere end {DAMAGETHRESHOLD} % af maks. helbred på én gang, hidkalder de en slim-kæmpehåndlanger til sig selv med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Hvis denne figur mister mere end {DAMAGETHRESHOLD} % af maks. helbred på én gang, hidkalder de en slim-kæmpehåndlanger til sig selv med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Hvis denne figur mister mere end {DAMAGETHRESHOLD} % af maks. helbred på én gang, hidkalder de en slim-kæmpehåndlanger til sig selv med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Hvis denne figur mister mere end {DAMAGETHRESHOLD} % af maks. helbred på én gang, hidkalder de en slim-kæmpehåndlanger til sig selv med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Hvis denne figur mister mere end {DAMAGETHRESHOLD} % af maks. helbred på én gang, hidkalder de en slim-kæmpehåndlanger til sig selv med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Hver gang figuren modtager en brand-statuslidelse, hidkalder vedkommende en skovvogterhåndlanger til sig selv. Skovvogterhåndlangeren arver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb fra figuren."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Hver gang denne figur får en skadesreduktion over tid, hidkalder den en kortsoldat-håndlanger til sig selv. Kortsoldat-håndlangere arver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb fra denne figur."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Hver gang denne figur modtager en statuslidelse, der påvirker dens forsvar, hidkalder den en tyrehåndlanger til sig selv. Tyrehåndlangeren arver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angreb fra figuren."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Hidkalder en spurve-håndlanger, når en fjende hidkalder håndlangere ved brug af sine særlige egenskaber."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Når en fjende hidkalder en hvilken som helst håndlanger med en særlig egenskab, hidkalder figuren en forbandet spire-djævel til den fjende."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Når en fjende hidkalder en hvilken som helst håndlanger med en særlig egenskab, hidkalder figuren en forbandet frøplante til den fjende."
"herocard.passive_skill.description.taunt","Figurens særlige egenskab påvirkes ikke af hån."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Is-skjold på brættet bliver svækket med {MODIFIER} % præcision, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Natur-skjold på brættet bliver svækket med {MODIFIER} % præcision, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Mørke-skjold på brættet bliver svækket med {MODIFIER} % præcision, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Ild-skjold på brættet bliver svækket med {MODIFIER} % præcision, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Hellige skjold på brættet bliver svækket med {MODIFIER} % præcision, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Is-skjold på brættet bliver styrket med {MODIFIER} % kritisk træfchance, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Natur-skjold på brættet bliver styrket med {MODIFIER} % kritisk træfchance, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Mørke-skjold på brættet bliver styrket med {MODIFIER} % kritisk træfchance, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Ild-skjold på brættet bliver styrket med {MODIFIER} % kritisk træfchance, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Hellige skjold på brættet bliver styrket med {MODIFIER} % kritisk træfchance, når denne figur bruger sin særlige evne."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Hver gang denne figur bruger sin særlige egenskab, omdannes alle fjernbare forstærkere, der påvirker angreb, forsvar og managenerering på alle fjender, til tilsvarende statuslidelser, der ikke kan fjernes.

Omdannede effekter: 
Angrebsbuffere forvandles til {STATUSEFFECT1ATTACK} % angrebsstatuslidelser i {STATUSEFFECT1TURNS} ture.
Forsvarsbuffere forvandles til {STATUSEFFECT2DEFENSE} % forsvarsstatuslidelser i {STATUSEFFECT2TURNS} ture.
Managendannelsesbuffere forvandles til {STATUSEFFECT3MANAREGEN} % managendannelsesstatuslidelser  i {STATUSEFFECT3TURNS} ture."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Hver gang denne figur bruger sin særlige egenskab, omdannes alle statuslidelser, der påvirker angreb, forsvar og managenerering på alle allierede, til tilsvarende forstærkere, der ikke kan fjernes.

Omdannede effekter: 
Angrebsstatuslidelser forvandles til {STATUSEFFECT1ATTACK} % angrebsbuffere i {STATUSEFFECT1TURNS} ture.
Forsvarsstatuslidelser forvandles til {STATUSEFFECT2DEFENSE} % forsvarsbuffere i {STATUSEFFECT2TURNS} ture.
Managendannelse-statuslidelser forvandles til {STATUSEFFECT3MANAREGEN} % managendannelsesbuffere i {STATUSEFFECT3TURNS} ture."
"herocard.passive_skill.description.wither.all.enemies","Grundangreb og -forsvar for alle fjender formindskes med {STATINCREASE} for hver runde i {MAXACTIVATIONCOUNT} runder."
"herocard.passive_skill.inactive","INAKTIV: Aktiveres ved maks. niveau og fuld forfremmelse."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Angrebsstatuslidelser til {ATTACK} % angreb i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Bufferimmunitetsstatuslidelser til statuslidelsesimmunitet i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Forsvarsstatuslidelser til {DEFENSE} % forsvar i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Helbredelsesreduktioner til {HEALING} % øget helbredelse i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","Managendannelseslidelser til gendannelse af {MANAREGEN} % mana i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Skadeforøgelseslidelser til {DAMAGEREDUCTION} % skadesreduktion i {TURNS} ture."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Bufferrefleksionslidelser til statuslidelsesrefleksionsbuffere i {TURNS} ture."
"herocard.passive_skill.replace_direct_effect.attackwither","Angrebsvisning til angrebsvækst: {FIXEDPOWER} angreb."
"herocard.passive_skill.replace_direct_effect.defensewither","Forsvarsvisning til forsvarsvækst: {FIXEDPOWER} forsvar."
"herocard.passive_skill.replace_direct_effect.dispel","Bufferophævelser til lidelsesryddelser."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Djævle til smarte håndlangere ({FAMILIARHEALTHPERCENT} % HP, {FAMILIARATTACK} % angreb)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manareduktioner til {POWER} % manaforøgelse."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passiv evne som angribende figur:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passiv evne som forsvarende figur:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Statuseffekt ved fjendens angrebsbuffer"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Statuseffekt ved fjendens forsvarsbuffer"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Statuseffekt ved manareduktion"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana ved blødning"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Helbreder ved forblødning"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana ved brand"
"herocard.passive_skill.title.bypassfamiliars.minion","Ignorer håndlangere"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Overlegen håndlangerforbier"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Forøget varighed af statuseffekt"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Flyvemomentum"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Visnet mana"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Genoplev over tid"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Sisus kraft"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Smuk på indersiden"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Smuk på indersiden"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Lavakerne"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Lavakerne"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Ætsende kerne"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktisk kerne"
"herocard.passive_skill.title.criticalmodifier","Kritisk modifikator"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Kritisk modifikator"
"herocard.passive_skill.title.critmodifier","Modifikation for kritisk chance"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Brændemærket af De Ældste"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Rødt mærke"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Troppeekspert"
"herocard.passive_skill.title.debuffdamagereduction","Statuslidelse: Skadesreduktion"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Statuslidelse: Skadesreduktion"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Ødelæggende kerne"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Ryddes ved håndlangerens død"
"herocard.passive_skill.title.dodgespecialdamage","Undvig særlig skade"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Kumulativt tilbud"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Ødelæg håndlangere med særlig"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Æd håndlangere, og få mana over tid"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Rensning ved særlige kritiske angreb"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Helbredsforstærker ved særlige kritiske angreb"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Retfærdigt oprør"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana ved fuld skade"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana ved modtaget skade"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Skade fra særlig egenskab og dækningsskade"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Kumulative angreb ved modtaget skade"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Kumulative angreb ved modtaget skade"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Helbredsboost ved forsøg på alliancerenselse"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Skade ved forsøg på fjenderenselse"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana ved ophævelse"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana ved bufferophævelse"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Helbredes, når statuslidelse udløber eller renses"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Helbredsboost på bufferophævelse"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Frost ved håndlangertræffer"
"herocard.passive_skill.title.effectonheal.addmana","Mana ved helbredsgendannelse"
"herocard.passive_skill.title.effectonheal.heal","Ekstra helbred ved helbredsgendannelse"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Ekstra helbredelse"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Statuseffekt ved manareduktion"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Statuseffekt ved manareduktion"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Helbredsboost og mana ved modstand"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana ved helbredsstyrkende særlige egenskaber"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Helbredsforøgelse ved fjendtlig helbredsforøgelse"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effekter på særlig egenskab"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Rensning ved særlige kritiske angreb"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Helbredsforstærker ved særlige kritiske angreb"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Helbredsforstærker ved særlige kritiske angreb"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Øger helbred ved fjendes særlige egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana ved fuld opladning"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Ophævelse af særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Fjernelse af særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Skade ved fuld opladning"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Helbredsgendannelse ved fuld opladning"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Helbredsboost på særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Statuseffekt ved fuld opladning"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Blødning ved særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Forbandelse ved særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Skade over tid ved særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Forøget skade mod forstærket helbred"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Skade over tid ved særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Statuseffekt ved fuld opladning"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Forgiftning af særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Tankeløst angreb på særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Skade over tid ved særlig egenskab"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Skade ved fjendtlig særegenskab"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana ved hån"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana på fjendtlig forsvarsforøgelse"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Statuseffekt ved fjendens forsvarsbuffer"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Statuseffekt ved fjendens angrebsbuffer"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana ved modtaget buffer"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana ved statuslidelse modtaget"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Helbredsgendannelse ved buffer modtaget"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Helbredsgendannelse ved statuslidelse modtaget"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Manabuffer ved statuslidelse modtaget"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana ved modtaget buffer"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Helbredsgendannelse ved buffer modtaget"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Helbredsboost ved fjernelse af statuseffekt"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Skade ved fjernelse af statuseffekt"
"herocard.passive_skill.title.effectovertime.revival","Genoplev over tid"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana pr. fjendtlig buffer"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Helbredsboost ved gift"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana ved hidkaldelse af håndlanger"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Åndernes ven"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana ved djævlehidkaldelse"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Kæledyrenes vrede"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Helbredsforøgelse ved djævlehidkaldelse"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Håndlangerblindhed"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Håndlangerkerne"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Svagere kæmpehåndlangere"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Svagere håndlangere"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Stop kæmpehåndlangere"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Stop håndlangere"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana på frost"
"herocard.passive_skill.title.glass_reflect_debuffs","Glas"
"herocard.passive_skill.title.growth","Vækst"
"herocard.passive_skill.title.guaranteedeffectonspecial","Garanteret effekt på særlig egenskab"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Nedsat heling"
"herocard.passive_skill.title.healonheal.heal","Ekstra helbredelse"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Helbred fra en død håndlanger"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Øget helbred fra en død håndlanger"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Forøget angreb pr. hver ikke-naturfjende"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Forøget angreb pr. hver ikke-ildfjende"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Ekstra skade på håndlangere og kæmpehåndlangere"
"herocard.passive_skill.title.increaseddamageagainstminions","Øget skade mod håndlangere"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Øget skade mod hån"
"herocard.passive_skill.title.increasespecialdamage","Forøget skade ved særlig egenskab"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Forøget skade ved særlig egenskab"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Forøget skade ved særlig egenskab"
"herocard.passive_skill.title.insanitydamagereduction","Markeret af de gamle"
"herocard.passive_skill.title.iterateeffectonspecial","Ekstra chance for effekter på særlig egenskab"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Ligaulempe"
"herocard.passive_skill.title.league_featured_family_resist","Ligafordel"
"herocard.passive_skill.title.league_heal_modifier_against_family","Ligaulempe"
"herocard.passive_skill.title.league_heal_modifier_for_family","Ligafordel"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Ligafordel"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Hindrer mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana ved håndlangerdød"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana fra påvirkninger"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memorer modstanderens håndlangere og djævle"
"herocard.passive_skill.title.memorizestatuseffects","Memorer statuslidelser"
"herocard.passive_skill.title.mimic_dread_damage_minions","Gru"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Efterligner-bytte"
"herocard.passive_skill.title.nevermissspecial","Perfekt præcision"
"herocard.passive_skill.title.ransack","Tyvens mulighed"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Stjæl buffer"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Jagtinstinkt"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Troppeekspert"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Stærk forøgelse af ildkugleskade"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Snyd døden"
"herocard.passive_skill.title.remove_growth_from_enemies","Vagtsamling"
"herocard.passive_skill.title.remove_wither_from_allies","Vagtsamling"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Reparationskerne"
"herocard.passive_skill.title.repeat_special_once","Heldig"
"herocard.passive_skill.title.resist.accuracymodifiers","Modstå blindhed"
"herocard.passive_skill.title.resist.alldebuffs","Modstå statuslidelser"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Modstå alle påvirkninger"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Bossmodstand"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Modstå påvirkning af forsvar"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Modstå reducering af forsvar"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Modstå påvirkninger af mana"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Modstå negative manaeffekter"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Modstå skade fra statuseffekter"
"herocard.passive_skill.title.resist.attackdelay","Modstå angrebsforsinkelse"
"herocard.passive_skill.title.resist.attackmodifiers","Modstå påvirkning af angreb"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Modstå statuseffekter i angreb"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Modstå angrebsreduktion"
"herocard.passive_skill.title.resist.bleed","Modstand mod blødning"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Styrket blødningsmodstand"
"herocard.passive_skill.title.resist.buffdispels","Modstå ophævelser"
"herocard.passive_skill.title.resist.buffimmunity","Modstand mod buffer-blokering"
"herocard.passive_skill.title.resist.burn","Modstå ild"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Styrket brandmodstand"
"herocard.passive_skill.title.resist.criticalhits.none","Modstå kritiske træffere"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Modstå påvirkning af forsvar"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Ustoppelige håndlangere"
"herocard.passive_skill.title.resist.frost","Modstå frost"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Styrket frostmodstand"
"herocard.passive_skill.title.resist.healeffects","Modstå helbredelse af lidelser"
"herocard.passive_skill.title.resist.healthsteal","Modstå påvirkning af helbredstyveri"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Modstå vanvid"
"herocard.passive_skill.title.resist.manadebuffs","Modstå påvirkninger af mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Modstand mod manalidelser og blokering af særlige egenskaber"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Modstå påvirkninger af managendannelse"
"herocard.passive_skill.title.resist.manareduction","Modstå direkte manareduktion"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Styrket manareduktionsmodstand"
