"specials.name.a_cozy_break","아늑한 휴식"
"specials.name.katana_rain","카타나의 비"
"specials.name.katana_rain_pve","카타나의 비"
"specials.name.keep_the_peace","평화 유지"
"specials.name.keyknife_typhoon","키나이프 태풍"
"specials.name.khans_order","칸의 명령"
"specials.name.kindled_carpet","불타는 양탄자"
"specials.name.kings_blood_poisoning","슬픔의 밤"
"specials.name.kings_curse","모래 폭풍"
"specials.name.kings_curse_pve","모래 폭풍"
"specials.name.kings_feast","왕의 연회"
"specials.name.kite_of_endurance","지구력의 연"
"specials.name.kitten_stampede","아기 고양이의 쇄도"
"specials.name.knights_armor","기사의 갑옷"
"specials.name.knights_fury","기사의 분노"
"specials.name.knights_parry","기사의 방어"
"specials.name.kong_smash","콩 강타"
"specials.name.kunai_assault","쿠나이 어썰트"
"specials.name.lacerating_leap","역동적인 도약"
"specials.name.lacerating_letters","역동적인 편지"
"specials.name.lacerating_whip","찢어지는 채찍"
"specials.name.ladys_charm","여인의 매력"
"specials.name.ladys_flowers","여인의 꽃"
"specials.name.lament_of_the_hunt","사냥의 비탄"
"specials.name.lance_of_avarice","탐욕의 창"
"specials.name.lance_of_torment","고통의 창"
"specials.name.lance_thrust","랜스 찌르기"
"specials.name.landslide","산사태"
"specials.name.lantern_of_insanity","광기의 등불"
"specials.name.larva_prescription","애벌레 처방전"
"specials.name.lash_of_the_whip","채찍질"
"specials.name.lasso_of_love","사랑의 올가미"
"specials.name.last_words","최후의 말"
"specials.name.laundry_day","세탁하는 날"
"specials.name.lava_blast","용암 폭발"
"specials.name.lava_spit","용암 침"
"specials.name.lava_splash_dragon_pve","불보라"
"specials.name.lavablow","화염 돌격"
"specials.name.lavablow_pve","화염 돌격"
"specials.name.lavaslash","용암 베기"
"specials.name.leaf_blast","잎사귀 폭발"
"specials.name.leafglow_bloom","나뭇잎 빛깔 꽃"
"specials.name.leaping_attack","도약 공격"
"specials.name.leeching_saw","흡혈톱"
"specials.name.leeching_stars","흡혈의 별"
"specials.name.leeching_worms","거머리"
"specials.name.legacy_of_darkness","암흑의 레거시"
"specials.name.legerdemain","속임수"
"specials.name.legerdemain_heart","십자가"
"specials.name.legerdemain_joker","별"
"specials.name.legerdemain_skull","해골"
"specials.name.legions_of_darkness","암흑의 군단"
"specials.name.legions_of_tyrant","폭군의 군단"
"specials.name.lethal_needles","치명적 바늘"
"specials.name.lethal_needles2","치명적 바늘"
"specials.name.levitating_lunchbox_deluxe","공중부양 도시락 디럭스"
"specials.name.lifeforce_leech","생명력 갈취"
"specials.name.light_barrier_dragon_pve","빛의 장벽"
"specials.name.light_grenades","섬광 수류탄"
"specials.name.light_grenades2","섬광 수류탄"
"specials.name.light_my_fire","내 불을 밝혀라"
"specials.name.lightning_charge","번개 충전"
"specials.name.lightning_stream","라이트닝 스트림"
"specials.name.lightning_stream2","라이트닝 스트림"
"specials.name.lightning_ultimatum","번개 경보"
"specials.name.lightning_ultimatum_pve","번개 경보"
"specials.name.litter_of_kittens","고양이 화장실"
"specials.name.liturgy_of_the_fallen","타락한 자의 영창"
"specials.name.looking_for_love","사랑 찾기"
"specials.name.lookouts_refreshment","감시자의 음료"
"specials.name.loom_of_destruction","파괴의 물레"
"specials.name.lord_of_the_jungle","정글의 왕"
"specials.name.lords_blood_poisoning","슬픔의 새벽"
"specials.name.love_at_first_sight","첫눈에 반한 사랑"
"specials.name.love_conquers_all","사랑은 모든 것을 이긴다"
"specials.name.love_conquers_all_pve","사랑은 모든 것을 이긴다"
"specials.name.loving_queen","사랑하는 여왕"
"specials.name.lucky_coin","행운의 코인"
"specials.name.lucky_nine","행운의 9"
"specials.name.luminescent_electrocution","발광 감전"
"specials.name.luminous_lance","빛나는 창"
"specials.name.lunar_blessing","달의 축복"
"specials.name.lunar_blessing_moon_beam","문 빔"
"specials.name.lunar_bloom","달의 꽃"
"specials.name.lunar_locket","루나 로켓"
"specials.name.lunar_shield","달의 방패"
"specials.name.lunar_spear","루나 스피어"
"specials.name.luring_song","유혹의 노래"
"specials.name.machinists_cutlass","기계공의 단검"
"specials.name.mad_as_a_hatter","지독한 광기"
"specials.name.mad_rat_mania","미친 쥐 마니아"
"specials.name.mad_tea_party","미친 티 파티"
"specials.name.madrigal_of_mayhem","대혼돈의 마드리갈"
"specials.name.mageball_blast","마법구 블라스트"
"specials.name.mageball_blast_pve","마법구 블라스트"
"specials.name.magic_mirror_of_power","힘의 마법 거울"
"specials.name.magical_balan","매지컬 발란"
"specials.name.magical_sword","마법 검"
"specials.name.magma_boulders","마그마 거석"
"specials.name.magma_smash","마그마 강타"
"specials.name.magmatic_burns","마그마 화상"
"specials.name.magmatic_tempest","마그마 폭풍"
"specials.name.magnificent_meal","대망의 식사"
"specials.name.maidens_command","여인의 지휘"
"specials.name.maidens_orders","여인의 명령"
"specials.name.make_them_harmless","무해하게 만들기"
"specials.name.malevolent_toys","사악한 장난감"
"specials.name.malison_of_the_wildlands","황무지의 저주"
"specials.name.mallet_swing_of_the_beast","야수의 거대한 일격"
"specials.name.mana_immolation","마나 소모"
"specials.name.mana_manipulation","마나 조작"
"specials.name.mana_scavange","마나 수색"
"specials.name.mana_stealer","선지자의 눈"
"specials.name.mantis_strike","사마귀 공격"
"specials.name.marble_frenzy","구슬 대폭발"
"specials.name.marc","광분의 찌르기"
"specials.name.mark_of_anubis","아누비스의 표식"
"specials.name.mark_of_fire","불의 표식"
"specials.name.mark_of_ivy","담쟁이 표식"
"specials.name.mark_of_nature","자연의 표식"
"specials.name.mark_of_the_jackal","자칼의 표식"
"specials.name.mark_the_prey","사냥감 표식"
"specials.name.marked_aim","정조준"
"specials.name.martial_dance","달의 기량"
"specials.name.martial_masterstroke","전쟁의 묘수"
"specials.name.martial_prowess","매서운 무술"
"specials.name.masons_rage","메이슨의 분노"
"specials.name.massive_bite","거인의 베어물기"
"specials.name.massive_chop","거인의 베기"
"specials.name.massive_cleave","거대 절단칼"
"specials.name.massive_swing","엄청난 일격"
"specials.name.master_of_ailments","상태 이상 마스터"
"specials.name.master_plan","마스터 플랜"
"specials.name.masterful_balance","달인의 균형"
"specials.name.masterful_manipulation","능란한 조작"
"specials.name.mauling_tusk","물어뜯는 어금니"
"specials.name.mean_jab_dragon_pve","악랄한 찌르기"
"specials.name.mechanical_augmentations","기계적 증강"
"specials.name.medicinal_drool","약용 침"
"specials.name.medicinal_fumes","치유 가스"
"specials.name.melody_harvest","멜로디 수확"
"specials.name.melody_of_mana_control","마나 컨트롤의 선율"
"specials.name.melody_of_misery","고통의 선율"
"specials.name.memory_manipulation","기억 조작"
"specials.name.memory_of_the_queen","황후의 추억"
"specials.name.mending_bronze_axe","회복의 청동 도끼"
"specials.name.mending_mantra","회복의 찬가"
"specials.name.mending_stitches","수선하는 바느질"
"specials.name.merciless_bite","무자비한 이빨"
"specials.name.merciless_execution","무자비한 처형"
"specials.name.merciless_pulverizer","무자비한 분쇄"
"specials.name.merriest_misery","즐거운 고통"
"specials.name.mesmerizing_mirror","매혹적인 거울"
"specials.name.miasma_mace","독기의 철퇴"
"specials.name.midnight_magic","한밤의 마법"
"specials.name.midnight_moon","한밤의 달"
"specials.name.midnight_smite","미드나잇 스마이트"
"specials.name.midnight_strike","한밤의 습격"
"specials.name.midsummers_dream","한여름 밤의 꿈"
"specials.name.midsummers_reverie","한여름밤의 몽상"
"specials.name.might_of_ares","아레스의 힘"
"specials.name.might_of_excalibroom","엑스칼리브룸의 마력"
"specials.name.might_of_the_ice_giants","얼음 거인의 힘"
"specials.name.might_of_the_ice_giants_final","얼음 거인의 힘"
"specials.name.mimic_bite","미믹 바이트"
"specials.name.mimic_bite_burn","부식성 물어뜯기"
"specials.name.mimic_bite2","흉포한 미믹 바이트"
"specials.name.mimic_bite3","미믹의 탐욕"
"specials.name.mimic_bite4","미믹의 도발"
"specials.name.mimic_special","교활한 괴물"
"specials.name.mimic_special2","교활한 괴물"
"specials.name.mimic_training_hero_blue_bite","욕심 많은 포식"
"specials.name.mimic_training_hero_green_bite","욕심 많은 포식"
"specials.name.mimic_training_hero_purple_bite","욕심 많은 포식"
"specials.name.mimic_training_hero_red_bite","욕심 많은 포식"
"specials.name.mimic_training_hero_yellow_bite","욕심 많은 포식"
"specials.name.mind_blast","마인드 블라스트"
"specials.name.mindless_attack","무지의 일격"
"specials.name.minion_scrutiny","하수인 감시"
"specials.name.mischievous_flourish","익살스러운 장식"
"specials.name.mischievous_flourish_pve_advanced","익살스러운 장식"
"specials.name.mischievous_flourish_pve_normal","익살스러운 장식"
"specials.name.mischievous_tiein","장난스러운 연결"
"specials.name.missile_mania","미사일 매니아"
"specials.name.mist_of_the_fallen","몰락의 박무"
"specials.name.mistletoe_medley","겨우살이 메들리"
"specials.name.misty_punches","미스티 펀치"
"specials.name.mixed_green_herbs","혼합 녹색 허브"
"specials.name.molten_wax","용융 왁스"
"specials.name.monastic_restraint","수도승의 구속"
"specials.name.monstrous_bite","몬스터 물어뜯기"
"specials.name.moody_jab_dragon_pve","침울한 찌르기"
"specials.name.mooing_for_a_fight","싸움을 위한 울부짖음"
"specials.name.moon_boomerang","달 부메랑"
"specials.name.moon_crush_beam","문 크러시 빔"
"specials.name.moonlight_crescendo","달빛 크레센도"
"specials.name.moonlight_serenade","달빛의 세레나데"
"specials.name.moonlight_sonata","월광 소나타"
"specials.name.moonstone_glare_dragon_pve","월석 눈부심"
"specials.name.moreau_phase1_special","실명의 악의"
"specials.name.moreau_phase2_special1","실명의 악의"
"specials.name.moreau_phase2_special2","실명의 악의"
"specials.name.morning_catch","모닝 캐치"
"specials.name.mother_dragons_love","어미 드래곤의 사랑"
"specials.name.motherly_care","자애로운 보살핌"
"specials.name.motherly_care_pve","자애로운 보살핌"
"specials.name.motherly_love","모성애"
"specials.name.muffin_poisoning","머핀 중독"
"specials.name.multi_elemental_mark","다중 속성 표식"
"specials.name.multi_throw","멀티 쓰로우"
"specials.name.mummy_slash","미라 베기"
"specials.name.mummy_strike","미라 공격"
"specials.name.musketeers_deal","총사의 공격"
"specials.name.musketeers_mead","총사의 봉밀주"
"specials.name.mutated_specimen","돌연변이 표본"
"specials.name.mutating_mixture","혼합 돌연변이"
"specials.name.mystery_potions","신비의 물약"
"specials.name.mystic_chop","신비의 칼질"
"specials.name.mystical_concerto","신비한 콘체르토"
"specials.name.mystics_virtue","신비의 미덕"
"specials.name.mythic_lightning","신화 번개"
"specials.name.nasty_hammer","위험한 해머"
"specials.name.natures_blessing","광전사의 분노"
"specials.name.natures_connection","자연의 연결"
"specials.name.natures_fury","자연의 분노"
"specials.name.natures_payback","대자연의 복수"
"specials.name.nebula_orb","성운 오브"
"specials.name.nebula_orb_ultimate_boss","성운 오브"
"specials.name.necronomicon_page_13","네크로노미콘 13페이지"
"specials.name.nephrite_blade","네프라이트 검"
"specials.name.nethershield","지옥 방패"
"specials.name.never_ending_winter","끝나지 않는 겨울"
"specials.name.night_falls","땅거미"
"specials.name.night_of_crimes","범죄의 밤"
"specials.name.nightbloom_dust","밤하늘 먼지"
"specials.name.nightglade_pollen","밤그림자 꽃가루"
"specials.name.nights_whisper","밤의 속삭임"
"specials.name.nimble_bite","님블 바이트"
"specials.name.nine_dragon_strike","나인 드래곤 스트라이크"
"specials.name.nobles_empathy","귀족의 측은지심"
"specials.name.nobles_empathy_costume_artisan","캘리그래퍼의 공감"
"specials.name.nomadic_hymn","유목민의 노래"
"specials.name.northern_wanderer","기쁨의 지원군"
"specials.name.noxious_blossom","독성 꽃"
"specials.name.noxious_chord","독성 코드"
"specials.name.noxious_cleave","필살 격파"
"specials.name.noxious_cleave_pve","필살 격파"
"specials.name.nuts_of_yggdrasil","이그드라실의 열매"
"specials.name.oath_of_templar","템플러의 서약"
"specials.name.obliterating_surge","전멸의 격류"
"specials.name.ocarina_windsong","오카리나의 바람 노래"
"specials.name.occult_redemption","주술의 구원"
"specials.name.ocean_vortex","바다 소용돌이"
"specials.name.oceanic_offensive","대양의 공세"
"specials.name.oceanic_slayer","해일 처단자"
"specials.name.oceanic_suffering","대양의 고통"
"specials.name.oceans_decay","바다의 붕괴"
"specials.name.oceans_embrace","바다의 포옹"
"specials.name.oceans_ruin","바다의 폐허"
"specials.name.odd_drum_roll","홀수 드럼 롤"
"specials.name.oji_waza","받아치기"
"specials.name.old_curse","옛 저주"
"specials.name.omega_flame","오메가 일격"
"specials.name.omega_strike_dark","오메가 일격"
"specials.name.omega_strike_fire","오메가 일격"
"specials.name.omega_strike_holy","오메가 일격"
"specials.name.omega_strike_ice","오메가 일격"
"specials.name.omega_strike_nature","오메가 일격"
"specials.name.omen_of_retribution","심판의 징후"
"specials.name.omnicure","광역 회복"
"specials.name.omniheal","광역 치유"
"specials.name.omnimend","옴니멘드"
"specials.name.one_hit_wonder","원 히트 원더"
"specials.name.one_jump_ahead","선수치기"
"specials.name.one_spell_ahead","한 발 앞선 주문"
"specials.name.opposing_raid","상대 레이드"
"specials.name.orchestra_of_candles","촛불의 오케스트라"
"specials.name.orchids_and_roses","난초와 장미"
"specials.name.order_ambush","기사단의 습격"
"specials.name.order_ambush_pve","기사단의 습격"
"specials.name.order_from_the_depths","심연의 주문"
"specials.name.order_to_overwhelm","전복 명령"
"specials.name.orsoldoon","오르솔둔"
"specials.name.overpowering_grip_dragon_pve","넘치는 힘의 손아귀"
"specials.name.overvlowing_whirlwind","넘실대는 회오리바람"
"specials.name.overwhelming_raid","압도적 레이드"
"specials.name.owls_blessing","올빼미의 축복"
"specials.name.pacifying_presence_dragon_pve","평화의 힘"
"specials.name.pain_harvest","고통 수확"
"specials.name.paragon_of_constellations","별자리의 본보기"
"specials.name.paralyzing_spore","마비의 포자"
"specials.name.parcel_of_the_dragon_familiar","드래곤 패밀리어의 구역"
"specials.name.passion_conquers_all","열정 지상주의"
"specials.name.pathfinders_compass","선구자의 나침반"
"specials.name.paw_in_every_pie","마당발"
"specials.name.pawns_of_divinity","신의 군단"
"specials.name.paws_or_claws","발바닥 또는 발톱"
"specials.name.peach_of_immortality","불멸의 복숭아"
"specials.name.pearls_of_rejuvenation","재활의 진주"
"specials.name.perfect_riposte","완벽한 되찌르기"
"specials.name.perfect_shot","완벽한 사격"
"specials.name.perfect_teamwork","완벽한 팀워크"
"specials.name.perfume_cloud","향수 구름"
"specials.name.perilous_gift","위험한 선물"
"specials.name.perilous_present_pve","위험한 선물"
"specials.name.perilous_waters","위험한 물"
"specials.name.perplexing_riddle","복잡한 수수께끼"
"specials.name.pest_control","역병 통제"
"specials.name.pet_larva","반려 유충"
"specials.name.petals_of_nourishment","영양 꽃잎"
"specials.name.petrifying_knuckles","석화 너클"
"specials.name.petrifying_performance","압도적인 퍼포먼스"
"specials.name.picnic_in_the_sky","하늘의 소풍"
"specials.name.pie_of_protection","보호의 파이"
"specials.name.piercing_falcon","관통 팔콘"
"specials.name.piercing_hit","관통 타격"
"specials.name.piercing_practice_slash","꿰뚫는 연습 베기"
"specials.name.piercing_sabre","관통 사브르"
"specials.name.piercing_scream_dragon_pve","날카로운 비명"
"specials.name.piercing_shot","관통탄"
"specials.name.piercing_strike","관통의 일격"
"specials.name.piercing_tusk","예리한 엄니"
"specials.name.pincer_claw","집게발"
"specials.name.pincer_claw_deadly","집게발"
"specials.name.pineapple_alchemist","파인애플 연금술사"
"specials.name.pineapple_barbeque","파인애플 바베큐"
"specials.name.pirate_shot","해적의 사격"
"specials.name.pirates_vengeance","해적의 복수"
"specials.name.pixie_dust","픽시 가루"
"specials.name.plague_bite","역병 물기"
"specials.name.plague_blade","역병 검"
"specials.name.planar_time_widget","평면 시간 위젯"
"specials.name.planetary_charge","행성 충돌"
"specials.name.plantipede_sting","플랜티피드 찌르기"
"specials.name.plentiful_harvest","풍성한 수확"
"specials.name.plentiful_minerals","풍부한 미네랄"
"specials.name.plume_flash","빛 기동"
"specials.name.poem_of_the_centaurs","켄타우로스의 시"
"specials.name.poem_of_the_morass","모라스의 시"
"specials.name.poetic_justice","시적 정의"
"specials.name.poets_protection","시인의 가호"
"specials.name.pointy_darts","뾰족한 다트"
"specials.name.poison_bite","독니"
"specials.name.poison_bite_dragon_pve","독니"
"specials.name.poison_bolt_zidane","독성 화살"
"specials.name.poison_claw","독발톱"
"specials.name.poison_jolt","독기 충격"
"specials.name.poison_strike","독 일격"
"specials.name.poison_tipped_arrow","독화살"
"specials.name.poison_web","독그물"
"specials.name.poisoned_blade","독 묻은 칼"
"specials.name.poisoning_blade","독칼날"
"specials.name.poisonous_mist","독안개"
"specials.name.poisonous_saliva","독성 타액"
"specials.name.polar_bash","극지의 일격"
"specials.name.polar_night_blizzard","극지의 밤 눈보라"
"specials.name.poleaxe_of_the_law","법의 지팡이"
"specials.name.polestar_expedition","폴스타 원정대"
"specials.name.pompous_flex","거만한 과시"
"specials.name.portents_of_future","미래의 징조"
"specials.name.possessed_strike","빙의 일격"
"specials.name.possessor_of_penance","속죄의 소유자"
"specials.name.postal_pulverizer","우편물 분쇄기"
"specials.name.potion_cocktail","물약 칵테일"
"specials.name.potions_of_covetous_desire","탐욕의 물약"
"specials.name.potions_of_covetous_desire_pve","탐욕의 물약"
"specials.name.potions_of_havoc_and_healing","혼란과 치유의 물약"
"specials.name.pounce_of_the_lioness","암사자의 공격"
"specials.name.pounding_attack","괴력 공격"
"specials.name.power_of_ajna","아즈나의 힘"
"specials.name.power_of_flora","플로라의 힘"
"specials.name.power_of_mjolnir","묠니르의 힘"
"specials.name.power_of_the_forest","숲의 힘"
"specials.name.power_of_the_void","공허의 힘"
"specials.name.power_punch","괴력 주먹"
"specials.name.power_slam","파워 슬램"
"specials.name.power_wave","파워 웨이브"
"specials.name.prayer_of_the_desert","사막의 기도"
"specials.name.precious_pets","귀중한 반려동물"
"specials.name.precious_pets_pve_advanced","귀중한 반려동물"
"specials.name.precious_pets_pve_normal","귀중한 반려동물"
"specials.name.precise_chop","정교한 절단"
"specials.name.precise_riposte","정밀 반격"
"specials.name.preserve_and_freeze","보존과 빙결"
"specials.name.prestidigitation","요술"
"specials.name.prestidigitation_cross","십자가"
"specials.name.prestidigitation_skull","해골"
"specials.name.prestidigitation_stars","별"
"specials.name.primeval_glaive","태초의 글레이브"
"specials.name.princess_unleashed","공주의 해방"
"specials.name.prosperity_for_domain","지배를 위한 번영"
"specials.name.protective_stance","방어 자세"
"specials.name.protector_of_the_blue_river","푸른 강의 수호자"
"specials.name.protein_corruption","단백질 부패"
"specials.name.protein_eater","단백질 먹는 사람"
"specials.name.pulsar_blast","펄서 블래스트"
"specials.name.pulsarstrike","펄서 스트라이크"
"specials.name.pulverizing_ham","햄 으깨기"
"specials.name.pummeling","내려치기"
"specials.name.punishing_shot","징벌의 샷"
"specials.name.punishing_shot_pve","징벌의 샷"
"specials.name.punishing_strike","징벌의 일격"
"specials.name.puppy_tales","강아지 이야기"
"specials.name.pure_shot","순수의 사격"
"specials.name.purification","정화"
"specials.name.purifying_flame","정화의 불꽃"
"specials.name.purifying_flame_pve","정화의 불꽃"
"specials.name.purifying_hit","정화의 타격"
"specials.name.purifying_ki","기 정화"
"specials.name.purifying_light","정화의 빛"
"specials.name.purifying_strike","정화의 일격"
"specials.name.purple_beetloid_bite","보라 비틀로이드 물기"
"specials.name.pursuing_shot","추적 사격"
"specials.name.putrid_perfume","부패한 향수"
"specials.name.puzzling_paint","수수께끼의 페인트"
"specials.name.puzzling_riddle","난해한 수수께끼"
"specials.name.qilin_blade","기린검"
"specials.name.queen_of_cards","카드의 여왕"
"specials.name.queen_of_the_depths","심연의 여제"
"specials.name.queen_of_the_depths_final","심연의 여제"
"specials.name.queens_blood_poisoning","슬픔의 황혼"
"specials.name.queens_curse","모래 폭풍"
"specials.name.queens_curse_pve","모래 폭풍"
"specials.name.quick_and_nimble","신속 날렵"
"specials.name.rabbits_watch","토끼의 시계"
"specials.name.raccoon_bite","너구리 물기"
"specials.name.radiant_comeback","빛나는 역전"
"specials.name.radiant_rapid_fire","광휘의 속사"
"specials.name.radiant_shackles","광휘의 족쇄"
"specials.name.radiant_sweep_dragon_pve","래디언트 스윕"
"specials.name.radiating_frost","빛나는 서리"
"specials.name.rage_of_grimnir","그림니르의 분노"
"specials.name.raging_tempest","날뛰는 폭풍"
"specials.name.rain_of_arrows","화살 비"
"specials.name.rain_of_fire","불의 비"
"specials.name.rain_of_fire_ultimate_boss","불의 비"
"specials.name.raising_morale","치솟는 사기"
"specials.name.rally_of_the_deep","심연의 여행"
"specials.name.ramming_pulverizer","강력 분쇄"
"specials.name.ramming_rush","무대포 돌진"
"specials.name.rapid_shots","신속 사격"
"specials.name.rattle_of_confusion","혼돈의 방울소리"
"specials.name.ravaging_talons","황폐화 발톱"
"specials.name.ravening_blade","허기진 칼날"
"specials.name.ravenous_pounce","굶주린 돌진"
"specials.name.ravens_vigil","까마귀의 기도"
"specials.name.ravens_watch","까마귀의 감시"
"specials.name.ray_strike","섬광 일격"
"specials.name.razor_smile","레이저 스마일"
"specials.name.reanimated_spite","되살아난 악의"
"specials.name.reanimated_spite_pve","되살아난 악의"
"specials.name.reckless_charge","난폭한 공격"
"specials.name.reckless_finisher","무모한 처단"
"specials.name.reckless_slash","무모한 베기"
"specials.name.reckless_stab","무모한 찌르기"
"specials.name.reckless_swing","무모한 휘두르기"
"specials.name.reckless_sword_swings","무모한 검술"
"specials.name.red_lizard_charge","빨간색 카모 도마뱀 공격"
"specials.name.red_shoes","빨간 구두"
"specials.name.red_sparks_dragon_pve","붉은 불꽃"
"specials.name.reef_blast","암초 폭발"
"specials.name.reflecting_stance","반영 자세"
"specials.name.regal_claws","왕의 발톱"
"specials.name.regal_spearhead","왕권의 창"
"specials.name.regeneration","재생"
"specials.name.rejuvenating_elixir","활력 회복 비약"
"specials.name.rejuvenating_leap","활력 넘치는 도약"
"specials.name.relaxing_riddle","편안한 수수께끼"
"specials.name.relentless_brawler","가차없는 싸움꾼"
"specials.name.remedies_and_diseases","약과 질병"
"specials.name.rending_dagger","잔인한 난도질"
"specials.name.reporting_for_duty","근무 보고"
"specials.name.resolute_spirit","단호한 정령"
"specials.name.resolute_spirit2","단호한 정령"
"specials.name.restoration_and_annihilation","복원 및 파멸"
"specials.name.resurrection_of_the_fallen","쓰러진 자의 부활"
"specials.name.resurrection_of_the_fallen_kemeny","쓰러진 자의 부활"
"specials.name.revengeful_smite","복수의 강타"
"specials.name.reverse_recovery","역회복"
"specials.name.reversed_lifeforce","역류하는 생명의 힘"
"specials.name.revitalizing_melody","활력 넘치는 멜로디"
"specials.name.revitalizing_orb","활력 넘치는 오브"
"specials.name.revitalizing_sludge","슬러지 활성화"
"specials.name.reviving_touch","부활의 손길"
"specials.name.rhythm_of_havoc","파괴의 리듬"
"specials.name.riches_to_poor","부자에서 거지로"
"specials.name.ricochet_bolt","튕기는 벼락"
"specials.name.riddle_of_the_moon","달의 수수께끼"
"specials.name.riddle_of_the_sun","태양의 수수께끼"
"specials.name.riders_arrow","기수의 화살"
"specials.name.riders_lance","기수의 창"
"specials.name.rift_blade","균열의 날"
"specials.name.righteous_pulverizer","정의로운 분쇄자"
"specials.name.righteous_revenge","정당한 복수"
"specials.name.righteous_stance","의로운 태도"
"specials.name.righteous_strike","정의로운 일격"
"specials.name.rime_heart","서리 심장"
"specials.name.ring_around_the_rosie","둥글게 둥글게"
"specials.name.rite_of_cuteness","심판의 툰"
"specials.name.rite_of_glass","유리의 심판"
"specials.name.rite_of_judgement","심판의 의식"
"specials.name.rites_of_inner_knowledge","내적 지식의 의식"
"specials.name.ritual_of_judgement","심판의 의례"
"specials.name.ritual_of_the_deep","심연의 의식"
"specials.name.ritual_of_the_elements","속성 의식"
"specials.name.roadside_surprise","노상 매복"
"specials.name.roar_of_the_panther","표범의 포효"
"specials.name.rockfall_bash","바위 낙하"
"specials.name.rod_of_freedom","자유의 지팡이"
"specials.name.rod_of_torment","고통의 지팡이"
"specials.name.roman_cleave","스파르타 돌격"
"specials.name.roots_of_wrath","분노의 근원"
"specials.name.roots_of_yggdrasil","이그드라실의 뿌리"
"specials.name.rose_bouquet_blast","장미 부케 폭발"
"specials.name.rotting_wound_dragon_pve","썩은 상처"
"specials.name.rottman","미친 쥐 마니아"
"specials.name.rough_and_tumble","거친 추락"
"specials.name.royal_assault","왕실 돌격대"
"specials.name.royal_blades","고귀한 검"
"specials.name.royal_meatball_buffet","왕실 미트볼 뷔페"
"specials.name.royal_poisoner","왕실 독술사"
"specials.name.ruby_rush","루비 러시"
"specials.name.rude_awakening","무례한 각성"
"specials.name.ruler_of_seas","바다의 지배자"
"specials.name.ruler_of_seas_deadly","바다의 지배자"
"specials.name.rural_chop","시골식 썰기"
"specials.name.rush_of_flame","화염의 질주"
"specials.name.rushed_melody","몰아치는 멜로디"
"specials.name.rusty_blade","녹슨 칼날"
"specials.name.ruthless_gambit","냉혹한 도박"
"specials.name.sable_slasher","흑담비 발톱"
"specials.name.sacrament_of_salvation","구원의 성체"
"specials.name.sacred_horns","신성한 뿔"
"specials.name.sacred_reflection","신성한 반사"
"specials.name.saga_of_deliverance","구원의 사가"
"specials.name.saga_of_protection","보호의 사가"
"specials.name.salty_splash_dragon_pve","솔티 스플래시"
"specials.name.sanction_for_heresy","이단을 위한 처벌"
"specials.name.sanctuary_of_light","빛의 성소"
"specials.name.sand_cyclone","모래 폭풍"
"specials.name.sand_cyclone_pve","모래 폭풍"
"specials.name.sand_wave_rana","솟아오른 파도"
"specials.name.sand_wave_yunan","와이프아웃"
"specials.name.sandstorm_strike","모래폭풍 일격"
"specials.name.sandworm_strike","모래벌레 공격"
"specials.name.sapphire_eyes","사파이어 눈"
"specials.name.saturated_suffering","강렬한 고뇌"
"specials.name.savage_gobble_blue","야만적인 폭식"
"specials.name.savage_gobble_green","야만적인 폭식"
"specials.name.savage_gobble_purple","야만적인 폭식"
"specials.name.savage_gobble_red","야만적인 폭식"
"specials.name.savage_gobble_yellow","야만적인 폭식"
"specials.name.savage_talons","사나운 매발톱"
"specials.name.scale_of_the_newt","뉴트의 비늘"
"specials.name.scaly_skin","비늘 피부"
"specials.name.scar_of_the_depths","심연의 흉터"
"specials.name.scar_of_the_depths_deadly","심연의 흉터"
"specials.name.scarab_barrage","풍뎅이 포격"
"specials.name.scarab_blitz","풍뎅이 블리츠"
"specials.name.scarab_bombardment","풍뎅이 폭격"
"specials.name.scarab_rush","풍뎅이 돌진"
"specials.name.scarab_throw","풍뎅이 투척"
"specials.name.scavenging_dash","청소 대시"
"specials.name.scepter_of_bundelkhand","분델칸드의 홀"
"specials.name.scepter_of_constellations","별자리의 홀"
"specials.name.scion_sword","귀공자의 검"
"specials.name.scion_sword_costume_white_raven","사이언 블레이드"
"specials.name.scorching_orb","불타는 오브"
"specials.name.scoundrel_swing","비열한 일격"
"specials.name.scourge_of_joy","기쁨의 재앙"
"specials.name.scourge_of_the_strong","강자의 재앙"
"specials.name.scouts_spyglass","정찰병의 망원경"
"specials.name.scroll_of_equations","방정식 스크롤"
"specials.name.scroll_of_fellowship","우정의 두루마리"
"specials.name.scroll_of_navigation","탐색의 두루마리"
"specials.name.scroll_of_new_beginnings","새로운 시작의 두루마리"
"specials.name.scroll_of_spite","응징의 두루마리"
"specials.name.scythe_of_sorceries","마법의 낫"
"specials.name.seabed_pirouette","해저 피루엣"
"specials.name.seabed_sissonne","해저 시손"
"specials.name.seal_of_ares","아레스의 인장"
"specials.name.seal_of_fire","불의 인장"
"specials.name.searing_frost","불타는 서리"
"specials.name.searing_strike","불타는 일격"
"specials.name.seastar_burst","불가사리 파열"
"specials.name.seaweed_flail","해초 도리깨"
"specials.name.second_skin","두 번째 피부"
"specials.name.seeking_shots","정조준 사격"
"specials.name.self_preservation","자가 보존"
"specials.name.sense_of_wonder","경이로운 감각"
"specials.name.serenade_of_sedition","선동의 세레나데"
