"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.hungering_grave","Hungerndes Grab"
"specials.name.hunt_for_prey","Jagd nach Beute"
"specials.name.hunters_instinct","Jägerinstinkt"
"specials.name.hunters_mark","Zeichen des Jägers"
"specials.name.hunters_true_shot","Jägertreibjagd"
"specials.name.hunting_ballad","Jagdlied"
"specials.name.hunting_charge","Jagdangriff"
"specials.name.hydra_bite","Hydrabiss"
"specials.name.hymn_of_enrichment","Hymne der Bereicherung"
"specials.name.hyper_porridge","Hyper-Porridge"
"specials.name.hyperborean_hook","Hyperboräischer Haken"
"specials.name.hypersonic_tackle","Überschallangriff"
"specials.name.hypnosis_dragon_pve","Hypnose"
"specials.name.ice_and_slice","Eis und Schnitt"
"specials.name.ice_boom","Eisknall"
"specials.name.ice_cold_order","Eiskalter Befehl"
"specials.name.ice_cream_smash","Eisschlacht"
"specials.name.ice_treatment","Eisbehandlung"
"specials.name.iceberg_aura","Eisbergaura"
"specials.name.iceberg_crush","Eisbergquetscher"
"specials.name.iceberg_havoc","Eisbergchaos"
"specials.name.icebound_howl","Eisgebundenes Heulen"
"specials.name.icebound_ritual","Eisritual"
"specials.name.icecold_finisher","Vollstreckung"
"specials.name.icehammer_smash","Eishammerhieb"
"specials.name.iceshatter","Eissplittern"
"specials.name.icy_axes","Eisäxte"
"specials.name.icy_mandibles","Eiskiefer"
"specials.name.icy_resilience","Eisiger Widerstand"
"specials.name.ill_bring_you_back","Ich hole dich zurück"
"specials.name.ill_fated_experiment","Verhängnisvolles Experiment"
"specials.name.imaginary_increments","Imaginärer Zuwachs"
"specials.name.immortal_annihilator","Unsterblicher Auslöscher"
"specials.name.immortal_annihilator_deadly","Unsterblicher Auslöscher"
"specials.name.immortal_punisher","Unsterblicher Bestrafer"
"specials.name.impairing_strike","Beeinträchtigender Schlag"
"specials.name.impale_and_devour","Pfählen und verschlingen"
"specials.name.impeccable_charge","Makelloser Angriff"
"specials.name.impeding_bolts","Hindernde Blitze"
"specials.name.impervious_formation","Undurchdringliche Formation"
"specials.name.impossible_groove","Unmöglicher Groove"
"specials.name.impossible_riddle","Unmögliches Rätsel"
"specials.name.incite_ki","Ki antreiben"
"specials.name.incite_ki2","Ki antreiben"
"specials.name.indestructible_claw","Unzerstörbare Klaue"
"specials.name.indifferent_blade","Gleichgültige Klinge"
"specials.name.inevitable_demise","Unausweichlicher Untergang"
"specials.name.infernal_chops","Teuflischer Hieb"
"specials.name.infernal_drumstorm","Höllischer Trommelwirbel"
"specials.name.infernal_flames","Höllische Flammen"
"specials.name.infernal_jaws","Teuflischer Schlund"
"specials.name.ink_bomb","Tintenbombe"
"specials.name.innovative_lunge","Überraschender Ausfallschritt"
"specials.name.insidious_goo","Hinterlistiger Schleim"
"specials.name.inspiring_fencing","Inspirierendes Fechten"
"specials.name.insurmountable_flux","Unüberwindlicher Fluss"
"specials.name.intimidating_stance","Drohgebärde"
"specials.name.invigorating_pollen","Erfrischender Blütenstaub"
"specials.name.invigorating_soup","Belebende Suppe"
"specials.name.invisible_strike","Unsichtbarer Angriff"
"specials.name.iron_discipline_cut","Schnitt der eisernen Disziplin"
"specials.name.iron_rocket_fist","Eiserne Raketenfaust"
"specials.name.ironbound_fury","Eiserner Zorn"
"specials.name.jab_and_hook","Stechen und angeln"
"specials.name.jack_of_owl_trades","Euleskönner"
"specials.name.jackal_strike","Schakalschlag"
"specials.name.jade_blades","Jadeklingen"
"specials.name.jaw_clamp","Ausbreitende Fallen"
"specials.name.jaws_of_the_river","Kiefer des Flusses"
"specials.name.jewel_of_the_deep","Juwel der Tiefe"
"specials.name.join_in_joyful_song","Sing mit"
"specials.name.joyful_noise","Freudiges Geräusch"
"specials.name.joyful_palette","Fröhliche Palette"
"specials.name.judgement_of_goo","Schleimurteil"
"specials.name.judgment_and_penance","Urteil und Buße"
"specials.name.judgment_of_sun","Urteil der Sonne"
"specials.name.juggling_trials","Jonglierprüfungen"
"specials.name.jungle_fury","Dschungelwut"
"specials.name.jungle_riposte","Dschungel-Riposte"
"specials.name.jungle_slash","Sumpfhieb"
"specials.name.just_a_flesh_wound","Nur eine Fleischwunde"
"specials.name.karnov","Zusammenschlagen"
"specials.name.katana_rain","Katana-Regen"
"specials.name.katana_rain_pve","Katana-Regen"
"specials.name.keep_the_peace","Den Frieden wahren"
"specials.name.keyknife_typhoon","Schlüsselmesser-Taifun"
"specials.name.khans_order","Khans Befehl"
"specials.name.kindled_carpet","Entzündeter Teppich"
"specials.name.kings_blood_poisoning","Nacht der Sorgen"
"specials.name.kings_curse","Sandsturm"
"specials.name.kings_curse_pve","Sandsturm"
"specials.name.kings_feast","Königliches Gelage"
"specials.name.kite_of_endurance","Drachen der Ausdauer"
"specials.name.kitten_stampede","Kätzchen-Ansturm"
"specials.name.knights_armor","Ritterrüstung"
"specials.name.knights_fury","Ritterzorn"
"specials.name.knights_parry","Ritterparade"
"specials.name.kong_smash","Gorillaschmettern"
"specials.name.kunai_assault","Kunai-Ansturm"
"specials.name.lacerating_leap","Reißsprung"
"specials.name.lacerating_letters","Reißende Briefe"
"specials.name.lacerating_whip","Reißende Peitsche"
"specials.name.ladys_charm","Charme der Dame"
"specials.name.ladys_flowers","Blumen für eine Dame"
"specials.name.lament_of_the_hunt","Klage der Jagd"
"specials.name.lance_of_avarice","Lanze des Geizes"
"specials.name.lance_of_torment","Lanze der Qual"
"specials.name.lance_thrust","Lanzenstoß"
"specials.name.landslide","Erdrutsch"
"specials.name.lantern_of_insanity","Laterne des Wahnsinns"
"specials.name.larva_prescription","Larven-Rezept"
"specials.name.lash_of_the_whip","Knall der Peitsche"
"specials.name.lasso_of_love","Lasso der Liebe"
"specials.name.last_words","Letzte Worte"
"specials.name.laundry_day","Waschtag"
"specials.name.lava_blast","Lavaexplosion"
"specials.name.lava_spit","Lava-Spieß"
"specials.name.lava_splash_dragon_pve","Geisterfeuerspritzer"
"specials.name.lavablow","Flammenangriff"
"specials.name.lavablow_pve","Flammenangriff"
"specials.name.lavaslash","Lavaschnitt"
"specials.name.leaf_blast","Blätterwirbel"
"specials.name.leafglow_bloom","Blattglanzblüte"
"specials.name.leaping_attack","Sprungangriff"
"specials.name.leeching_saw","Egelsäge"
"specials.name.leeching_stars","Egelsterne"
"specials.name.leeching_worms","Blutsaugende Würmer"
"specials.name.legacy_of_darkness","Vermächtnis der Dunkelheit"
"specials.name.legerdemain","Schwindel"
"specials.name.legerdemain_heart","Kreuz"
"specials.name.legerdemain_joker","Sterne"
"specials.name.legerdemain_skull","Schädel"
"specials.name.legions_of_darkness","Legionen der Dunkelheit"
"specials.name.legions_of_tyrant","Legionen des Tyrannen"
"specials.name.lethal_needles","Tödliche Nadeln"
"specials.name.lethal_needles2","Tödliche Nadeln"
"specials.name.levitating_lunchbox_deluxe","Schwebende Deluxe-Lunchbox"
"specials.name.lifeforce_leech","Lebenssauger"
"specials.name.light_barrier_dragon_pve","Lichtbarriere"
"specials.name.light_grenades","Lichtgranaten"
"specials.name.light_grenades2","Lichtgranaten"
"specials.name.light_my_fire","Entzünde mein Feuer"
"specials.name.lightning_charge","Blitzaufladung"
"specials.name.lightning_stream","Blitzstrom"
"specials.name.lightning_stream2","Blitzstrom"
"specials.name.lightning_ultimatum","Blitzultimatum"
"specials.name.lightning_ultimatum_pve","Blitzultimatum"
"specials.name.litter_of_kittens","Wurf Kätzchen"
"specials.name.liturgy_of_the_fallen","Liturgie der Gefallenen"
"specials.name.looking_for_love","Auf der Suche nach Liebe"
"specials.name.lookouts_refreshment","Ausblickserfrischung"
"specials.name.loom_of_destruction","Webstuhl der Zerstörung"
"specials.name.lord_of_the_jungle","Dschungelkönig"
"specials.name.lords_blood_poisoning","Dämmerung der Sorgen"
"specials.name.love_at_first_sight","Liebe auf den ersten Blick"
"specials.name.love_conquers_all","Liebe überwindet alles"
"specials.name.love_conquers_all_pve","Liebe überwindet alles"
"specials.name.loving_queen","Liebende Königin"
"specials.name.lucky_coin","Glücksmünze"
"specials.name.lucky_nine","Glückliche Neun"
"specials.name.luminescent_electrocution","Leuchtender Elektroschock"
"specials.name.luminous_lance","Leuchtende Lanze"
"specials.name.lunar_blessing","Segen des Mondes"
"specials.name.lunar_blessing_moon_beam","Mondstrahl"
"specials.name.lunar_bloom","Mondblüte"
"specials.name.lunar_locket","Mond-Medaillon"
"specials.name.lunar_shield","Mondschild"
"specials.name.lunar_spear","Mondspeer"
"specials.name.luring_song","Lockendes Lied"
"specials.name.machinists_cutlass","Maschinenmesser"
"specials.name.mad_as_a_hatter","Verrückt wie ein Hutmacher"
"specials.name.mad_rat_mania","Rattenwahnsinn"
"specials.name.mad_tea_party","Verrückte Teeparty"
"specials.name.madrigal_of_mayhem","Madrigal des Chaos"
"specials.name.mageball_blast","Magieball-Explosion"
"specials.name.mageball_blast_pve","Magieball-Explosion"
"specials.name.magic_mirror_of_power","Magischer Spiegel der Macht"
"specials.name.magical_balan","Magiegleichgewicht"
"specials.name.magical_sword","Magisches Schwert"
"specials.name.magma_boulders","Magmabrocken"
"specials.name.magma_smash","Magmastoß"
"specials.name.magmatic_burns","Magmaverbrennungen"
"specials.name.magmatic_tempest","Magmasturm"
"specials.name.magnificent_meal","Mächtiges Mahl"
"specials.name.maidens_command","Befehl der Maid"
"specials.name.maidens_orders","Anordnungen der Maid"
"specials.name.make_them_harmless","Harmlos machen"
"specials.name.malevolent_toys","Bösartige Spielzeuge"
"specials.name.malison_of_the_wildlands","Verwünschung der Wildnis"
"specials.name.mallet_swing_of_the_beast","Hammerschwung der Bestie"
"specials.name.mana_immolation","Mana-Opfer"
"specials.name.mana_manipulation","Mana-Manipulation"
"specials.name.mana_scavange","Manaplünderung"
"specials.name.mana_stealer","Auge des Propheten"
"specials.name.mantis_strike","Gottesanbeterinnenangriff"
"specials.name.marble_frenzy","Murmelwahnsinn"
"specials.name.marc","Wirrer Angriff"
"specials.name.mark_of_anubis","Zeichen des Anubis"
"specials.name.mark_of_fire","Zeichen des Feuers"
"specials.name.mark_of_ivy","Mal des Efeus"
"specials.name.mark_of_nature","Zeichen der Natur"
"specials.name.mark_of_the_jackal","Zeichen des Schakals"
"specials.name.mark_the_prey","Beute markieren"
"specials.name.marked_aim","Markiertes Ziel"
"specials.name.martial_dance","Kane-Kraft"
"specials.name.martial_masterstroke","Kriegslist"
"specials.name.martial_prowess","Kriegerisches Können"
"specials.name.masons_rage","Zorn des Steinmetzes"
"specials.name.massive_bite","Gewaltiger Biss"
"specials.name.massive_chop","Massives Hacken"
"specials.name.massive_cleave","Massives Spalten"
"specials.name.massive_swing","Massiver Schwung"
"specials.name.master_of_ailments","Meister der Leiden"
"specials.name.master_plan","Masterplan"
"specials.name.masterful_balance","Meisterhafte Balance"
"specials.name.masterful_manipulation","Meisterhafte Manipulation"
"specials.name.mauling_tusk","Zerfleischender Reißzahn"
"specials.name.mean_jab_dragon_pve","Gemeiner Stoß"
"specials.name.mechanical_augmentations","Mechanische Verstärkungen"
"specials.name.medicinal_drool","Medizingesabber"
"specials.name.medicinal_fumes","Medizindämpfe"
"specials.name.melody_harvest","Melodienernte"
"specials.name.melody_of_mana_control","Melodie der Manakontrolle"
"specials.name.melody_of_misery","Melodie des Elends"
"specials.name.memory_manipulation","Gedächtnismanipulation"
"specials.name.memory_of_the_queen","Erinnerung der Kaiserin"
"specials.name.mending_bronze_axe","Bronzebeil flicken"
"specials.name.mending_mantra","Heilmantra"
"specials.name.mending_stitches","Wundnaht"
"specials.name.merciless_bite","Gnadenloser Biss"
"specials.name.merciless_execution","Gnadenlose Hinrichtung"
"specials.name.merciless_pulverizer","Gnadenloser Pulverisator"
"specials.name.merriest_misery","Fröhlichstes Leid"
"specials.name.mesmerizing_mirror","Betörender Spiegel"
"specials.name.miasma_mace","Giftkeule"
"specials.name.midnight_magic","Mitternachtsmagie"
"specials.name.midnight_moon","Mitternachtsmond"
"specials.name.midnight_smite","Mitternachtshieb"
"specials.name.midnight_strike","Mitternachtsschlag"
"specials.name.midsummers_dream","Hochsommertraum"
"specials.name.midsummers_reverie","Hochsommerschwärmerei"
"specials.name.might_of_ares","Ares' Macht"
"specials.name.might_of_excalibroom","Die Macht des Excalibesens"
"specials.name.might_of_the_ice_giants","Macht der Eisriesen"
"specials.name.might_of_the_ice_giants_final","Macht der Eisriesen"
"specials.name.mimic_bite","Mimenbiss"
"specials.name.mimic_bite_burn","Ätzender Biss"
"specials.name.mimic_bite2","Biss des wilden Mimen"
"specials.name.mimic_bite3","Gier des Mimen"
"specials.name.mimic_bite4","Provokation des Mimen"
"specials.name.mimic_special","Gewieftes Monster"
"specials.name.mimic_special2","Gewieftes Monster"
"specials.name.mimic_training_hero_blue_bite","Gieriger Verschlinger"
"specials.name.mimic_training_hero_green_bite","Gieriger Verschlinger"
"specials.name.mimic_training_hero_purple_bite","Gieriger Verschlinger"
"specials.name.mimic_training_hero_red_bite","Gieriger Verschlinger"
"specials.name.mimic_training_hero_yellow_bite","Gieriger Verschlinger"
"specials.name.mind_blast","Sprunghaftes Denken"
"specials.name.mindless_attack","Blindwütiger Angriff"
"specials.name.minion_scrutiny","Lakaienprüfung"
"specials.name.mischievous_flourish","Freche Verzierung"
"specials.name.mischievous_flourish_pve_advanced","Freche Verzierung"
"specials.name.mischievous_flourish_pve_normal","Freche Verzierung"
"specials.name.mischievous_tiein","Schelmische Anspielung"
"specials.name.missile_mania","Projektilmanie"
"specials.name.mist_of_the_fallen","Dunst der Verdammten"
"specials.name.mistletoe_medley","Mistelnmischung"
"specials.name.misty_punches","Neblige Schläge"
"specials.name.mixed_green_herbs","Gemischte grüne Kräuter"
"specials.name.molten_wax","Geschmolzenes Wachs"
"specials.name.monastic_restraint","Monastische Zurückhaltung"
"specials.name.monstrous_bite","Monsterbiss"
"specials.name.moody_jab_dragon_pve","Mürrischer Stoß"
"specials.name.mooing_for_a_fight","Muhen für einen Kampf"
"specials.name.moon_boomerang","Mond-Bumerang"
"specials.name.moon_crush_beam","Mondzerstörungsstrahl"
"specials.name.moonlight_crescendo","Mondschein-Crescendo"
"specials.name.moonlight_serenade","Mondscheinserenade"
"specials.name.moonlight_sonata","Mondscheinsonate"
"specials.name.moonstone_glare_dragon_pve","Mondstein-Blendung"
"specials.name.moreau_phase1_special","Blendende Bosheit"
"specials.name.moreau_phase2_special1","Blendende Bosheit"
"specials.name.moreau_phase2_special2","Blendende Bosheit"
"specials.name.morning_catch","Morgendlicher Fang"
"specials.name.mother_dragons_love","Die Liebe einer Drachenmutter"
"specials.name.motherly_care","Mütterliche Fürsorge"
"specials.name.motherly_care_pve","Mütterliche Fürsorge"
"specials.name.motherly_love","Mutterliebe"
"specials.name.muffin_poisoning","Vergifteter Muffin"
"specials.name.multi_elemental_mark","Multi-elementares Zeichen"
"specials.name.multi_throw","Mehrfachwurf"
"specials.name.mummy_slash","Mumienhieb"
"specials.name.mummy_strike","Mumienschlag"
"specials.name.musketeers_deal","Musketierhandel"
"specials.name.musketeers_mead","Musketier-Met"
"specials.name.mutated_specimen","Mutiertes Exemplar"
"specials.name.mutating_mixture","Mutanten-Mixtur"
"specials.name.mystery_potions","Geheimnisvolle Tränke"
"specials.name.mystic_chop","Mystischer Hieb"
"specials.name.mystical_concerto","Mystisches Konzert"
"specials.name.mystics_virtue","Die Tugend des Mystikers"
"specials.name.mythic_lightning","Mythischer Blitz"
"specials.name.nasty_hammer","Gemeiner Hammer"
"specials.name.natures_blessing","Berserkerwut"
"specials.name.natures_connection","Naturverbunden"
"specials.name.natures_fury","Zorn der Natur"
"specials.name.natures_payback","Rache der Natur"
"specials.name.nebula_orb","Nebulakugel"
"specials.name.nebula_orb_ultimate_boss","Nebulakugel"
"specials.name.necronomicon_page_13","Nekronomikon, Seite 13"
"specials.name.nephrite_blade","Nephritklinge"
"specials.name.nethershield","Netherschild"
"specials.name.never_ending_winter","Nie endender Winter"
"specials.name.night_falls","Einbruch der Nacht"
"specials.name.night_of_crimes","Nacht der Verbrechen"
"specials.name.nightbloom_dust","Nachtblumstaub"
"specials.name.nightglade_pollen","Blütenstaub der Nachtwiese"
"specials.name.nights_whisper","Flüstern der Nacht"
"specials.name.nimble_bite","Schneller Bissen"
"specials.name.nine_dragon_strike","Schlag der neun Drachen"
"specials.name.nobles_empathy","Mitgefühl des Noblen"
"specials.name.nobles_empathy_costume_artisan","Kalligraphie-Empathie"
"specials.name.nomadic_hymn","Nomadenhymne"
"specials.name.northern_wanderer","Fröhliche Verstärkung"
"specials.name.noxious_blossom","Giftige Blüte"
"specials.name.noxious_chord","Giftiger Akkord"
"specials.name.noxious_cleave","Giftige Spaltung"
"specials.name.noxious_cleave_pve","Giftige Spaltung"
"specials.name.nuts_of_yggdrasil","Nüsse des Yggdrasil"
"specials.name.oath_of_templar","Schwur des Tempelritters"
"specials.name.obliterating_surge","Vernichtende Woge"
"specials.name.ocarina_windsong","Okarinastück"
"specials.name.occult_redemption","Okkulte Erlösung"
"specials.name.ocean_vortex","Ozeanwirbel"
"specials.name.oceanic_offensive","Ozeanische Offensive"
"specials.name.oceanic_slayer","Gezeitenschlächter"
"specials.name.oceanic_suffering","Ozeanisches Leiden"
"specials.name.oceans_decay","Niedergang des Ozeans"
"specials.name.oceans_embrace","Umarmung des Ozeans"
"specials.name.oceans_ruin","Ozeanische Ruine"
"specials.name.odd_drum_roll","Seltsamer Trommelwirbel"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Alter Fluch"
"specials.name.omega_flame","Omega-Schlag"
"specials.name.omega_strike_dark","Omega-Schlag"
"specials.name.omega_strike_fire","Omega-Schlag"
"specials.name.omega_strike_holy","Omega-Schlag"
"specials.name.omega_strike_ice","Omega-Schlag"
"specials.name.omega_strike_nature","Omega-Schlag"
"specials.name.omen_of_retribution","Omen der Vergeltung"
"specials.name.omnicure","Allheilung"
"specials.name.omniheal","Allheilmittel"
"specials.name.omnimend","Umfassende Reparatur"
"specials.name.one_hit_wonder","One-Hit-Wonder"
"specials.name.one_jump_ahead","Ein Sprung voraus"
"specials.name.one_spell_ahead","Einen Zauberspruch voraus"
"specials.name.opposing_raid","Gegnerischer Überfall"
"specials.name.orchestra_of_candles","Orchester der Kerzen"
"specials.name.orchids_and_roses","Orchideen und Rosen"
"specials.name.order_ambush","Hinterhalt anordnen"
"specials.name.order_ambush_pve","Hinterhalt anordnen"
"specials.name.order_from_the_depths","Befehl aus der Tiefe"
"specials.name.order_to_overwhelm","Befehl zum Überwältigen"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Überwältigender Griff"
"specials.name.overvlowing_whirlwind","Überfließender Wirbelwind"
"specials.name.overwhelming_raid","Überwältigender Überfall"
"specials.name.owls_blessing","Segen der Eule"
"specials.name.pacifying_presence_dragon_pve","Friedensmacht"
"specials.name.pain_harvest","Qualernte"
"specials.name.paragon_of_constellations","Paragon der Konstellationen"
"specials.name.paralyzing_spore","Paralysierende Spore"
"specials.name.parcel_of_the_dragon_familiar","Paket des Drachenvertrauten"
"specials.name.passion_conquers_all","Leidenschaft triumphiert"
"specials.name.pathfinders_compass","Kompass des Fährtenlesers"
"specials.name.paw_in_every_pie","Pfoten im Kuchen"
"specials.name.pawns_of_divinity","Marionetten der Göttlichkeit"
"specials.name.paws_or_claws","Pfoten oder Klauen"
"specials.name.peach_of_immortality","Pfirsich der Unsterblichkeit"
"specials.name.pearls_of_rejuvenation","Perlen der Verjüngung"
"specials.name.perfect_riposte","Gegenschlag"
"specials.name.perfect_shot","Volltreffer"
"specials.name.perfect_teamwork","Perfekte Teamarbeit"
"specials.name.perfume_cloud","Duftwolke"
"specials.name.perilous_gift","Gefährliches Geschenk"
"specials.name.perilous_present_pve","Gefährliches Geschenk"
"specials.name.perilous_waters","Gefährliche Wasser"
"specials.name.perplexing_riddle","Verblüffendes Rätsel"
"specials.name.pest_control","Schädlingsbekämpfung"
"specials.name.pet_larva","Haustierlarve"
"specials.name.petals_of_nourishment","Blüten der Nahrung"
"specials.name.petrifying_knuckles","Versteinernde Knöchel"
"specials.name.petrifying_performance","Fesselnde Vorführung"
"specials.name.picnic_in_the_sky","Picknick im Himmel"
"specials.name.pie_of_protection","Schutzkuchen"
"specials.name.piercing_falcon","Stechender Falke"
"specials.name.piercing_hit","Stoßhieb"
"specials.name.piercing_practice_slash","Durchdringender Übungshieb"
"specials.name.piercing_sabre","Durchbohrender Säbel"
"specials.name.piercing_scream_dragon_pve","Durchdringender Schrei"
"specials.name.piercing_shot","Durchdringender Schuss"
"specials.name.piercing_strike","Durchstoß"
"specials.name.piercing_tusk","Stoßzahn"
"specials.name.pincer_claw","Krebsschere"
"specials.name.pincer_claw_deadly","Krebsschere"
"specials.name.pineapple_alchemist","Ananas-Alchemist"
"specials.name.pineapple_barbeque","Ananas-Barbecue"
"specials.name.pirate_shot","Piratenschuss"
"specials.name.pirates_vengeance","Rache des Piraten"
"specials.name.pixie_dust","Pixiestaub"
"specials.name.plague_bite","Seuchenbiss"
"specials.name.plague_blade","Seuchenklinge"
"specials.name.planar_time_widget","Flaches Zeitgerät"
"specials.name.planetary_charge","Planetarische Ladung"
"specials.name.plantipede_sting","Pflanzfüßerstich"
"specials.name.plentiful_harvest","Reiche Ernte"
"specials.name.plentiful_minerals","Reichhaltige Mineralien"
"specials.name.plume_flash","Federblitz"
"specials.name.poem_of_the_centaurs","Gedicht der Zentauren"
"specials.name.poem_of_the_morass","Gedicht des Sumpfes"
"specials.name.poetic_justice","Poetische Gerechtigkeit"
"specials.name.poets_protection","Schutz des Dichters"
"specials.name.pointy_darts","Spitze Pfeile"
"specials.name.poison_bite","Giftzahn"
"specials.name.poison_bite_dragon_pve","Giftzahn"
"specials.name.poison_bolt_zidane","Giftkeil"
"specials.name.poison_claw","Giftklaue"
"specials.name.poison_jolt","Giftstoß"
"specials.name.poison_strike","Giftschlag"
"specials.name.poison_tipped_arrow","Giftpfeil"
"specials.name.poison_web","Giftnetz"
"specials.name.poisoned_blade","Giftklinge"
"specials.name.poisoning_blade","Giftige Klinge"
"specials.name.poisonous_mist","Giftiger Nebel"
"specials.name.poisonous_saliva","Giftspeichel"
"specials.name.polar_bash","Polar-Schlag"
"specials.name.polar_night_blizzard","Polarnacht-Schneesturm"
"specials.name.poleaxe_of_the_law","Streitaxt des Gesetzes"
"specials.name.polestar_expedition","Nordstern-Expedition"
"specials.name.pompous_flex","Angeberisches Muskelspiel"
"specials.name.portents_of_future","Vorzeichen der Zukunft"
"specials.name.possessed_strike","Besessener Schlag"
"specials.name.possessor_of_penance","Besitzer der Buße"
"specials.name.postal_pulverizer","Totalpulverisierer"
"specials.name.potion_cocktail","Trankmischung"
"specials.name.potions_of_covetous_desire","Tränke des Begehrens"
"specials.name.potions_of_covetous_desire_pve","Tränke des Begehrens"
"specials.name.potions_of_havoc_and_healing","Tränke des Chaos und der Heilung"
"specials.name.pounce_of_the_lioness","Sprung der Löwin"
"specials.name.pounding_attack","Hammerangriff"
"specials.name.power_of_ajna","Macht von Ajna"
"specials.name.power_of_flora","Macht von Flora"
"specials.name.power_of_mjolnir","Macht von Mjölnir"
"specials.name.power_of_the_forest","Kraft des Waldes"
"specials.name.power_of_the_void","Kraft der Leere"
"specials.name.power_punch","Kraftschlag"
"specials.name.power_slam","Powerschlag"
"specials.name.power_wave","Energiewelle"
"specials.name.prayer_of_the_desert","Gebet der Wüste"
"specials.name.precious_pets","Wertvolle Haustiere"
"specials.name.precious_pets_pve_advanced","Wertvolle Haustiere"
"specials.name.precious_pets_pve_normal","Wertvolle Haustiere"
"specials.name.precise_chop","Präzisionshieb"
"specials.name.precise_riposte","Präziser Konter"
"specials.name.preserve_and_freeze","Konservieren und Einfrieren"
"specials.name.prestidigitation","Taschenspielertricks"
"specials.name.prestidigitation_cross","Kreuz"
"specials.name.prestidigitation_skull","Schädel"
"specials.name.prestidigitation_stars","Sterne"
"specials.name.primeval_glaive","Urzeitliche Gleve"
"specials.name.princess_unleashed","Entfesselte Prinzessin"
"specials.name.prosperity_for_domain","Bereichserfolg"
"specials.name.protective_stance","Schützende Haltung"
"specials.name.protector_of_the_blue_river","Beschützer des blauen Flusses"
"specials.name.protein_corruption","Proteinverderbnis"
"specials.name.protein_eater","Eiweißesser"
"specials.name.pulsar_blast","Pulsierende Explosion"
"specials.name.pulsarstrike","Pulsarschlag"
"specials.name.pulverizing_ham","Pulverisierender Amateur"
"specials.name.pummeling","Prügel"
"specials.name.punishing_shot","Strafschuss"
"specials.name.punishing_shot_pve","Strafschuss"
"specials.name.punishing_strike","Strafender Schlag"
"specials.name.puppy_tales","Hundegeschichten"
"specials.name.pure_shot","Reiner Schuss"
"specials.name.purification","Reinigung"
"specials.name.purifying_flame","Reinigende Flamme"
"specials.name.purifying_flame_pve","Reinigende Flamme"
"specials.name.purifying_hit","Reinigender Treffer"
"specials.name.purifying_ki","Reinigendes Ki"
"specials.name.purifying_light","Reinigendes Licht"
"specials.name.purifying_strike","Reinigender Schlag"
"specials.name.purple_beetloid_bite","Biss des violetten Käferoids"
"specials.name.pursuing_shot","Verfolgender Schuss"
"specials.name.putrid_perfume","Fauliger Geruch"
"specials.name.puzzling_paint","Seltsame Farbe"
"specials.name.puzzling_riddle","Seltsames Rätsel"
"specials.name.qilin_blade","Qilin-Klinge"
"specials.name.queen_of_cards","Königin der Karten"
"specials.name.queen_of_the_depths","Kaiserin der Tiefen"
"specials.name.queen_of_the_depths_final","Kaiserin der Tiefen"
"specials.name.queens_blood_poisoning","Abenddämmerung der Sorgen"
"specials.name.queens_curse","Sandsturm"
"specials.name.queens_curse_pve","Sandsturm"
"specials.name.quick_and_nimble","Schnell und geschickt"
"specials.name.rabbits_watch","Kaninchen-Uhr"
"specials.name.raccoon_bite","Waschbärenbiss"
"specials.name.radiant_comeback","Strahlendes Comeback"
"specials.name.radiant_rapid_fire","Strahlendes Schnellfeuer"
"specials.name.radiant_shackles","Strahlende Ketten"
"specials.name.radiant_sweep_dragon_pve","Strahlender Feger"
"specials.name.radiating_frost","Strahlender Frost"
"specials.name.rage_of_grimnir","Zorn von Grimnir"
"specials.name.raging_tempest","Wütender Sturm"
"specials.name.rain_of_arrows","Pfeilhagel"
"specials.name.rain_of_fire","Feuerregen"
"specials.name.rain_of_fire_ultimate_boss","Feuerregen"
"specials.name.raising_morale","Steigende Moral"
"specials.name.rally_of_the_deep","Demonstration der Tiefe"
"specials.name.ramming_pulverizer","Rammstoß"
"specials.name.ramming_rush","Rammangriff"
"specials.name.rapid_shots","Schnellfeuer"
"specials.name.rattle_of_confusion","Verwirrungsgeklapper"
"specials.name.ravaging_talons","Verwüstende Klauen"
"specials.name.ravening_blade","Gefräßige Klinge"
"specials.name.ravenous_pounce","Gefräßiges Abprallen"
"specials.name.ravens_vigil","Wachsamer Rabe"
"specials.name.ravens_watch","Wache der Raben"
"specials.name.ray_strike","Todesstrahl"
"specials.name.razor_smile","Rasiermesser-Lächeln"
"specials.name.reanimated_spite","Wiedererweckte Boshaftigkeit"
"specials.name.reanimated_spite_pve","Wiedererweckte Boshaftigkeit"
"specials.name.reckless_charge","Rücksichtsloser Ansturm"
"specials.name.reckless_finisher","Wilder Todesstoß"
"specials.name.reckless_slash","Wilder Hieb"
"specials.name.reckless_stab","Wilder Stich"
"specials.name.reckless_swing","Wilder Schwung"
"specials.name.reckless_sword_swings","Rücksichtslose Schwerthiebe"
"specials.name.red_lizard_charge","Angriff der roten Tarneidechse"
"specials.name.red_shoes","Rote Schuhe"
"specials.name.red_sparks_dragon_pve","Roter Funke"
"specials.name.reef_blast","Riffexplosion"
"specials.name.reflecting_stance","Reflektionshaltung"
"specials.name.regal_claws","Königsklauen"
"specials.name.regal_spearhead","Königliche Speerspitze"
