"herocard.passive_skill.description.addmana.all.allies","Kaikki liittolaiset saavat pienen määrän manaa."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Hyökkäystä heikentävien vaivojen teho on {MODIFIER} % pienempi tätä hahmoa vastaan."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Hyökkäystä nostavat tilaefektit ovat {MODIFIER} % tehokkaampia tällä hahmolla."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Hyökkäystä heikentävien vaivojen teho on {MODIFIER} % pienempi tätä hahmoa vastaan."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Puolustusta nostavat tilaefektit ovat {MODIFIER} % tehokkaampia tällä hahmolla."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Vähentää puolustusvaivojen vaikutusta {MODIFIER} %. Vaikutus koskee tätä hahmoa ja kaikkia sen liittolaisia tässä taistelussa."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Puolustusta heikentävien vaivojen teho on {MODIFIER} % pienempi tätä vihollista vastaan."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Puolustusta nostavat tilaefektit ovat {MODIFIER} % tehokkaampia tällä hahmolla."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Puolustusta heikentävien vaivojen teho on {MODIFIER} % pienempi tätä vihollista vastaan."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","{MAXACTIVATIONCOUNT} ensimmäisen tämän hahmon erikoistaidoista saaman vaivan kesto lyhenee {DURATIONMODIFIER} vuorolla."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Tämän hahmon erikoistaidoista saamien puolustusvaivojen kesto lyhenee {DURATIONMODIFIER} vuorolla."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","{MAXACTIVATIONCOUNT} ensimmäisen tämän hahmon erikoistaidoista saaman tehosteen kesto pitenee {DURATIONMODIFIER} vuorolla."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Kun tältä sankarilta puhdistetaan vaiva, satunnainen vihollinen saa uuden kopion puhdistetusta vaivasta."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Aina kun tämä gargoili loitsii erikoistaidon, kaikki liittolaiset saavat pehmonahan. Seuraavat {MAXACTIVATIONS} heidän kärsimäänsä vauriota laskevat {DAMAGEREDUCTION} %. Lisäksi he ovat immuuneja kaikille vaivoille, manan vähennyksille ja hulluudelle. Tätä vaikutusta ei voi häivyttää."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Aina kun tämä gargoili loitsii erikoistaidon, sen pehmonahka aktivoituu. Seuraavat {MAXACTIVATIONS} sen kärsimää vauriota laskevat {DAMAGEREDUCTION} %. Lisäksi se on immuuni kaikille vaivoille, manan vähennyksille ja hulluudelle. Tätä vaikutusta ei voi häivyttää."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Aina kun tämä gargoili käyttää erikoistaitoa, sen kivinahka kovenee. Seuraavat {MAXHITS} sen kärsimää vauriota laskevat 1:een. Tätä vaikutusta ei voi häivyttää."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Kun tämä hahmo käyttää erikoistaitoaan, hän merkitsee satunnaisen vihollisen jahtivalolla {TURNS} vuoron ajaksi.
 Jahtivalolla merkitty kohde kärsii {FIXEDPOWER} pistettä lisävauriota kriittisistä osumista."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Kun tämä hahmo käyttää erikoistaitoaan, hän saa {ATTACK} % hyökkäystä {TURNS} vuoron ajaksi. Tämä vaikutus voi olla voimassa muiden hyökkäystä muuttavien vaikutusten lisäksi."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Voit vaihtaa tämän sankarin elementin haluamaksesi kerran taistelua kohti {TURNS} vuoron ajaksi. Voit vaihtaa elementtiä napauttamalla tätä sankaria, kun sen mana ei ole täynnä."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Kutsuu joka vuorolla siementaimiriiviön satunnaiselle viholliselle.
Siementaimiriiviö kehittyy taimiriiviöksi {EVOLVINGFAMILIAR1EVOLVETURNS} vuoron jälkeen.
Taimiriiviö kehittyy kukkivaksi megariiviöksi {EVOLVINGFAMILIAR2EVOLVETURNS} vuoron jälkeen.

Siementaimiriiviö: 
{EVOLVINGFAMILIAR1ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR1HEALTH} % terveyttä.

Taimiriiviö: 
{EVOLVINGFAMILIAR2ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR2HEALTH} % terveyttä.

Kukkiva megariiviö: 
{EVOLVINGFAMILIAR3ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR3HEALTH} % terveyttä."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Kutsuu joka vuorolla siementaimiriiviön satunnaiselle viholliselle. Tämä passiivinen taito aktivoituu vain kerran vuorossa ryhmää kohti.
Siementaimiriiviö kehittyy taimiriiviöksi {EVOLVINGFAMILIAR1EVOLVETURNS} vuoron jälkeen.
Taimiriiviö kehittyy kukkivaksi megariiviöksi {EVOLVINGFAMILIAR2EVOLVETURNS} vuoron jälkeen.

Siementaimiriiviö:
{EVOLVINGFAMILIAR1ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR1HEALTH} % terveyttä.

Taimiriiviö:
{EVOLVINGFAMILIAR2ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR2HEALTH} % terveyttä.

Kukkiva megariiviö:
{EVOLVINGFAMILIAR3ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR3HEALTH} % terveyttä."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Kutsuu joka vuorolla siementaimiriiviön satunnaiselle viholliselle. Tämä passiivinen taito aktivoituu vain kerran vuorossa ryhmää kohti.
Siementaimiriiviö kehittyy taimiriiviöksi {EVOLVINGFAMILIAR1EVOLVETURNS} vuoron jälkeen.
Taimiriiviö kehittyy kukkivaksi megariiviöksi {EVOLVINGFAMILIAR2EVOLVETURNS} vuoron jälkeen.
Riiviöiden evoluutio viivästyy {EVOLVINGFAMILIAR1TURNSDELAY} vuorolla aina kun ne imevät parannusta.

Siementaimiriiviö:
{EVOLVINGFAMILIAR1ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR1HEALTH} % terveyttä.

Taimiriiviö:
{EVOLVINGFAMILIAR2ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR2HEALTH} % terveyttä.

Kukkiva megariiviö:
{EVOLVINGFAMILIAR3ATTACK} % hyökkäystä, {EVOLVINGFAMILIAR3HEALTH} % terveyttä."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Kun tämä hahmo kukistuu, hän kutsuu lähellä oleville liittolaisille limamegakäskyläiset, jotka perivät {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä sankarilta."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Kun tämä hahmo kukistuu, hän kutsuu lähellä oleville liittolaisille limamegakäskyläiset, jotka perivät {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä sankarilta."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Kun tämä hahmo kukistuu, hän kutsuu lähellä oleville liittolaisille limamegakäskyläiset, jotka perivät {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä sankarilta."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Kun tämä hahmo kukistuu, hän kutsuu lähellä oleville liittolaisille limamegakäskyläiset, jotka perivät {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä sankarilta."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Kun tämä hahmo kukistuu, hän kutsuu lähellä oleville liittolaisille limamegakäskyläiset, jotka perivät {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä sankarilta."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Jos tämä hahmo menettää yli {DAMAGETHRESHOLD} % maksimiterveydestään kerralla, hän kutsuu itselleen limamegakäskyläisen, jolla on {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Jos tämä hahmo menettää yli {DAMAGETHRESHOLD} % maksimiterveydestään kerralla, hän kutsuu itselleen limamegakäskyläisen, jolla on {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Jos tämä hahmo menettää yli {DAMAGETHRESHOLD} % maksimiterveydestään kerralla, hän kutsuu itselleen limamegakäskyläisen, jolla on {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Jos tämä hahmo menettää yli {DAMAGETHRESHOLD} % maksimiterveydestään kerralla, hän kutsuu itselleen limamegakäskyläisen, jolla on {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Jos tämä hahmo menettää yli {DAMAGETHRESHOLD} % maksimiterveydestään kerralla, hän kutsuu itselleen limamegakäskyläisen, jolla on {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Aina kun tämän hahmo saa palovaivan, hän kutsuu metsänvartijakäskyläisen itselleen. Metsänvartijakäskyläinen perii {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä hahmolta."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Aina kun tämän hahmo saa ajan mittaan vauriota tuottavan vaivan, hän kutsuu korttisotilaskäskyläisen itselleen. Korttisotilaskäskyläinen perii {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä hahmolta."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Aina kun tämän hahmo saa puolustukseensa vaikuttavan vaivan, hän kutsuu härkäkäskyläisen itselleen. Härkäkäskyläinen perii {FAMILIARHEALTHPERCENT} % terveyttä ja {FAMILIARATTACK} % hyökkäystä tältä hahmolta."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Kutsuu itselleen varpuskäskyläisen, kun vihollinen kutsuu minkä tahansa käskyläisen käyttämällä erikoistaitoa."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Kun vihollinen kutsuu minkä tahansa käskyläisen erikoistaidolla, hahmo kutsuu kyseiselle viholliselle kirotun taimiriiviön."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Kun vihollinen kutsuu minkä tahansa käskyläisen erikoistaidolla, hahmo kutsuu kyseiselle viholliselle siementaimiriiviön."
"herocard.passive_skill.description.taunt","Piikittely ei vaikuta tämän hahmon erikoistaitoon."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Laudalla olevat jääkilvet heikkenevät {MODIFIER} %:n tarkkuudella, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Laudalla olevat luontokilvet heikkenevät {MODIFIER} %:n tarkkuudella, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Laudalla olevat pimeyden kilvet heikkenevät {MODIFIER} %:n tarkkuudella, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Laudalla olevat tulikilvet heikkenevät {MODIFIER} %:n tarkkuudella, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Laudalla olevat pyhät kilvet heikkenevät {MODIFIER} %:n tarkkuudella, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Laudalla olevat jääkilvet vahvistuvat {MODIFIER} %:n kriittisellä osumalla, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Laudalla olevat luontokilvet vahvistuvat {MODIFIER} %:n kriittisellä osumalla, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Laudalla olevat pimeyden kilvet vahvistuvat {MODIFIER} %:n kriittisellä osumalla, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Laudalla olevat tulikilvet vahvistuvat {MODIFIER} %:n kriittisellä osumalla, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Laudalla olevat pyhät kilvet vahvistuvat {MODIFIER} %:n kriittisellä osumalla, kun tämä hahmo käyttää erikoistaitoaan."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Aina kun tämä hahmo käyttää erikoistaitoaan, kaikki vihollisilla olevat hyökkäykseen, puolustukseen ja manatuotantoon vaikuttavat häivytettävät tehosteet muuttuvat vastaaviksi vaivoiksi, joita ei voi häivyttää.

Muuttumisen vaikutus: 
Hyökkäystehosteet muuttuvat {STATUSEFFECT1ATTACK} %:n hyökkäysvaivaksi {STATUSEFFECT1TURNS} vuoron ajaksi.
Puolustustehosteet muuttuvat {STATUSEFFECT2DEFENSE} %:n puolustusvaivaksi {STATUSEFFECT2TURNS} vuoron ajaksi.
Manatuotantotehosteet muuttuvat {STATUSEFFECT3MANAREGEN} %:n manatuotantovaivaksi {STATUSEFFECT3TURNS} vuoron ajaksi."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Aina kun tämä hahmo käyttää erikoistaitoaan, kaikki liittolaisilla olevat hyökkäykseen, puolustukseen ja manatuotantoon vaikuttavat puhdistettavat vaivat muuttuvat vastaaviksi tehosteiksi, joita ei voi häivyttää.

Muuttumisen vaikutus: 
Hyökkäysvaivat muuttuvat {STATUSEFFECT1ATTACK} %:n hyökkäystehosteeksi {STATUSEFFECT1TURNS} vuoron ajaksi.
Puolustusvaivat muuttuvat {STATUSEFFECT2DEFENSE} %:n puolustustehosteeksi {STATUSEFFECT2TURNS} vuoron ajaksi.
Manatuotantovaivat muuttuvat {STATUSEFFECT3MANAREGEN} %:n manatuotantotehosteeksi {STATUSEFFECT3TURNS} vuoron ajaksi."
"herocard.passive_skill.description.wither.all.enemies","Kaikkien vihollisten perushyökkäyksestä ja peruspuolustuksesta vähennetään {STATINCREASE} joka vuorolla {MAXACTIVATIONCOUNT} vuoron ajan."
"herocard.passive_skill.inactive","EI AKTIIVINEN: Aktivoituu, kun saavutat maksitason ja täyden ylennyksen."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Hyökkäysvaivoista {ATTACK} % hyökkäystä {TURNS} vuoron ajan."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Tehosteimmuniteettivaivoista vaivaimmuniteetti {TURNS} vuoron ajaksi."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Puolustusvaivoista {DEFENSE} % puolustusta {TURNS} vuoron ajaksi."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Parannusvähennyksistä {HEALING} % parannuksen tehostusta {TURNS} vuoron ajaksi."
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","Manatuotantovaivoista {MANAREGEN} % manatuotantoa {TURNS} vuoron ajan."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Vaurionlisäysvaivoista {DAMAGEREDUCTION} % vaurion vähennystä {TURNS} vuoron ajan."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Tehosteenheijastusvaivoista vaivanheijastustehosteita {TURNS} vuoron ajaksi."
"herocard.passive_skill.replace_direct_effect.attackwither","Hyökkäysnäivetyksestä hyökkäyskasvua: {FIXEDPOWER} hyökkäystä."
"herocard.passive_skill.replace_direct_effect.defensewither","Puolustusnäivetyksestä puolustuskasvua: {FIXEDPOWER} puolustusta."
"herocard.passive_skill.replace_direct_effect.dispel","Tehosteiden häivytyksistä vaivojen puhdistusta."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Riiviöistä tyylikkäitä käskyläisiä ({FAMILIARHEALTHPERCENT} % terveyttä, {FAMILIARATTACK} % hyökkäystä)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manan vähennyksistä {POWER} %:n manan lisäyksiä."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passiivinen taito hyökkääjänä:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passiivinen taito puolustajana:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Tilaefekti vihollisen hyökkäystehosteesta"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Tilaefekti vihollisen puolustustehosteesta"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Tilaefekti manan vähennyksestä"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Manaa verenvuodosta"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Parannusta verenvuodosta"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Manaa palamisesta"
"herocard.passive_skill.title.bypassfamiliars.minion","Käskyläisten ohitus"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Parempi käskyläisten ohitus"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Pidempi tilaefektien kesto"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Lentovauhti"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Manaa näivetyksen aikana"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Elvytyksiä ajan mittaan"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Sisun voima"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Sisäisesti kaunis"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Sisäisesti kaunis"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Sulanut ydin"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Sulanut ydin"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Korroosioydin"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktinen ydin"
"herocard.passive_skill.title.criticalmodifier","Kriittinen muuttuja"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Kriittinen muuttuja"
"herocard.passive_skill.title.critmodifier","Kriittisten iskujen muuttuja"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Muinaisten merkitsemä"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Verimerkki"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Joukkojen mestari"
"herocard.passive_skill.title.debuffdamagereduction","Vaiva vahingon vähennyksestä"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Vaiva vahingon vähennyksestä"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Tuhoydin"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Puhdistus käskyläisen kuolemasta"
"herocard.passive_skill.title.dodgespecialdamage","Erikoistaidon vaurion väistö"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Kasauma erikoistaidosta"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Tuhoaa riiviöt erikoistaidolla"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Syö ajan mittaan käskyläisiä ja saa manaa"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Puhdistaa erikoistaidon kriittisellä osumalla"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Tehostettua terveyttä erikoistaidon kriittisestä osumasta"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Oikeamielinen kapina"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Manaa erikoistaitojen vauriosta"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Manaa kärsitystä vauriosta"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Vauriota erikoistaidoista ja suojausvauriosta"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Kasautuvaa hyökkäystä kärsitystä vauriosta"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Kasautuvaa hyökkäystä kärsitystä vauriosta"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Tehostettua terveyttä liittolaisen yrittämästä puhdistuksesta"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Vauriota vihollisen yrittämästä puhdistuksesta"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Manaa häivytyksestä"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Manaa tehosteiden häivytyksestä"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Paranee vaivan vanhetessa tai poistuessa"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Terveyden tehostusta tehosteiden häivytyksestä"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Jäävauriota käskyläisen osumasta"
"herocard.passive_skill.title.effectonheal.addmana","Manaa terveyden palautumisesta"
"herocard.passive_skill.title.effectonheal.heal","Lisäterveyttä terveyden palautumisesta"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Lisäparannus"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Tilaefekti manan vähennyksestä"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Tilaefekti manan vähennyksestä"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Tehostettua terveyttä ja manaa vastustuksesta"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Manaa terveyttä vahvistavista erikoistaidoista"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Tehostettua terveyttä vihollisen terveyden tehostuksista"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Vaikutuksia erikoistaidosta"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Puhdistaa erikoistaidon kriittisellä osumalla"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Tehostettua terveyttä erikoistaidon kriittisestä osumasta"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Tehostettua terveyttä erikoistaidon kriittisestä osumasta"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Vihollisen erikoistaidot lisäävät terveyttä"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Manaa erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Häivytys erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Puhdistus erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Vahinkoa erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Terveyden palautusta erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Terveyden tehostusta erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Tilaefekti erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Verenvuoto erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Kirous erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Vahinkoa ajan mittaan erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Lisävauriota tehostettua terveyttä vastaan"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Vahinkoa ajan mittaan erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Tilaefekti erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Myrkkyä erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Mieletön hyökkäys erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Vauriota ajan mittaan erikoistaidosta"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Vauriota vihollisen erikoistaidosta"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Manaa piikittelystä"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Manaa vihollisen puolustustehosteesta"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Tilaefekti vihollisen puolustustehosteesta"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Tilaefekti vihollisen hyökkäystehosteesta"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Manaa saadusta tehosteesta"
