"herocard.passive_skill.description.addmana.all.allies","يكتسب جميع الحلفاء كمية صغيرة من القوة."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","في كل مرة يلقي فيها هذا المزراب مهارة خاصة، تتصلب بشرته الحجرية. خلال المرات {MAXHITS} التالية التي يتلقى فيها ضررًا، يقل إلى 1. لا يمكن حذف هذا التأثير."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","عند تنفيذ هذه الشخصية لمهارتها الخاصة، تضع علامة على عدو عشوائي باستخدام توهج الصيد لمدة {TURNS} من الجولات.
 ويحصل العدو صاحب علامة توهج الصيد على {FIXEDPOWER} من الضرر الإضافي عند تلقي ضربة حرجة."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","عندما تلقي هذه الشخصية مهارتها الخاصة، فإنها تحصل على ما مقداره {ATTACK}% هجوم لعدد {TURNS} من الجولات. يمكن أن يكون هذا التأثير نشطًا بالإضافة إلى تأثيرات أخرى تتداخل مع الهجوم."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","مرة واحدة لكل معركة، يمكن تغيير عنصر البطل هذا بعنصر من اختيارك طوال {TURNS} من الجولات. يمكن تغيير العنصر؛ من خلال النقر على هذا البطل عندما لا يتمتع بالقوة الكاملة."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","يستدعي شرير بذرة كل جولة إلى عدو عشوائي.
يتطور الشرير البذرة ليصبح شريرًا برعمًا بعد {EVOLVINGFAMILIAR1EVOLVETURNS} من الجولات.
يتطور الشرير البرعم إلى شرير ضخم مزدهر بعد {EVOLVINGFAMILIAR2EVOLVETURNS} من الجولات.

الشرير البذرة: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% من الصحة.

الشرير البرعم: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% من الهجوم {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% من الصحة.

الشرير الضخم المزدهر: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% من الصحة."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","يستدعي شرير بذرة كل جولة إلى عدو عشوائي. هذه المهارة الكامنة تنشط فقط مرة واحدة في الجولة لكل فريق.
يتطور الشرير البذرة ليصبح شريرًا برعمًا بعد {EVOLVINGFAMILIAR1EVOLVETURNS} من الجولات.
يتطور الشرير البرعم إلى شرير ضخم مزدهر بعد {EVOLVINGFAMILIAR2EVOLVETURNS} من الجولات.

الشرير البذرة: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% من الصحة.

الشرير البرعم: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% من الهجوم {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% من الصحة.

الشرير الضخم المزدهر: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% من الصحة."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","يستدعي شرير بذرة كل جولة إلى عدو عشوائي. هذه المهارة الكامنة تنشط فقط مرة واحدة في الجولة لكل فريق.
يتطور الشرير البذرة ليصبح شريرًا برعمًا بعد {EVOLVINGFAMILIAR1EVOLVETURNS} من الجولات.
يتطور الشرير البرعم إلى شرير ضخم مزدهر بعد {EVOLVINGFAMILIAR2EVOLVETURNS} من الجولات.
يتأخر تطور الأشرار بمقدار {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} من الجولات في كل مرة يمتصون بها الشفاء.

الشرير البذرة: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% من الصحة.

الشرير البرعم: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% من الهجوم {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% من الصحة.

الشرير الضخم المزدهر: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% من الصحة."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","يستدعي شرير بذرة كل جولة إلى عدو عشوائي. هذه المهارة الكامنة تنشط فقط مرة واحدة في الجولة لكل فريق.
يتطور الشرير البذرة ليصبح شريرًا برعمًا بعد {EVOLVINGFAMILIAR1EVOLVETURNS} من الجولات.
يتطور الشرير البرعم إلى شرير ضخم مزدهر بعد {EVOLVINGFAMILIAR2EVOLVETURNS} من الجولات.
يتأخر تطور الأشرار بمقدار {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} من الجولات في كل مرة يمتصون بها الشفاء.

الشرير البذرة: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% من الصحة.

الشرير البرعم: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% من الهجوم {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% من الصحة.

الشرير الضخم المزدهر: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% من الصحة."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","يستدعي شرير بذرة كل جولة إلى عدو عشوائي. هذه المهارة الكامنة تنشط فقط مرة واحدة في الجولة لكل فريق.
يتطور الشرير البذرة ليصبح شريرًا برعمًا بعد {EVOLVINGFAMILIAR1EVOLVETURNS} من الجولات.
يتطور الشرير البرعم إلى شرير ضخم مزدهر بعد {EVOLVINGFAMILIAR2EVOLVETURNS} من الجولات.
يتأخر تطور الأشرار بمقدار {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} من الجولات في كل مرة يمتصون بها الشفاء.

الشرير البذرة: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% من الصحة.

الشرير البرعم: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% من الهجوم {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% من الصحة.

الشرير الضخم المزدهر: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% من الهجوم، {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% من الصحة."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","عندما تتعرض هذه الشخصية للهزيمة، ستستدعي أتباع السلايم الضخام إلى الحلفاء المجاورين، بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}% مَوروثَين من هذه الشخصية."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","عندما تتعرض هذه الشخصية للهزيمة، ستستدعي أتباع السلايم الضخام إلى الحلفاء المجاورين، بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}% مَوروثَين من هذه الشخصية."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","عندما تتعرض هذه الشخصية للهزيمة، ستستدعي أتباع السلايم الضخام إلى الحلفاء المجاورين، بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}% مَوروثَين من هذه الشخصية."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","عندما تتعرض هذه الشخصية للهزيمة، ستستدعي أتباع السلايم الضخام إلى الحلفاء المجاورين، بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}% مَوروثَين من هذه الشخصية."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","عندما تتعرض هذه الشخصية للهزيمة، ستستدعي أتباع السلايم الضخام إلى الحلفاء المجاورين، بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}% مَوروثَين من هذه الشخصية."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","إن فقدت هذه الشخصية أكثر من {DAMAGETHRESHOLD}% من الصحة القصوى مرة واحدة، فستستدعي تابع السلايم الضخم لنفسها بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}%."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","إن فقدت هذه الشخصية أكثر من {DAMAGETHRESHOLD}% من الصحة القصوى مرة واحدة، فستستدعي تابع السلايم الضخم لنفسها بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}%."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","إن فقدت هذه الشخصية أكثر من {DAMAGETHRESHOLD}% من الصحة القصوى مرة واحدة، فستستدعي تابع السلايم الضخم لنفسها بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}%."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","إن فقدت هذه الشخصية أكثر من {DAMAGETHRESHOLD}% من الصحة القصوى مرة واحدة، فستستدعي تابع السلايم الضخم لنفسها بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}%."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","إن فقدت هذه الشخصية أكثر من {DAMAGETHRESHOLD}% من الصحة القصوى مرة واحدة، فستستدعي تابع السلايم الضخم لنفسها بصحة قدرها {FAMILIARHEALTHPERCENT}%، وهجوم قدره {FAMILIARATTACK}%."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","في كل مرة تتلقى هذه الشخصية حالة حرق مرضية، يستدعي تابع حارس غابة لنفسه. يرث تابع حارس الغابة {FAMILIARHEALTHPERCENT}% من نقاط الصحة و{FAMILIARATTACK}% من الهجوم من هذه الشخصية."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","في كل مرة تتلقى هذه الشخصية مرض الضرر بمرور الوقت، تستدعي تابع جندي البطاقة لنفسها. يرث تابع جندي البطاقة {FAMILIARHEALTHPERCENT}% من نقاط الصحة و{FAMILIARATTACK}% من الهجوم من هذه الشخصية."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","في كل مرة تتلقى هذه الشخصية حالة مرض تطال الدفاع، تستدعي تابع ثور لنفسه. يرث تابع الثور {FAMILIARHEALTHPERCENT}% من نقاط الصحة و{FAMILIARATTACK}% من الهجوم من هذه الشخصية."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","استدعاء تابع عصفور عندما يقوم العدو باستدعاء أي تابع؛ عن طريق مهارة خاصة."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","عندما يستدعي أحد الأعداء أي تابعين بواسطة مهارة خاصة، تستدعي هذه الشخصية شرير نبتةً ملعونةً لهذا العدو."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","عندما يستدعي أحد الأعداء أي أتباع باستخدام مهارة خاصة، تستدعي هذه الشخصية شرير بذرة لذلك العدو."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","إذا كان أي من الحلفاء يرقص عندما تُلقي هذه الشخصية مهارتها الخاصة، فسيعزز صحة كل الحلفاء بمقدار {HEALTHBOOST}. يمكن أن تتجاوز الصحة المعززة الحد الأقصى لنقاط الصحة."
"herocard.passive_skill.description.taunt","لا تتأثر المهارة الخاصة لهذه الشخصية بالاستهزاء."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","يتم إضعاف دروع الثلج الموجودة على اللوحة بدقة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","يتم إضعاف دروع الطبيعة الموجودة على اللوحة بدقة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","يتم إضعاف دروع الظلام الموجودة على اللوحة بدقة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","يتم إضعاف دروع النار الموجودة على اللوحة بدقة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","يتم إضعاف الدروع المقدسة الموجودة على اللوحة بدقة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","يتم تعزيز دروع الثلج الموجودة على اللوحة بفرصة تسديد ضربة حرجة بنسبة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","يتم تعزيز دروع الطبيعة الموجودة على اللوحة بفرصة تسديد ضربة حرجة بنسبة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","يتم تعزيز دروع الظلام الموجودة على اللوحة بفرصة تسديد ضربة حرجة بنسبة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","يتم تعزيز دروع النار الموجودة على اللوحة بفرصة تسديد ضربة حرجة بنسبة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","يتم تعزيز الدروع المقدسة الموجودة على اللوحة بفرصة تسديد ضربة حرجة بنسبة {MODIFIER}% عند تنفيذ هذه الشخصية لمهارتها الخاصة."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","في كل مرة تلقي هذه الشخصية مهارتها الخاصة، يتم تحويل جميع التعزيزات القابلة للتبديد التي تؤثر على الهجوم، والدفاع، وتوليد القوة على جميع الأعداء إلى حالة أمراض متطابقة غير قابلة للتبديد."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","في كل مرة تلقي هذه الشخصية مهارتها الخاصة، يتم تحويل جميع أمراض الحالات القابلة للتطهير التي تؤثر على الهجوم، والدفاع، وتوليد القوة لدى جميع الحلفاء إلى تعزيزات غير قابلة للتبديد."
"herocard.passive_skill.description.wither.all.enemies","ينخفض هجوم كل الأعداء ودفاعهم الأساسيان بمقدار {STATINCREASE} كل جولة لعدد {MAXACTIVATIONCOUNT} من الجولات."
"herocard.passive_skill.inactive","غير نشط: يجب الوصول إلى المستوى الأقصى والتصعيد الكامل للتفعيل."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","أمراض الهجوم إلى {ATTACK}% من الهجوم لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","أمراض الحالة المحصنة ضد التعزيزات إلى أمراض الحالة المنيعة لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","أمراض الدفاع إلى {DEFENSE}% من الدفاع لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","خفض القدرة العلاجية إلى {HEALING}% من العلاج المتزايد لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","تُحوَّل جميع أمراض القوة إلى {MANAREGEN}% من توليد القوة لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","مرض زيادة الضرر إلى {DAMAGEREDUCTION}% من خفض الضرر لمدة {TURNS}  من الجولات."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","تحويل أمراض عكس التعزيزات إلى تعزيزات عكس الأمراض لمدة {TURNS} من الجولات."
"herocard.passive_skill.replace_direct_effect.attackwither","تلف الهجوم إلى نمو الهجوم: {FIXEDPOWER} من القوة الهجومية."
"herocard.passive_skill.replace_direct_effect.defensewither","تلف الدفاع إلى نمو الدفاع: {FIXEDPOWER} من القوة الدفاعية."
"herocard.passive_skill.replace_direct_effect.dispel","تبديد التعزيزات إلى تطهير الحالات المرضية."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","الأشرار إلى أتباع أنيقين ({FAMILIARHEALTHPERCENT}% من الصحة، {FAMILIARATTACK}% من الهجوم)."
"herocard.passive_skill.replace_direct_effect.manareduction","خفض القوة إلى {POWER}% من القوة الإضافية."
"herocard.passive_skill.sidedependent.sideinfo.heroside","المهارة الخاملة كشخصية هجومية:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","المهارة الخاملة كشخصية دفاعية:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","تأثير الحالة على علاوة هجوم العدو"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","تأثير الحالة على علاوة دفاع العدو"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","تأثير الحالة على خفض القوة"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","القوة عند النزيف"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","الشفاء على النزيف"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","قوة عند الاحتراق"
"herocard.passive_skill.title.bypassfamiliars.minion","تجاوز الأتباع"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","تجاوز الأتباع الفائق"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","زيادة فترة تأثير الحالة"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","زخم التحليق"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","القوة أثناء التلف"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","إعادة الإحياء بمرور الوقت"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","قوة السيسو"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","جمال الداخل"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","جمال الداخل"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","المركز الذائب"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","المركز الذائب"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","المركز المُتلف"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","مركز القطب الشمالي"
"herocard.passive_skill.title.criticalmodifier","المعدّل الحاسم"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","المعدّل الحاسم"
"herocard.passive_skill.title.critmodifier","معدّل الفرصة الحاسمة"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","موسوم بواسطة القدماء"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","علامة دموية"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","الراقص الشرس"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","براعة القوات"
"herocard.passive_skill.title.debuffdamagereduction","تقليل ضرر الحالة المرضية"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","تقليل ضرر الحالة المرضية"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","المركز المدمر"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","التطهير عند موت التابع"
"herocard.passive_skill.title.dodgespecialdamage","ضرر تفادي الهجمات الخاصة"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","تراكم التأثيرات الخاصة"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","تدمير الأشرار ذوي المهارات الخاصة"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","كُلْ الأتباع واكتسب القوة بمرور الوقت"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","التطهير عند الهجوم الخاص للضربة الحرجة"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","تعزيز الصحة عند الهجوم الخاص للضربة الحرجة"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","التمرد الصالح"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","القوة عند استخدام الضرر الخاص"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","القوة عند تلقي الضرر"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","الضرر الناتج عن المهارة الخاصة وضرر الحماية"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","الهجوم المتراكم عند الضرر المتلقي"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","الهجوم المتراكم عند الضرر المتلقي"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","تعزيز الصحة عند محاولة الحليف للتطهير"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","الضرر الناتج عند محاولة العدو للتطهير"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","القوة على التبديد"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","القوة على تبديد العلاوة"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","تعافَ عند انتهاء مدة المرض، أو عند إزالته"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","تعزيز الصحة على تبديد العلاوة"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","الصقيع عند ضربة التابع"
"herocard.passive_skill.title.effectonheal.addmana","القوة المكتسبة من استعادة نقاط الصحة"
"herocard.passive_skill.title.effectonheal.heal","نقاط صحة إضافية عند استعادة الصحة"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","شفاء إضافي"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","تأثير الحالة على خفض القوة"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","تأثير الحالة على خفض القوة"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","تعزيز الصحة والقوة عند المقاومة"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","القوة عند إلقاء المهارة الخاصة المعززة للقوة"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","تعزيز الصحة عند تعزيز صحة العدو"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","التأثيرات على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","التطهير عند الهجوم الخاص للضربة الحرجة"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","تعزيز الصحة عند الهجوم الخاص للضربة الحرجة"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","تعزيز الصحة عند الهجوم الخاص للضربة الحرجة"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","تعزيز الصحة على مهارة العدو الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","القوة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","التبديد على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","التطهير على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.damage","الضرر الناتج عن المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.heal","استعادة الصحة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","تعزيز الصحة على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","تأثير الحالة في الشحن الكامل"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","النزف عند المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","اللعنة عند المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","الضرر بمرور الوقت على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","زيادة الضرر ضد الصحة المعززة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","الضرر بمرور الوقت على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","تأثير الحالة على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","السمّ على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","الهجوم بلا وعي عند إلقاء المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","الضرر بمرور الوقت على المهارة الخاصة"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","الضرر على مهارة العدو الخاصة"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","القوة عند الاستهزاء"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","القوة المكتسبة من علاوة دفاع العدو"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","تأثير الحالة على علاوة دفاع العدو"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","تأثير الحالة على علاوة هجوم العدو"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","القوة التي تم تلقيها على العلاوة"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","تلقي قوة في حالة المرض"
