"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.magic_becky_costume_gothic","ساحرة الشفق"
"heroes.name_fancy.magic_camilla","المصلحة السرية"
"heroes.name_fancy.magic_camilla_costume_flower","القزمة الزهرية"
"heroes.name_fancy.magic_carpet_agadh","قاتل السجادة السحرية"
"heroes.name_fancy.magic_carpet_amelia","الطيارة السحرية"
"heroes.name_fancy.magic_carpet_bart","متسابق السجاد السحري"
"heroes.name_fancy.magic_carpet_bertha","صانع السجاجيد السحرية"
"heroes.name_fancy.magic_carpet_crustee","عبقري المختبر السحري"
"heroes.name_fancy.magic_carpet_elyssa","نهم السجادة السحرية"
"heroes.name_fancy.magic_carpet_jwala","فتاة الحمم البركانية السحرية"
"heroes.name_fancy.magic_carpet_kesha","ساحرة الليل"
"heroes.name_fancy.magic_carpet_lando","فاتن السجادة السحرية"
"heroes.name_fancy.magic_carpet_lilli","السيدة القطة للسجادة السحرية"
"heroes.name_fancy.magic_carpet_manpip","طيار السجادة السحرية المتوتر"
"heroes.name_fancy.magic_carpet_naeem","متجول السجادة السحرية"
"heroes.name_fancy.magic_carpet_ragrim","عالم نبات السجاد السحري"
"heroes.name_fancy.magic_carpet_shareef","الساحر الذي لا يمكن إيقافه"
"heroes.name_fancy.magic_carpet_zazha","مصلح السجادة السحرية"
"heroes.name_fancy.magic_cristobal","بروفيسور التعاويذ"
"heroes.name_fancy.magic_cristobal_costume_emerald","أستاذ السحر"
"heroes.name_fancy.magic_dolgoon","أمين المكتبة المثقف"
"heroes.name_fancy.magic_jett","بشير التضحية"
"heroes.name_fancy.magic_jett_costume_eyes","نذير الحكم"
"heroes.name_fancy.magic_kornel","المراقِب المخضرم"
"heroes.name_fancy.magic_lucy","معجزة كرة الساحر"
"heroes.name_fancy.magic_milena","مُعلم الفنون الغامضة"
"heroes.name_fancy.magic_milena_costume_ice","مُعلم تعاويذ القطب الشمالي"
"heroes.name_fancy.magic_motega","السيد حارس الحديقة"
"heroes.name_fancy.magic_nadezhda","مدير البرج"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","مدير بريد البرج"
"heroes.name_fancy.magic_ray","بطل القصر"
"heroes.name_fancy.magic_ray_costume_spiky","بطل البرامبل"
"heroes.name_fancy.magic_roxia","عاشق الشخبطة القديمة"
"heroes.name_fancy.magic_sergei","تلميذ الغموض"
"heroes.name_fancy.magic_telonius","سينتور الغابات"
"heroes.name_fancy.magic_telonius_costume_brew","قِنطور قاعة الشراب"
"heroes.name_fancy.magic_ulius","ساحر الاختراعات الغريبة"
"heroes.name_fancy.magic_ulius_costume_buccaneer","القرصان الغامض الغريب"
"heroes.name_fancy.magic_vaishali","سيد الشطرنج الغامض"
"heroes.name_fancy.magic_vaishali_costume_chef","سيد الفطائر الغامض"
"heroes.name_fancy.magic_willow","سيدة الترفع"
"heroes.name_fancy.magitech_sniper","قناص التكنولوجيا السحرية"
"heroes.name_fancy.magitech_sniper_costume_cute","قناصة كرتون"
"heroes.name_fancy.magitech_sniper_costume_glass","القناص الزجاجي"
"heroes.name_fancy.magitech_sniper_costume_steampunk","قناص الستيم بانك"
"heroes.name_fancy.magitech_sniper_costume_undead","قناص الموتى الأحياء"
"heroes.name_fancy.mahayoddha_ali","فتى المهمات الموهوب"
"heroes.name_fancy.mahayoddha_bhima","ابن فايو"
"heroes.name_fancy.mahayoddha_bonga","صانع السلال"
"heroes.name_fancy.mahayoddha_chitrangada","أميرة مانيبورا المحاربة"
"heroes.name_fancy.mahayoddha_devyani","الأميرة المحاربة الشجاعة"
"heroes.name_fancy.mahayoddha_jyoti","راقصة شاري"
"heroes.name_fancy.mahayoddha_meenakshi","شاتشي جوز الهند"
"heroes.name_fancy.mahayoddha_rafeeq","السياسي الماهر"
"heroes.name_fancy.mahayoddha_ustad_anand","المؤدي الملكي"
"heroes.name_fancy.mahayoddha_veer","القاتل المتغطرس"
"heroes.name_fancy.masquerade_alessia","أحد أتباع اراديا"
"heroes.name_fancy.masquerade_aradia","سيدة السحر الملثمة"
"heroes.name_fancy.masquerade_carmenta","سيدة التعويذات المقنعة"
"heroes.name_fancy.masquerade_cel","سيدة الأرض المقنعة"
"heroes.name_fancy.masquerade_februus","سيد النقاء المقنع"
"heroes.name_fancy.masquerade_fortuna","سيدة المصير المقنعة"
"heroes.name_fancy.masquerade_fosco","تابع فيبروس"
"heroes.name_fancy.masquerade_jana","سيدة القمر الملثمة"
"heroes.name_fancy.masquerade_jove","سيد السماء المقنع"
"heroes.name_fancy.masquerade_umbria","سيدة الظلال المقنعة"
"heroes.name_fancy.mighty_pet_barkley","كلب الحرب"
"heroes.name_fancy.mighty_pet_bubbles","مقلد الفنون الوهمية"
"heroes.name_fancy.mighty_pet_chomper","بطل الهامستر الشجاع"
"heroes.name_fancy.mighty_pet_cinnamon","فارس الدائرة القطبية"
"heroes.name_fancy.mighty_pet_cupcake","قاطع الطريق صاحب المخالب"
"heroes.name_fancy.mighty_pet_furdinand","روفيان من رحلة الكلاب"
"heroes.name_fancy.mighty_pet_hachiko","جرو الولاء"
"heroes.name_fancy.mighty_pet_luna","بومة الهلال"
"heroes.name_fancy.mighty_pet_ribbit","مصارع مملكة الضفادع"
"heroes.name_fancy.mighty_pet_rufus","الحطَّاب الفرائي"
"heroes.name_fancy.mighty_pet_snowball","القط الضال صاحب المخالب"
"heroes.name_fancy.mighty_pet_toto","راوي القصص الكلبي"
"heroes.name_fancy.mighty_pet_waddles","قائد حرس البط"
"heroes.name_fancy.mimic_aether_blue","مخزون القضبان المستنزف"
"heroes.name_fancy.mimic_aether_green","مخزون القضبان المستنزف"
"heroes.name_fancy.mimic_aether_purple","مخزون القضبان المستنزف"
"heroes.name_fancy.mimic_aether_red","مخزون القضبان المستنزف"
"heroes.name_fancy.mimic_aether_yellow","مخزون القضبان المستنزف"
"heroes.name_fancy.mimic_ascension_epic_yellow","مخبأ الشر الباسم الأدنى"
"heroes.name_fancy.mimic_ascension_item_blue","مخبأ الشر الباسم"
"heroes.name_fancy.mimic_ascension_item_green","مخبأ الشر الباسم"
"heroes.name_fancy.mimic_ascension_item_purple","مخبأ الشر الباسم"
"heroes.name_fancy.mimic_ascension_item_red","مخبأ الشر الباسم"
"heroes.name_fancy.mimic_ascension_item_yellow","مخبأ الشر الباسم"
"heroes.name_fancy.mimic_emblem_blue","صندوق القفل المرعب ذو العين الواحدة"
"heroes.name_fancy.mimic_emblem_green","صندوق القفل المرعب ذو العين الواحدة"
"heroes.name_fancy.mimic_emblem_purple","صندوق القفل المرعب ذو العين الواحدة"
"heroes.name_fancy.mimic_emblem_red","صندوق القفل المرعب ذو العين الواحدة"
"heroes.name_fancy.mimic_emblem_yellow","صندوق القفل المرعب ذو العين الواحدة"
"heroes.name_fancy.mimic_experience_rare_red","كنز الأسنان الصغيرة"
"heroes.name_fancy.mimic_training_hero_blue","كنز الألف ناب"
"heroes.name_fancy.mimic_training_hero_green","كنز الألف ناب"
"heroes.name_fancy.mimic_training_hero_purple","كنز الألف ناب"
"heroes.name_fancy.mimic_training_hero_red","كنز الألف ناب"
"heroes.name_fancy.mimic_training_hero_yellow","كنز الألف ناب"
"heroes.name_fancy.mimic_troop_blue","هبة ترسانة المروع"
"heroes.name_fancy.mimic_troop_green","هبة ترسانة المروع"
"heroes.name_fancy.mimic_troop_purple","هبة ترسانة المروع"
"heroes.name_fancy.mimic_troop_red","هبة ترسانة المروع"
"heroes.name_fancy.mimic_troop_yellow","هبة ترسانة المروع"
"heroes.name_fancy.monster_hunter_adalinda","أميرة الصيد"
"heroes.name_fancy.monster_hunter_amund","المطارد العنيد"
"heroes.name_fancy.monster_hunter_basil","فأر الصيد"
"heroes.name_fancy.monster_hunter_berit","الملاكم بيريلاين"
"heroes.name_fancy.monster_hunter_bogart","صياد المستنقعات"
"heroes.name_fancy.monster_hunter_bonecrusher","زعيم الغورلايت فضية الظهر"
"heroes.name_fancy.monster_hunter_cedar","الشمبانزي بطل السلسلة"
"heroes.name_fancy.monster_hunter_cleaver","زعيم الصيد"
"heroes.name_fancy.monster_hunter_dabria","المشعوذ الصياد"
"heroes.name_fancy.monster_hunter_dawn","المنشد الصياد"
"heroes.name_fancy.monster_hunter_dubhain","سيد العواصف المختار"
"heroes.name_fancy.monster_hunter_ebba","المرتزق الصياد"
"heroes.name_fancy.monster_hunter_edelaide","رحال البرية"
"heroes.name_fancy.monster_hunter_fianna","صياد الغابة"
"heroes.name_fancy.monster_hunter_goretooth","الصياد الوحشي"
"heroes.name_fancy.monster_hunter_greel","المتعنتر الوحشي"
"heroes.name_fancy.monster_hunter_hammertusk","البربريّ الساحق القوي"
"heroes.name_fancy.monster_hunter_hawthorn","العامل الصياد"
"heroes.name_fancy.monster_hunter_hurricane","القرد القاتل"
"heroes.name_fancy.monster_hunter_kai","الفارس الصياد"
"heroes.name_fancy.monster_hunter_knuckles","المكاك الحارس"
"heroes.name_fancy.monster_hunter_maheegan","متتبع الذئاب"
"heroes.name_fancy.monster_hunter_malin","محارب عظام العملاق"
"heroes.name_fancy.monster_hunter_meadow","صيادة القبائل"
"heroes.name_fancy.monster_hunter_mistweaver","رجل الغاب المشاكس"
"heroes.name_fancy.monster_hunter_njal","صياد الرياح الشمالية"
"heroes.name_fancy.monster_hunter_numbskull","هيكل عظمي أخرق"
"heroes.name_fancy.monster_hunter_otis","الصائد سيد النصال"
"heroes.name_fancy.monster_hunter_revna","صيادة العقيق الأحمر"
"heroes.name_fancy.monster_hunter_ruadh","صائد الهاوية"
"heroes.name_fancy.monster_hunter_sigyn","مدربة العقارب"
"heroes.name_fancy.monster_hunter_sorcha","الصياد المثابر"
"heroes.name_fancy.monster_hunter_sorrow","الطيف الجليدي"
"heroes.name_fancy.monster_hunter_staintongue","الصياد العنيد"
"heroes.name_fancy.monster_hunter_sune","الصياد الملاكيت"
"heroes.name_fancy.monster_hunter_thunderclap","الغوريلا الغاضبة"
"heroes.name_fancy.monster_hunter_thura","صائدة باركتها النجوم"
"heroes.name_fancy.monster_hunter_tremor","البابون المبارز"
"heroes.name_fancy.monster_hunter_waterpipe","مهندس الرماح"
"heroes.name_fancy.moth_auricarc","قنّاص العث المحترف"
"heroes.name_fancy.moth_chimister","عثة المختبر"
"heroes.name_fancy.moth_chunkyroi","عثة نبيلة"
"heroes.name_fancy.moth_furgeant","جاغرموث"
"heroes.name_fancy.moth_gardered","العثة الجريئة"
"heroes.name_fancy.moth_grovevert","مُربي العثث"
"heroes.name_fancy.moth_joyvert","موسيقى موثوسو"
"heroes.name_fancy.moth_lilareine","العثة النبيلة"
"heroes.name_fancy.moth_limeboire","حارس العثة"
"heroes.name_fancy.moth_mortewitch","منقذ العثة"
"heroes.name_fancy.moth_pepperbleu","موسيقي العثث"
"heroes.name_fancy.moth_rosepetite","رسام العثة الصغير"
"heroes.name_fancy.moth_satinpimenter","عثة الإكليروس"
"heroes.name_fancy.moth_shyombre","عثة الظل"
"heroes.name_fancy.moth_tealmoine","عثة الضباب"
"heroes.name_fancy.musketeer_aramis","الفارس الرومانسي"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","الفارس بوالانجيه"
"heroes.name_fancy.musketeer_athos","الفارس المخضرم"
"heroes.name_fancy.musketeer_athos_costume_farrier","الفارس البيطار"
"heroes.name_fancy.musketeer_cardinal_richelieu","الدوق المنافق"
"heroes.name_fancy.musketeer_constance","الفارس الشجاع"
"heroes.name_fancy.musketeer_dartagnan","الفارس الحماسي"
"heroes.name_fancy.musketeer_dartagnan_costume_chimney_sweeper","منظف مداخن متحمس"
"heroes.name_fancy.musketeer_felton","القاتل الفاسد"
"heroes.name_fancy.musketeer_felton_costume_pirate","القرصان القاسي"
"heroes.name_fancy.musketeer_kitty","بائع الأزهار الودود"
"heroes.name_fancy.musketeer_kitty_costume_harvester","حاصد الفاكهة الودود"
"heroes.name_fancy.musketeer_milady_de_winter","الشرور المكيافيلية"
"heroes.name_fancy.musketeer_milady_de_winter_costume_herbalist","متخصص أعشاب المكيافيلية"
"heroes.name_fancy.musketeer_planchet","الخادم الشجاع"
"heroes.name_fancy.musketeer_planchet_costume_adventurer","المغامر الشجاع"
"heroes.name_fancy.musketeer_porthos","الفارس المبتهج"
"heroes.name_fancy.musketeer_porthos_costume_merchant","الفارس التاجر"
"heroes.name_fancy.musketeer_queen_anne","الحاكم الأنيق"
"heroes.name_fancy.musketeer_rochefort","الوغد المتوحش"
"heroes.name_fancy.musketeer_villiers","الدوق المغرور"
"heroes.name_fancy.musketeer_villiers_costume_jester","المهرّج المتعجرف"
"heroes.name_fancy.mystery_enigmo","لغز الاستدعاء"
"heroes.name_fancy.nature_god_balbar","الراهب النباتي"
"heroes.name_fancy.nature_god_bertila","الفارسة الخضراء"
"heroes.name_fancy.nature_god_bo_and_runt","قادة القطيع"
"heroes.name_fancy.nature_god_chloris","الروح الزهرية"
"heroes.name_fancy.nature_god_cinisia","ميلياي ووارمدج"
"heroes.name_fancy.nature_god_florenna","إيلافوسنتور الرشيق"
"heroes.name_fancy.nature_god_leadria","ملكة الربيع الأبدي"
"heroes.name_fancy.nature_god_liora","اللص المحسن"
"heroes.name_fancy.nature_god_mystia","الساحرة المذهلة"
"heroes.name_fancy.nature_god_silvaria","سيد الغابة"
"heroes.name_fancy.nature_god_viselus","كاهن بلايتووكر"
"heroes.name_fancy.ninja_amethyst","القاتل الخفي"
"heroes.name_fancy.ninja_ametrine","نينجا النصال المخبأة"
"heroes.name_fancy.ninja_aurum","كونويتشي متفائلة"
"heroes.name_fancy.ninja_azurite","توقعات النينجا"
"heroes.name_fancy.ninja_chikao","المهاجم الصامت"
"heroes.name_fancy.ninja_cobalt","نينجا البحار الهامسة"
"heroes.name_fancy.ninja_ekanite","قائد فرقة الشينوبي"
"heroes.name_fancy.ninja_garnet","نينجا الحيوية العالية"
"heroes.name_fancy.ninja_iga","سيد عاصفة الكوناي"
"heroes.name_fancy.ninja_ito","شينوبي مسيطر"
"heroes.name_fancy.ninja_jade","نينجا النجوم الراقصة"
"heroes.name_fancy.ninja_kinsaishi","راهب النينجا الرعدي"
"heroes.name_fancy.ninja_kushanku","قبضة الخداع"
"heroes.name_fancy.ninja_malum","شينوبي وحشي"
"heroes.name_fancy.ninja_mica","نينجا الصرخات الصامتة"
"heroes.name_fancy.ninja_morganite","نينجا الظلال المختفي"
"heroes.name_fancy.ninja_myoinni","أقوى بانر لورد"
"heroes.name_fancy.ninja_nomad","المنفذ الصامت"
"heroes.name_fancy.ninja_oniwakamaru","راهب الظلال ذو الـ 999 سيفًا"
"heroes.name_fancy.ninja_onyx","نينجا الرياح المراوغة"
"heroes.name_fancy.ninja_osamu","نينجا الانضباط الحديدي"
"heroes.name_fancy.ninja_peridot","نينجا السموم المميتة"
"heroes.name_fancy.ninja_quartz","نينجا القبور الهادئة"
"heroes.name_fancy.ninja_ruby","نينجا الشيطان الأحمر"
"heroes.name_fancy.ninja_sapphire","نينجا الظلام القافز"
"heroes.name_fancy.ninja_satsui","كونويتشي غامضة"
"heroes.name_fancy.ninja_sawano","كونويتشي وفية"
"heroes.name_fancy.ninja_serandite","نينجا اللهيب الثاقب"
"heroes.name_fancy.ninja_shale","نينجا القوة الطائرة"
"heroes.name_fancy.ninja_tametomo","مخرب القوس العظيم"
"heroes.name_fancy.ninja_topaz","نينجا الدقة الفائقة"
"heroes.name_fancy.ninja_tora","الصيادة الصامتة"
"heroes.name_fancy.ninja_umeko","نينجا زهرة السم"
"heroes.name_fancy.ninja_zircon","نينجا الأمواج الهادئة"
"heroes.name_fancy.nomad_axe_adventurer","صائد المكافآت الشجاع"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","صائد مكافآت كرتوني"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","صائد المكافآت الزجاجي"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","صائد المكافآت الشرس"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","المتتبع الشجاع"
"heroes.name_fancy.nomad_female_archer","ناصب الفخ الموهوب"
"heroes.name_fancy.nomad_female_assassin","مداهم من بحر الرمال"
"heroes.name_fancy.nomad_female_assassin_costume_cute","مهاجمة من البحر الكرتوني"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","الراقصة من بحر الرمال"
"heroes.name_fancy.nomad_female_assassin_costume_glass","مداهم من بحر الزجاج"
"heroes.name_fancy.nomad_female_assassin_costume_poison","قاتل من بحر الرمال"
"heroes.name_fancy.nomad_female_berserker","كاهنة دراغونيا"
"heroes.name_fancy.nomad_female_berserker_costume_cute","داغونيا كرتونية"
"heroes.name_fancy.nomad_female_berserker_costume_glass","فيتريل دراغونيا"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","شامان دراغونيا"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","ساحرة دراغونيا"
"heroes.name_fancy.nomad_female_captain","سيدة وينديمير"
"heroes.name_fancy.nomad_female_captain_costume_cute","كرتون وينديمير"
"heroes.name_fancy.nomad_female_captain_costume_glass","فيتريل وينديمير"
"heroes.name_fancy.nomad_female_captain_costume_pirate","رعب وينديمير"
"heroes.name_fancy.nomad_female_captain_costume_stylish","سيدة وينديمير الأنيقة"
"heroes.name_fancy.nomad_female_captain_costume_thief","اللص البارع من وينديمير"
"heroes.name_fancy.nomad_female_lord","كابتن الحرس الملكي"
"heroes.name_fancy.nomad_female_lord_costume_cute","قائد الحرس الملكي الكرتوني"
"heroes.name_fancy.nomad_female_lord_costume_flame","قبطان النار"
"heroes.name_fancy.nomad_female_lord_costume_glass","قائد الحرس الزجاجي"
"heroes.name_fancy.nomad_female_lord_costume_wicked","كابتن الأشرار"
"heroes.name_fancy.nomad_female_shaman","الشامان الصاعد"
"heroes.name_fancy.nomad_female_shaman_costume_cute","الكرتوني الصاعد"
"heroes.name_fancy.nomad_female_shaman_costume_glass","فيتريل المُصعدة"
"heroes.name_fancy.nomad_female_shaman_costume_native","المداوي الصاعد"
"heroes.name_fancy.nomad_female_swordmaster","الساعي للعرش"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","باحثة كرتون"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","الباحثة عن الزجاج"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","الباحثة عن الآلهة"
"heroes.name_fancy.nomad_female_thief","الشاب المسافر"
"heroes.name_fancy.nomad_fighter","المشاكس الرث"
"heroes.name_fancy.nomad_mage","ساحر بحر الرمال"
"heroes.name_fancy.nomad_mage_costume_cute","ساحر بحر الكرتون"
"heroes.name_fancy.nomad_mage_costume_glass","رحالة من بحر الزجاج"
"heroes.name_fancy.nomad_mage_costume_goggles","ساحر من بحر الرمال"
"heroes.name_fancy.nomad_mage_costume_stylish","الساحر الأنيق"
"heroes.name_fancy.nomad_scout","المرتزق الخبيث"
"heroes.name_fancy.nomad_shaman","خادم القدماء"
"heroes.name_fancy.nordic_ancestral_warrior","يتيم الظلام"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","وريث الشر"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","كرتون الظلام"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","فيتريل الظلام"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","رسول الظلام"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","وريث الأناقة الشريرة"
"heroes.name_fancy.nordic_chained_werewolf","المفترس"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","كرتون المفترس"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","الزجاج الشرس"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","لص الثوم"
"heroes.name_fancy.nordic_female_scout","الشابة الشرسة"
"heroes.name_fancy.nordic_female_warrior","المحارب المنفي"
"heroes.name_fancy.nordic_ice_enchantress","حامي غلاسهولم"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","ساحرة ثلج غلاسهولم"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","حامي الشخصيات الكرتونية"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","فيتريل غلاسهولم"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","حاكم غلاسهولم"
"heroes.name_fancy.nordic_mage","ساحر غلاسهولم"
"heroes.name_fancy.nordic_mage_costume_cute","شخصية غلاسهولم الكرتونية"
"heroes.name_fancy.nordic_mage_costume_glass","فيتريل غلاسهولم"
"heroes.name_fancy.nordic_mage_costume_hermit","راهب غلاسهولم"
"heroes.name_fancy.nordic_male_lord","مطرقة العدل"
"heroes.name_fancy.nordic_male_lord_costume_cute","مطرقة القوة الكرتونية"
"heroes.name_fancy.nordic_male_lord_costume_glass","مطرقة الزجاج"
"heroes.name_fancy.nordic_male_lord_costume_injustice","مطرقة الظلم"
"heroes.name_fancy.nordic_male_lord_costume_senior","فأس العدالة"
"heroes.name_fancy.nordic_male_lord_costume_stylish","نصير الأناقة"
"heroes.name_fancy.nordic_swordman","المبارز اللعوب"
"heroes.name_fancy.nordic_swordman_costume_climber","المتسلق الأنيق"
"heroes.name_fancy.nordic_swordman_costume_cute","الكرتون الموهوب"
"heroes.name_fancy.nordic_swordman_costume_glass","المبارز الزجاجي"
"heroes.name_fancy.nordic_swordman_costume_stylish","المبارز الأنيق"
"heroes.name_fancy.nordic_warrior","المغامر المبتهج"
"heroes.name_fancy.orc_gladiator","المصمم"
"heroes.name_fancy.orc_gladiator_costume_chef","القائد الحديدي"
"heroes.name_fancy.orc_gladiator_costume_cute","الكرتون الصامد"
"heroes.name_fancy.orc_gladiator_costume_glass","العاكس"
"heroes.name_fancy.orc_gladiator_costume_sage","الحكيم الوحشي"
"heroes.name_fancy.orc_gladiator_costume_stylish","الخيالي"
"heroes.name_fancy.orc_skirmisher","المقاتل الهجين"
"heroes.name_fancy.orc_troopmaster","الجائع"
"heroes.name_fancy.orc_troopmaster_costume_cute","الكرتوني الجائع"
"heroes.name_fancy.orc_troopmaster_costume_glass","فيتريل الجائع"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","الأبيقوري"
"heroes.name_fancy.orc_troopmaster_costume_merchant","الطامع"
"heroes.name_fancy.orc_warrior","الأول في المعركة"
"heroes.name_fancy.orc_warrior_costume_cute","أول شخصية كرتونية في المعركة"
"heroes.name_fancy.orc_warrior_costume_glass","آخر من يتحطم"
"heroes.name_fancy.orc_warrior_costume_urukhai","آخر المنسحبين"
"heroes.name_fancy.oriental_brawler","المدافع النبيل"
"heroes.name_fancy.oriental_brawler_costume_cute","كرتون المشاكس"
"heroes.name_fancy.oriental_brawler_costume_egypt","المشاكس النبيل"
"heroes.name_fancy.oriental_brawler_costume_glass","مقاتل الزجاج"
"heroes.name_fancy.oriental_enchanted_monk","شعلة الشمس"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","كرتون الشمس"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","فيتريل الشمس"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","قوة الشمس"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","غضب الشمس"
"heroes.name_fancy.oriental_falconer","الخبير التكتيكي"
"heroes.name_fancy.oriental_falconer_costume_cub","سيد النمور"
"heroes.name_fancy.oriental_falconer_costume_cute","التكتيكي الكرتوني"
"heroes.name_fancy.oriental_falconer_costume_dodo","الحارس المعلم"
"heroes.name_fancy.oriental_falconer_costume_glass","الخبير الإستراتيجي الزجاجي"
"heroes.name_fancy.oriental_female_guard","حارس شاغاد الجوّال"
"heroes.name_fancy.oriental_female_guard_costume_cute","كرتونية شاغاد"
"heroes.name_fancy.oriental_female_guard_costume_glass","فيتريل من شاغاد"
"heroes.name_fancy.oriental_female_guard_costume_soldier","حارس شاغادي"
"heroes.name_fancy.oriental_female_mage","الشافي الغيريّ"
"heroes.name_fancy.oriental_female_mage_costume_cute","الشافية الكرتونية"
"heroes.name_fancy.oriental_female_mage_costume_glass","المعالج الزجاجي"
"heroes.name_fancy.oriental_female_mage_costume_mender","المصلح الشجاع"
"heroes.name_fancy.oriental_female_mage_costume_stylish","معالج عصري"
"heroes.name_fancy.oriental_female_mystic","العالمة العظمى"
"heroes.name_fancy.oriental_female_mystic_costume_cute","الباحثة الكرتونية"
"heroes.name_fancy.oriental_female_mystic_costume_glass","خبيرة الزجاج"
"heroes.name_fancy.oriental_female_mystic_costume_magician","الساحرة العظمى"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","الكاتبة العليا"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","العالِم الأنيق"
"heroes.name_fancy.oriental_female_ninja","تلميذ النينجا"
"heroes.name_fancy.oriental_female_templar","الجنرال الحكيم"
"heroes.name_fancy.oriental_female_templar_costume_cute","الجنرالة الكرتونية"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","جنرال الألعاب النارية"
"heroes.name_fancy.oriental_female_templar_costume_glass","الزجاج العام"
"heroes.name_fancy.oriental_female_templar_costume_kimono","القاتل الاحتفالي"
"heroes.name_fancy.oriental_female_templar_costume_stylish","جنرال عصري"
"heroes.name_fancy.oriental_monkey_captain","سيد القردة"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","القرد الكرتوني"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","القرد الزجاجي"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","القرد المحتفل"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","الرونين القرد"
"heroes.name_fancy.oriental_monkey_warrior","القرد المحارب"
"heroes.name_fancy.oriental_panda_berserker","غصن البامبو"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","الفرع الكرتوني"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","جذر البامبو"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","فرع من الزجاج"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","بامبو نابض بالحياة"
"heroes.name_fancy.oriental_panda_scout","ورقة البامبو"
"heroes.name_fancy.oriental_panda_warrior","نصل البامبو"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","لحاء البامبو"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","كرتوني البامبو"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","مبارز البامبو"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","نصل الزجاج"
"heroes.name_fancy.oriental_squire","الحداد المبتدئ"
"heroes.name_fancy.oriental_warrior","جندي من المشاة"
"heroes.name_fancy.oriental_warrior_king","الملك المتصلب"
"heroes.name_fancy.oriental_warrior_king_costume_cute","الكرتون العنيد"
"heroes.name_fancy.oriental_warrior_king_costume_glass","فيتريل عتيد"
"heroes.name_fancy.oriental_warrior_king_costume_mage","الساحر العنيد"
"heroes.name_fancy.oriental_warrior_king_costume_roman","ملك إسبرطة"
"heroes.name_fancy.oriental_warrior_king_costume_stylish","ملك الأسلوب"
"heroes.name_fancy.outlaw_chao_gai","ملك المعبد السماوي المتحول من حافة الماء"
"heroes.name_fancy.outlaw_gu_dasao","أنثى النمر من حافة الماء"
"heroes.name_fancy.outlaw_hu_sanniang","النجمة الساطعة من حافة الماء"
"heroes.name_fancy.outlaw_li_kui","الثور الحديدي من حافة الماء"
"heroes.name_fancy.outlaw_lin_chong","رأس الفهد من حافة الماء"
"heroes.name_fancy.outlaw_liu_tang","الشيطان أحمر الشعر من حافة الماء"
"heroes.name_fancy.outlaw_lu_zhishen","راهب الزهور من حافة الماء"
"heroes.name_fancy.outlaw_ruan_xiaoqi","نجم الدمار من حافة الماء"
"heroes.name_fancy.outlaw_shi_jin","وشوم التنين التسعة من حافة الماء"
"heroes.name_fancy.outlaw_song_jiang","مطر الوقت المناسب من حافة الماء"
"heroes.name_fancy.outlaw_sun_erniang","النجمة القوية من حافة الماء"
