"herocard.passive_skill.description.addmana.all.allies","Tüm müttefikler küçük bir miktar mana kazanırlar."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Savunmayı azaltan durum engelleri, bu düşmana karşı %{MODIFIER} daha az etkilidir."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Savunmayı artıran durum efektleri bu karakter için %{MODIFIER} daha etkilidir."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Savunmayı azaltan durum engelleri, bu düşmana karşı %{MODIFIER} daha az etkilidir."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Bu karakterin, Özel Yeteneklerden aldığı ilk {MAXACTIVATIONCOUNT} durum engelinin süresi, {DURATIONMODIFIER} tur azaltılır."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Bu karakterin, Özel Yeteneklerden aldığı savunma durum engelinin süresi, {DURATIONMODIFIER} tur azaltılır."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Bu karakterin, Özel Yeteneklerden aldığı ilk {MAXACTIVATIONCOUNT} buff'ın süresi, {DURATIONMODIFIER} tur artırılır."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Bu kahramandan bir durum engeli arındırılınca arındırılan engelin yeni bir kopyası, rastgele bir düşmana uygulanır."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Bu Yaratık her Özel Yetenek kullandığında tüm müttefikler Yumuşak Deri alır. {MAXACTIVATIONS} defa daha hasar aldıklarında %{DAMAGEREDUCTION} azaltılır. Ayrıca tüm durum engellerine, mana azaltmalarına ve Deliliğe karşı bağışıklıkları bulunur. Bu efekt bozulamaz."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Bu Yaratık her Özel Yetenek kullandığında müttefiklerin Yumuşak Derisi etkinleşir. {MAXACTIVATIONS} defa daha hasar aldığında %{DAMAGEREDUCTION} azaltılır. Ayrıca tüm durum engellerine, mana azaltmalarına ve Deliliğe karşı bağışıklıkları bulunur. Bu efekt bozulamaz."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Bu Yaratık her Özel Yetenek uyguladığında Taş Derisi sertleşir. Sonraki {MAXHITS} defa, aldığı hasar 1'e düşürülür. Bu efekt bozulamaz."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Bu karakter, Özel Yeteneğini kullandığında rastgele bir düşmanı {TURNS} tur boyunca Av Alevi ile işaretler.
 Av Alevi ile işaretlenen bir hedef, kritik bir darbe aldığında {FIXEDPOWER} ilave hasar alır."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Bu karakter Özel Yeteneğini uyguladığında {TURNS} tur boyunca %{ATTACK} saldırı alır. Bu efekt, saldırıyı değiştiren diğer efektlere ek olarak aktif olabilir."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Her savaşta bir defa, bu Kahramanın elementi, {TURNS} tur boyunca istediğin Elementle değiştirilebilir. Elementi, manası dolu olmadığında Kahramana dokunarak değiştirebilirsin."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Her tur rastgele bir düşmana bir Fide Canavarı çağırır.
Fide Canavarı {EVOLVINGFAMILIAR1EVOLVETURNS} tur sonra bir Filiz Canavarına evrilir.
Filiz Canavarı {EVOLVINGFAMILIAR2EVOLVETURNS} tur sonra bir Çiçek Açan Mega Canavara evrilir.

Fide Canavarı: 
%{EVOLVINGFAMILIAR1ATTACK} saldırı, %{EVOLVINGFAMILIAR1HEALTH} sağlık.

Filiz Canavarı: 
%{EVOLVINGFAMILIAR2ATTACK} saldırı, %{EVOLVINGFAMILIAR2HEALTH} sağlık.

Çiçek Açan Mega Canavar: 
%{EVOLVINGFAMILIAR3ATTACK} saldırı, %{EVOLVINGFAMILIAR3HEALTH} sağlık."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Her tur rastgele bir düşmana bir Fide Canavarı çağırır. Bu Pasif Yetenek, her takım için her turda yalnızca bir defa etkinleştirilebilir.
Fide Canavarı {EVOLVINGFAMILIAR1EVOLVETURNS} tur sonra bir Filiz Canavarına evrilir.
Filiz Canavarı {EVOLVINGFAMILIAR2EVOLVETURNS} tur sonra bir Çiçek Açan Mega Canavara evrilir.

Fide Canavarı: 
%{EVOLVINGFAMILIAR1ATTACK} saldırı, %{EVOLVINGFAMILIAR1HEALTH} sağlık.

Filiz Canavarı: 
%{EVOLVINGFAMILIAR2ATTACK} saldırı, %{EVOLVINGFAMILIAR2HEALTH} sağlık.

Çiçek Açan Mega Canavar: 
%{EVOLVINGFAMILIAR3ATTACK} saldırı, %{EVOLVINGFAMILIAR3HEALTH} sağlık."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Her tur rastgele bir düşmana bir Fide Canavarı çağırır. Bu Pasif Yetenek, her takım için her turda yalnızca bir defa etkinleştirilebilir.
Fide Canavarı {EVOLVINGFAMILIAR1EVOLVETURNS} tur sonra bir Filiz Canavarına evrilir.
Filiz Canavarı {EVOLVINGFAMILIAR2EVOLVETURNS} tur sonra bir Çiçek Açan Mega Canavara evrilir.
Canavarlar her şifa emdiklerinde evrilmeleri {EVOLVINGFAMILIAR1TURNSDELAY} tur gecikir.

Fide Canavarı: 
%{EVOLVINGFAMILIAR1ATTACK} saldırı, %{EVOLVINGFAMILIAR1HEALTH} sağlık.

Filiz Canavarı: 
%{EVOLVINGFAMILIAR2ATTACK} saldırı, %{EVOLVINGFAMILIAR2HEALTH} sağlık.

Çiçek Açan Mega Canavar: 
%{EVOLVINGFAMILIAR3ATTACK} saldırı, %{EVOLVINGFAMILIAR3HEALTH} sağlık."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Bu karakter yenildiğinde yakındaki müttefiklere bu karakterden devralınan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip Balçık Mega Hizmetkarları çağırır."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Bu karakter yenildiğinde yakındaki müttefiklere bu karakterden devralınan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip Balçık Mega Hizmetkarları çağırır."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Bu karakter yenildiğinde yakındaki müttefiklere bu karakterden devralınan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip Balçık Mega Hizmetkarları çağırır."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Bu karakter yenildiğinde yakındaki müttefiklere bu karakterden devralınan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip Balçık Mega Hizmetkarları çağırır."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Bu karakter yenildiğinde yakındaki müttefiklere bu karakterden devralınan %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip Balçık Mega Hizmetkarları çağırır."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Bu karakter bir defada maks. sağlığının %{DAMAGETHRESHOLD} kadarından daha fazlasını kaybederse kendisine %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Balçık Mega Hizmetkarı çağırır."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Bu karakter bir defada maks. sağlığının %{DAMAGETHRESHOLD} kadarından daha fazlasını kaybederse kendisine %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Balçık Mega Hizmetkarı çağırır."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Bu karakter bir defada maks. sağlığının %{DAMAGETHRESHOLD} kadarından daha fazlasını kaybederse kendisine %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Balçık Mega Hizmetkarı çağırır."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Bu karakter bir defada maks. sağlığının %{DAMAGETHRESHOLD} kadarından daha fazlasını kaybederse kendisine %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Balçık Mega Hizmetkarı çağırır."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Bu karakter bir defada maks. sağlığının %{DAMAGETHRESHOLD} kadarından daha fazlasını kaybederse kendisine %{FAMILIARHEALTHPERCENT} SP'ye ve %{FAMILIARATTACK} saldırıya sahip bir Balçık Mega Hizmetkarı çağırır."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Bu karakter her Yakma durum engeli aldığında kendisi için bir Orman Muhafızı Hizmetkar çağırır. Orman Muhafızı Hizmetkar, bu karakterden %{FAMILIARHEALTHPERCENT} SP ve %{FAMILIARATTACK} saldırı alır."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Bu karakter her Zamanla Hasar durum engeli aldığında kendisi için bir Kart Askeri Hizmetkarı çağırır. Kart Askeri Hizmetkarı, bu karakterden %{FAMILIARHEALTHPERCENT} SP ve %{FAMILIARATTACK} saldırı devralır."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Bu karakter her savunmasını etkileyen bir durum engeli aldığında kendisi için bir Boğa Hizmetkar çağırır. Boğa Hizmetkar, bu karakterden %{FAMILIARHEALTHPERCENT} SP ve %{FAMILIARATTACK} saldırı alır."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Düşman, Özel Yetenek ile herhangi bir Hizmetkar çağırınca kendi için bir Serçe Hizmetkar çağırır."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Bir düşman, bir Özel Yetenekle herhangi bir Hizmetkarı çağırırsa bu karakter, o düşman için bir Lanetli Fidan Canavarı çağırır."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Bir düşman, bir Özel Yetenekle herhangi bir Hizmetkarı çağırırsa bu karakter, o düşman için bir Fide Canavarı çağırır."
"herocard.passive_skill.description.taunt","Bu karakterin Özel Yeteneği, Alaydan etkilenmez."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Bu karakter, Özel Yeteneğini uyguladığında panodaki Buz kalkanları %{MODIFIER} isabetlilikle zayıflar."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Bu karakter, Özel Yeteneğini uyguladığında panodaki Doğa kalkanları %{MODIFIER} isabetlilikle zayıflar."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Bu karakter, Özel Yeteneğini uyguladığında panodaki Karanlık kalkanları %{MODIFIER} isabetlilikle zayıflar."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Bu karakter, Özel Yeteneğini uyguladığında panodaki Ateş kalkanları %{MODIFIER} isabetlilikle zayıflar."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Bu karakter, Özel Yeteneğini uyguladığında panodaki Kutsal kalkanları %{MODIFIER} isabetlilikle zayıflar."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Bu karakter, Özel Yeteneğini uyguladığında panodaki Buz kalkanları %{MODIFIER} kritik şansı ile güçlenir."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Bu karakter, Özel Yeteneğini uyguladığında panodaki Doğa kalkanları %{MODIFIER} kritik şansı ile güçlenir."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Bu karakter, Özel Yeteneğini uyguladığında panodaki Karanlık kalkanları %{MODIFIER} kritik şansı ile güçlenir."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Bu karakter, Özel Yeteneğini uyguladığında panodaki Ateş kalkanları %{MODIFIER} kritik şansı ile güçlenir."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Bu karakter, Özel Yeteneğini uyguladığında panodaki Kutsal kalkanları %{MODIFIER} kritik şansı ile güçlenir."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Karakter, Özel Yeteneğini her uyguladığında tüm düşmanlardaki saldırı, savunma ve mana üretimini etkileyen tüm bozulabilir buff'lar uyumlu bozulamaz durum engellerine dönüştürülür.

Dönüştürülen efektler: 
Saldırı buff'ları {STATUSEFFECT1TURNS} tur boyunca %{STATUSEFFECT1ATTACK} saldırı durum engellerine dönüştürülür.
Savunma buff'ları {STATUSEFFECT2TURNS} tur boyunca %{STATUSEFFECT2DEFENSE} savunma durum engellerine dönüştürülür.
Mana üretimi buff'ları {STATUSEFFECT3TURNS} tur boyunca %{STATUSEFFECT3MANAREGEN} mana üretimi durum engellerine dönüştürülür."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Karakter, Özel Yeteneğini her uyguladığında tüm düşmanlardaki saldırı, savunma ve mana üretimini etkileyen tüm arındırılabilir buff'lar uyumlu arındırılamaz buff'lara dönüştürülür.

Dönüştürülen efektler: 
Saldırı durum engelleri {STATUSEFFECT1TURNS} tur boyunca %{STATUSEFFECT1ATTACK} saldırı buff'ına dönüştürülür.
Savunma durum engelleri {STATUSEFFECT2TURNS} tur boyunca %{STATUSEFFECT2DEFENSE} savunma buff'ına dönüştürülür.
Mana üretimi durum engelleri {STATUSEFFECT3TURNS} tur boyunca %{STATUSEFFECT3MANAREGEN} mana üretimi buff'ına dönüştürülür."
"herocard.passive_skill.description.wither.all.enemies","Tüm düşmanların temel saldırısı ve temel savunması {MAXACTIVATIONCOUNT} tur boyunca her turda {STATINCREASE} azalır."
"herocard.passive_skill.inactive","AKTİF DEĞİL: Etkinleştirmek için maks. seviyeye ve tam yükselişe ulaş."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","{TURNS} tur boyunca %{ATTACK} saldırıya saldırı engelleri."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","{TURNS} tur boyunca engellere bağışıklığa buff bağışıklık engelleri."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","{TURNS} tur boyunca %{DEFENSE} savunmaya savunma engelleri."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","%{HEALING} artırılmış şifaya {TURNS} tur boyunca şifa azaltmaları."
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","{TURNS} tur boyunca %{MANAREGEN} mana üretimine mana üretimi engelleri."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","{TURNS} tur boyunca %{DAMAGEREDUCTION} hasar azaltmaya hasar azaltma engelleri."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","{TURNS} tur boyunca engelleri yansıtan buff'lara buff yansıtma engelleri."
"herocard.passive_skill.replace_direct_effect.attackwither","Saldırı Soldurması: {FIXEDPOWER} saldırıya Saldırı Büyümesi."
"herocard.passive_skill.replace_direct_effect.defensewither","Savunma Soldurması: {FIXEDPOWER} savunmaya Savunma Büyümesi."
"herocard.passive_skill.replace_direct_effect.dispel","Engel arındırmalarına buff bozmaları."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Şık Hizmetkarlara Canavarlar (%{FAMILIARHEALTHPERCENT} SP, %{FAMILIARATTACK} saldırı)."
"herocard.passive_skill.replace_direct_effect.manareduction","%{POWER} mana artışına mana azaltmaları."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Saldıran karakterde Pasif Yetenek:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Savunan karakterde Pasif Yetenek:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Düşman Saldırı Buff'ında Durum Efekti"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Düşman Savunma Buff'ında Durum Efekti"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Mana Azaltmasında Durum Efekti"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Kanamada Mana"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Kanamada Şifa"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Yakmada Mana"
"herocard.passive_skill.title.bypassfamiliars.minion","Hizmetkarları Atlat"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Üstün Hizmetkar Atlatıcı"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Artırılmış Durum Efekti Süresi"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Uçuş İvmesi"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Soldurma Sırasında Mana"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Zaman İçinde Dirilt"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Sisu'nun Gücü"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","İç Güzellik"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","İç Güzellik"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Eriyik Merkez"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Eriyik Merkez"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Yıpratıcı Merkez"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Kutup Merkezi"
"herocard.passive_skill.title.criticalmodifier","Kritik Düzenleyici"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Kritik Düzenleyici"
"herocard.passive_skill.title.critmodifier","Kritik Şansı Düzenleyici"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Eskiler Tarafından Damgalanmış"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Kan Kırmızısı İşaret"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Birlik Ustalığı"
"herocard.passive_skill.title.debuffdamagereduction","Durum Engeli Hasar Azaltması"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Durum Engeli Hasar Azaltması"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Yıkıcı Merkez"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Hizmetkar Ölümünde arınma"
"herocard.passive_skill.title.dodgespecialdamage","Özel Hasarı Atlat"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Özel Yetenekte İstif"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Özel Yetenekle Canavarları Yok Et"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Hizmetkar Ye ve Zaman İçinde Mana Kazan"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Kritik Özel Saldırıda Arındırma"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Kritik Özel Saldırıda Sağlık Artışı"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Meşru İsyan"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Özel Hasarda Mana"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Alınan Hasarda Mana"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Özel Yetenekte ve Koruma Hasarında Hasar"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Alınan Hasarda Saldırı İstifleme"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Alınan Hasarda Saldırı İstifleme"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Müttefik Arındırmaya Çalışınca Sağlık Artışı"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Düşman Arındırmaya Çalışınca Hasar"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Bozmada Mana"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Buff Bozmasında Mana"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Durum Engelinin Süresi Dolduğunda veya Temizlendiğinde Şifa"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Buff Bozmada Sağlık Artışı"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Hizmetkar Vuruşunda Dondurma"
"herocard.passive_skill.title.effectonheal.addmana","Sağlık Yenilemede Mana"
"herocard.passive_skill.title.effectonheal.heal","Sağlık Yenilemede Ekstra Sağlık"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Ekstra ŞİFA"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Mana Azaltmasında Durum Efekti"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Mana Azaltmasında Durum Efekti"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Dirençte Sağlık Artışı ve Mana"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Sağlık Artıran Özel Yetenekte Mana"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Düşman Sağlık Artışında Sağlık Artışı"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Özel Yetenekteki Etkiler"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Kritik Özel Saldırıda Arındırma"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Kritik Özel Saldırıda Sağlık Artışı"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Kritik Özel Saldırıda Sağlık Artışı"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Düşman Özel Uyguladığında Sağlık Artır"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Özel Uygulandığında Mana"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Özel Yetenekte Bozma"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Özel Yetenekte Arındırma"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Özel Uygulandığında Hasar"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Özel Uygulandığında Sağlık Yenileme"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Özel Yetenekte Sağlık Artışı"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Özel Uygulandığında Durum Efekti"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Özel Yetenekte Kanama"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Özel Yetenekte Lanet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Özel Yetenekte Zamanla Hasar"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Artırılmış Sağlığa Karşı Artırılmış Hasar"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Özel Yetenekte Zamanla Hasar"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Özel Yetenekte Durum Efekti"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Özel Yetenekte Zehir"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Özel Yetenekte Akılsız Saldırı"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Özel Yetenekte Zamanla Hasar"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Düşman Özel Yeteneğinde Hasar"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Alayda Mana"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Düşman Savunması Buff'ında Mana"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Düşman Savunma Buff'ında Durum Efekti"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Düşman Saldırı Buff'ında Durum Efekti"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Buff'ta Mana Alındı"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Alınan Durum Engelinde Mana"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Alınan Buff'da Sağlık Yenileme"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Alınan Durum Engelinde Sağlık Yenileme"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Alınan Durum Engelinde Mana Buff'ı"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Buff'ta Mana Alındı"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Alınan Buff'da Sağlık Yenileme"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Durum Efekti Kaldırınca Sağlık Artışı"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Durum Efekti Kaldırınca Hasar"
"herocard.passive_skill.title.effectovertime.revival","Zaman İçinde Dirilt"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Düşman Buff'ı başına Mana"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Zehirde Sağlık Artırma"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Hizmetkar çağrısında mana"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Tanıdıkların Arkadaşı"
