"herocard.passive_skill.description.addmana.all.allies","Alle bondgenoten krijgen er een kleine hoeveelheid mana bij."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Roept elke beurt een [#!]zaailingdemon[#] aan voor een willekeurige vijand. Deze passieve vaardigheid wordt slechts één keer per beurt per team geactiveerd
[*]De [#!]zaailingdemon[#] ontwikkelt zich tot een [#!]scheutdemon[#] na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
[*]De [#!]scheutdemon[#] ontwikkelt zich tot een [#!]bloesemmegademon[#] na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.
[*]Elke keer dat demonen gezondheid absorberen, wordt hun evolutie vertraagd met {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} beurt.

[#!]Zaailingdemon[#]: 
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Scheutdemon[#]: 
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Bloesemmegademon[#]: 
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}%[#] gezondheid."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Roept elke beurt een [#!]zaailingdemon[#] aan voor een willekeurige vijand. Deze passieve vaardigheid wordt slechts één keer per beurt per team geactiveerd
[*]De [#!]zaailingdemon[#] ontwikkelt zich tot een [#!]scheutdemon[#] na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
[*]De [#!]scheutdemon[#] ontwikkelt zich tot een [#!]bloesemmegademon[#] na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.
[*]Elke keer dat demonen gezondheid absorberen, wordt hun evolutie vertraagd met {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} beurt.

[#!]Zaailingdemon[#]: 
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Scheutdemon[#]: 
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Bloesemmegademon[#]: 
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}%[#] gezondheid."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Als dit personage wordt verslagen, roept het slijmmegavolgelingen aan naar bondgenoten in de buurt, met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van het verslagen personage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Als dit personage wordt verslagen, roept het slijmmegavolgelingen aan naar bondgenoten in de buurt, met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van het verslagen personage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Als dit personage wordt verslagen, roept het slijmmegavolgelingen aan naar bondgenoten in de buurt, met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van het verslagen personage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Als dit personage wordt verslagen, roept het slijmmegavolgelingen aan naar bondgenoten in de buurt, met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van het verslagen personage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Als dit personage wordt verslagen, roept het slijmmegavolgelingen aan naar bondgenoten in de buurt met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van het verslagen personage."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Als dit personage meer dan {DAMAGETHRESHOLD}% van de maximale gezondheid in één keer verliest, roept het een slijmmegavolgeling voor zichzelf aan met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Als dit personage meer dan {DAMAGETHRESHOLD}% van de maximale gezondheid in één keer verliest, roept het een slijmmegavolgeling voor zichzelf aan met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Als dit personage meer dan {DAMAGETHRESHOLD}% van de maximale gezondheid in één keer verliest, roept het een slijmmegavolgeling voor zichzelf aan met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Als dit personage meer dan {DAMAGETHRESHOLD}% van de maximale gezondheid in één keer verliest, roept het een slijmmegavolgeling voor zichzelf aan met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Als dit personage meer dan {DAMAGETHRESHOLD}% van de maximale gezondheid in één keer verliest, roept het een slijmmegavolgeling voor zichzelf aan met {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Telkens als dit personage een statuseffect door brand ontvangt, roept hij of zij een boswachtervolgeling voor zichzelf aan. Boswachtervolgeling erft {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% van dit personage."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Telkens als dit personage een statuseffect met geleidelijke schade ontvangt, roept deze een kaartsoldaatvolgeling voor zichzelf aan. kaartsoldaatvolgeling erft {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% van dit personage."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Telkens als dit personage een statuseffect dat invloed heeft op de verdediging ontvangt, roept deze een stiervolgeling voor zichzelf aan. De stiervolgeling erft {FAMILIARHEALTHPERCENT}% gezondheid en {FAMILIARATTACK}% aanvalskracht van dit personage."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Roept voor zichzelf een musvolgeling aan als een vijand een volgeling aanroept met een speciale vaardigheid."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Als een vijand een speciale vaardigheid gebruikt om een willekeurige volgeling aan te roepen, dan roept het personage een vervloekte boomstekdemon aan voor die vijand."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Als een vijand een speciale vaardigheid gebruikt om een willekeurige volgeling aan te roepen, dan roept het personage een vervloekte zaailingdemon aan voor die vijand."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Als bondgenoten dansen wanneer dit personage zijn of haar speciale vaardigheid gebruikt, wordt de gezondheid van alle bondgenoten verhoogd met {HEALTHBOOST}. De verhoogde gezondheid kan niet hoger zijn dan de maximale gezondheid."
"herocard.passive_skill.description.taunt","De speciale vaardigheid van dit personage wordt niet beïnvloed door uitlokking."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","IJsschilden op het bord worden verzwakt met {MODIFIER}% nauwkeurigheid wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Natuurschilden op het bord worden verzwakt met {MODIFIER}% nauwkeurigheid wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Duistere schilden op het bord worden verzwakt met {MODIFIER}% nauwkeurigheid wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Vuurschilden op het bord worden verzwakt met {MODIFIER}% nauwkeurigheid wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Heilige schilden op het bord worden verzwakt met {MODIFIER}% nauwkeurigheid wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","IJsschilden op het bord worden versterkt met {MODIFIER}% kans op kritieke aanval wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Natuurschilden op het bord worden versterkt met {MODIFIER}% kans op kritieke aanval wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Duistere schilden op het bord worden versterkt met {MODIFIER}% kans op kritieke aanval wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Vuurschilden op het bord worden versterkt met {MODIFIER}% kans op kritieke aanval wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Heilige schilden op het bord worden versterkt met {MODIFIER}% kans op kritieke aanval wanneer dit personage de speciale vaardigheid gebruikt."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Elke keer als dit personage de speciale vaardigheid gebruikt, worden alle verwijderbare oppeppers die invloed hebben op de aanval, verdediging en manarecuperatie op alle vijanden omgezet in overeenkomstige statusaandoeningen die niet kunnen worden verwijderd."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Elke keer als dit personage de speciale vaardigheid gebruikt, worden alle zuiverbare statusaandoeningen die invloed hebben op de aanval, verdediging en manarecuperatie op alle bondgenoten omgezet in overeenkomstige oppeppers die niet kunnen worden verwijderd."
"herocard.passive_skill.description.wither.all.enemies","De basisaanval en basisverdeding van alle vijanden worden verminderd met {STATINCREASE} per beurt, gedurende {MAXACTIVATIONCOUNT} beurten."
"herocard.passive_skill.inactive","INACTIEF: bereik het hoogste niveau en volledige verheffing om te activeren."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Aanvalsaandoeningen voor {TURNS} beurten lang {ATTACK}% aanvalskracht."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Oppeppersimmuniteitsaandoeningen voor {TURNS} beurten lang aandoeningsimmuniteit."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Verdedigingsaandoeningen voor {TURNS} beurten lang {DEFENSE}% verdediging."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Genezingsverminderingen naar {TURNS} beurten lang {HEALING}% meer genezing."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Alle mana-aandoeningen voor {TURNS} beurten lang {MANAREGEN}% manarecuperatie."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Schadeverhogende aandoeningen voor {TURNS} beurten lang {DAMAGEREDUCTION}% minder schade."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Oppepper weerkaatsende aandoeningen voor {TURNS} beurten lang aandoeningen weerkaatsende oppeppers."
"herocard.passive_skill.replace_direct_effect.attackwither","Aanvalsverwelking voor aanvalstoename: {FIXEDPOWER} aanval."
"herocard.passive_skill.replace_direct_effect.defensewither","Verdedigingsverwelking voor verdedigingstoename: {FIXEDPOWER} verdediging."
"herocard.passive_skill.replace_direct_effect.dispel","Verwijdering van oppeppers voor zuivering van aandoeningen."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Demonen naar stijlvolle volgelingen ({FAMILIARHEALTHPERCENT}% HP, {FAMILIARATTACK}% aanval)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manavermindering naar een manaverhoging van {POWER}%."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passieve vaardigheid als aanvallend personage:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passieve vaardigheid als verdedigend personage:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Statuseffect bij oppepper vijandelijke aanvalskracht"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Statuseffect bij oppepper vijandelijke verdediging"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Statuseffect bij manareductie"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana van bloeden"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Genezen bij bloeden"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana bij verbranding"
"herocard.passive_skill.title.bypassfamiliars.minion","Volgelingen overslaan"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Volgelingen superieur overslaan"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Langere statuseffectduur"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Vluchtmomentum"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana tijdens verwelking"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Laten terugkeren na verloop van tijd"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Kracht van Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Mooi van binnen"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Mooi van binnen"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Gesmolten kern"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Gesmolten kern"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Corrosiekern"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arctische kern"
"herocard.passive_skill.title.criticalmodifier","Aanpassing kritiek"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Aanpassing kritiek"
"herocard.passive_skill.title.critmodifier","Aanpassing kans op kritieke aanval"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Gebrandmerkt door de Ouden"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Bloedmerk"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Vurige danser"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Troepenmeesterschap"
"herocard.passive_skill.title.debuffdamagereduction","Statuseffect schadevermindering"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Statuseffect schadevermindering"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Destructiekern"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Zuivering bij dood volgeling"
"herocard.passive_skill.title.dodgespecialdamage","Speciale schade ontwijken"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Speciale stapeling"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Vernietig demonen op speciale vaardigheid"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Eet volgelingen en verkrijgt na verloop van tijd mana"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Zuivering bij een kritieke speciale aanval"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Gezondheidsverhoging bij kritieke speciale aanval"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Gerechtvaardigde opstand"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana bij speciale schade"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana bij opgelopen schade"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Schade bij speciale vaardigheid en dekkingsschade"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Cumulatieve aanvalskracht bij opgelopen schade"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Cumulatieve aanvalskracht bij opgelopen schade"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Verhoogde gezondheid bij zuiverpoging bondgenoot"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Schade bij zuiverpoging vijand"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana bij verwijdering"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana bij verwijdering oppepper"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Gezondheid als een statuseffect verloopt of verwijderd wordt"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Gezondheidsboost bij verwijderen oppepper"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Vorst na treffer van volgeling"
"herocard.passive_skill.title.effectonheal.addmana","Mana bij gezondheidsherstel"
"herocard.passive_skill.title.effectonheal.heal","Extra gezondheid bij genezing"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Extra GENEZING"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Statuseffect bij manareductie"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Statuseffect bij manareductie"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Gezondheidsboost en mana bij weerstand"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana bij speciale vaardigheid met gezondheidsboost"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Gezondheidsverhoging bij gezondheidsverhoging door vijand"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effecten bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Zuivering bij een kritieke speciale aanval"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Gezondheidsverhoging bij kritieke speciale aanval"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Gezondheidsverhoging bij kritieke speciale aanval"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Gezondheidsboost bij speciale vaardigheid vijand"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana bij special"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Verwijderen bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Zuiveren bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Schade bij special"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Gezondheidsherstel bij special"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Gezondheidsboost bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Statuseffect bij special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Bloeden bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Vloek bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Geleidelijke schade bij special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Verhoogde schade tegen verhoogde gezondheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Geleidelijke schade bij special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Statuseffect bij special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Gif bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Hersenloze aanval bij speciale vaardigheid"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Geleidelijke schade bij special"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Schade bij vijandelijke speciale vaardigheid"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana bij uitlokking"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana bij vijandelijke verdedigingsoppepper"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Statuseffect bij oppepper vijandelijke verdediging"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Statuseffect bij oppepper vijandelijke aanvalskracht"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana bij ontvangen oppepper"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana bij ontvangen statuseffect"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Gezondheidsherstel bij ontvangen oppepper"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Gezondheidsherstel bij ontvangen statuseffect"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Mana-oppepper bij ontvangen statuseffect"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana bij ontvangen oppepper"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Gezondheidsherstel bij ontvangen oppepper"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Verhoogde gezondheid bij verwijdering statuseffect"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Schade bij verwijdering statuseffect"
"herocard.passive_skill.title.effectovertime.revival","Laten terugkeren na verloop van tijd"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per vijandelijke oppepper"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Hogere gezondheid bij vergiftiging"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana bij aanroep volgeling"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Vriend van de bekenden"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana bij demonaanroep"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Wraak van huisdieren"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Gezondheidsverhoging bij demonaanroep"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Volgelingenblindheid"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Volgelingkern"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Zwakkere megavolgelingen"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Zwakkere volgelingen"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Megavolgelingen stoppen"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Volgelingen stoppen"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana bij vorst"
"herocard.passive_skill.title.glass_reflect_debuffs","Glas"
"herocard.passive_skill.title.growth","Groeien"
"herocard.passive_skill.title.guaranteedeffectonspecial","Gegarandeerd effect bij speciale vaardigheid"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Minder genezing"
"herocard.passive_skill.title.healonheal.heal","Extra GENEZING"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Gezondheid van dode volgeling"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Verhoogde gezondheid van dode volgeling"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Verhoogde aanval per niet-natuurvijand"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Verhoogde aanval per niet-vuurvijand"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Extra schade aan volgelingen en megavolgelingen"
"herocard.passive_skill.title.increaseddamageagainstminions","Meer schade tegen volgelingen"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Meer schade tegen uitlokking"
"herocard.passive_skill.title.increasespecialdamage","Meer schade van speciale vaardigheid"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Meer schade van speciale vaardigheid"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Meer schade van speciale vaardigheid"
"herocard.passive_skill.title.insanitydamagereduction","Getekend door de Ouden"
"herocard.passive_skill.title.iterateeffectonspecial","Extra kans op effecten bij speciale vaardigheid"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Competitienadeel"
"herocard.passive_skill.title.league_featured_family_resist","Competitievoordeel"
"herocard.passive_skill.title.league_heal_modifier_against_family","Competitienadeel"
"herocard.passive_skill.title.league_heal_modifier_for_family","Competitievoordeel"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Competitievoordeel"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Manahindering"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana bij dood volgeling"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana door effecten"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Volgelingen en demonen van vijand onthouden"
"herocard.passive_skill.title.memorizestatuseffects","Statusaandoeningen onthouden"
"herocard.passive_skill.title.mimic_dread_damage_minions","Afschrikwekkend"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Nabootsersbuit"
"herocard.passive_skill.title.nevermissspecial","Perfecte nauwkeurigheid"
"herocard.passive_skill.title.ransack","Kans voor een dief"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Oppepper stelen"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Jagersinstinct"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Minder schade aan troepen"
